"","g.CD4.T.cell_0","g.Memory.CD8.T.cell_1","g.Naïve.CD4.T.cell.1_2","g.IL2RB..NK.cell_3","g.IgD.IgM..B.cell_4","g.Naïve.CD4.T.cell.2_5","g.Naïve.CD8.T.cell_6","g.Memory.CD4.T.cell_7","g.CTL.like_8","g.TRDV1..CTL.like_9","g.Memory.CD4.T.helper_10","g.Naïve.B.cell_11","g.DNAM1..CD4.T.cell_12","g.Transitional.B.cell_13","g.CD14hi.CD16..Monocyte_14","g.NK.cell.1_15","g.Gamma.Delta.1.T.cells_16","g.NK.cell.2_17","g.DN.T.cell.1_18","g.CD14..CD16hi.Monocyte_19","g.T.reg_20","g.Gamma.Delta.2.T.cells_21","g.CD69..B.cell_22","g.DN.T.cell.2_23","g.CD14lo.CD16lo.Monocyte_24","g.CD56bright.NK_25","g.DN.T.cell.3_26","g.GZMK..CD8.T.cell_27","g.DN.T.cell.4_28","g.DN.T.cell.5_29","g.DN.T.cell.6_30","g.B.cell_31","g.Plasmablast_32","g.pDC_33","g.APC_34","g.TNF..B.cell_35"
"CD86",222.195002139672,0.794961985016532,0.129401656840956,2464.43665417414,5426773252.6542,0.340618753547775,0.0829692594063785,16.6833202462981,86.7281562398267,231.641236212987,79.8965298863075,35.5803505517127,1.27546272527597,188298.631778747,507644778570.455,0.147937498313261,0.287422836566027,0.722861721209148,0.394921799057545,6743454964743.09,34709.9948762091,1.43101472182774,9968241.19403665,0.104125211086681,30074454424.1293,43.0523886566565,16.9527227613478,13530.8798356181,6.85129920917731,0.232217777461766,0.560461721688677,31.7860738294512,33959.4582633701,690649227294378,0.997464682804314,25.7632595305476
"CD274",0.00136314904406987,0.38923663373972,0.000283706485432471,1.99316058468172,0.242548542573855,0.00425900754634552,0.00335966654981258,0.00134807840414781,0.00112601980951291,0.377906787776917,0.0207274085138455,0.0895150068933008,3.28327237759563e-05,0.0202038873124677,77.5652517758058,0.00090371028135577,0.0427569036304553,6.23145160651776e-05,0,570.720531973237,0.00767303272575475,0.00384736591332143,1.26052570387997,12743.455956793,68.0184494442827,7.31946161345359e-05,0.0090030329345962,0.000159992608753578,0.126933799975147,0.000303450066580363,0.00297278143360588,0,0.00248362107749703,28.533682093447,0,0
"TNFRSF14",0.140162277731587,0.0902777817375441,0.0143776082631945,0.0382452306092969,0.0502717574264122,0.0275090513516053,0.0154187045601991,0.246963697045833,0.00144470930284495,0.00476832490425904,0.0905596287778172,0.0122589879835942,0.124278087502761,0.0288293866386328,0.130711884934801,0.00119712755963263,0.0173054948530062,0.0196148649176843,0.0262931878182893,0.147084068110637,0.0295299365525221,0.0166557175361519,0.0327614051574408,0.0459447973166988,0.0392777271716861,0.00067420677396037,0.0554678457384278,0.0179867573914301,0.00262183356661807,0.453904741479006,0.0289214643540377,0.0785002349466603,0.0196500627387746,0.0410006555039434,0.00880877932070767,0.00444097989479459
"PVR",0.00876660885389642,0.00898298713694418,0.00351431256942892,0.028772227352086,0.00338323591471641,0.00568536109086398,0.00610533076648982,0.012797877424677,0.00518776728771368,0.00810471440161155,0.00943568475655072,0.00330582232923389,0.019245588964269,0.00740043351112663,16.313709107799,0.00400886871988601,0.00616336637981741,0.00969054496822126,0.00834022862941124,5.49614612940515,0.0677936080102558,0.00931880674464437,0.00780084100524435,0.00447480448346396,0.782644311739605,0.0103814260429602,0.0078758502430302,0.0136419596758125,0.0100310426418078,0.0143194829935862,0.0169556966723614,0.0185511264394673,0.0194153967672732,939.076084719086,3.9820498552445,0
"NECTIN2",0.00146924220668237,0.00133032930216847,0.00118519902529824,0.00268429034266976,0.00148988249953602,0.000660796637972554,0.00144972438987421,0.00260782378708601,0.000314429051100593,0.00134138215172079,0.00136793699745786,0.289685339109021,0.00414133991621785,0.000517733603589404,0.21530884169108,0.00141744075886786,0.000390013331562142,0.00128198097997326,0.000344286210766321,0.0106662760140436,0.0454083134846739,0.000926881068387769,0.000499666408110273,0.00659438529057867,0.0331485629521633,0.00111275567033863,0.00106446222871738,0.00139568293419341,0.00144826023198155,0.00139473704019532,0.0371019394505917,0.000651902134596078,0.00231151193316613,23.5576230167339,0.076356004743227,0
"CD47",10.4508421870401,2.12836973225263,0.58598855758433,1.84189190901609,4.22769121324903,3.0005367769545,0.478044105859723,8.45068938085827,0.335497491091495,0.326422546805795,3.74203265222331,1.08861617614375,41.9119577151793,5.72210090680924,37.8467877572798,0.0783350783446951,1.0799491633081,0.550474057743396,2.49160588603113,13.247681305086,2.49122998892472,1.33423629210087,7.30855495104236,0.183758717710031,25.1763670426215,0.288095403268502,1.59373145008227,2.06988620992912,0.043224670840634,11.7192943181863,3.99194700126605,19.0675236279182,2.18112797684658,24.9355659508498,1.23907370901715,2.06531025999561
"CD48",76.5226096266574,87.4238355474025,47.7712151278698,13.7336532670271,962.686745800513,67.2002159585531,72.0801032730752,88.8377700045426,23.85514178044,15.6615469231011,317.521718435451,151.215606264782,177.963137269309,139.31902852621,27577.295451435,1.63306086697636,161.763564905026,6.87445246937482,113.440054909613,153.762526823103,68.430409658548,121.714922518054,25244.8469150388,5.91225750291695,198.53504398457,2.45197505035786,109.569341531313,79.5556897992261,0.993542244579279,559.805237303703,4.89345095392139,205.071162149167,36.0923615223306,195.594070508349,39.6239802042044,64.194158957861
"CD40",0.0481961030426579,0.0863125443295421,0.0156965406314488,0.492823001995683,158992.596641636,0.0207284239171212,0.043716624294581,0.0761205961858651,0.0658892856735707,0.0327620626635663,0.0631530453899595,37694.5750327916,0.29481912564534,68218.3760417624,265861.282356988,0.0195356644073944,0.0461823869651218,0.197344455521619,0.0287334639516611,301763.919933236,18.8203783695754,0.065585535149193,566433449.661597,0.023144764474704,6716.69900865906,0.0672175834504213,0.0661938561462149,0.0976079488265368,0.169421474065771,347506.613035978,0.167109766333145,39472.2819422081,40.3135518776058,130161169787.8,0.0940993377933655,35.9777724153149
"CD40LG",0.00528442696418644,0.00581592550780685,0.0019393682619606,0.00418365425399403,0.072149460443452,0.00164755410730083,0.000960588830475922,0.00587152648844655,0.0045679957908511,0.0395220256754996,0.00921877723150648,0.00308626202116891,0.0112502339161275,0.0409087083444946,0.00426907517071248,0.00119628809660402,0.00280467142846234,0.000600681321249912,0.0176188996211429,0.00418556052727971,0.00190459545879036,0.00251534304444479,0.0284310221392296,0.00587728259878395,0.016068956661706,0.0087365061329363,0.000781004231424002,0.0160381638865401,0.00551963325172375,0.0179369261166583,0.00804461053084869,0.00676966810240271,0.00456760092737663,0.000411269933408117,0,0
"CD52",36.0054154255618,4.48556126099135,0.989017435007842,0.891350572722867,107.899316353343,2.88247309591713,1.11106424071706,8.89635993782056,1.15218268025971,1.43900199083764,12.1068282035041,2.99338481672603,2.99773906279799,5.03591516197712,1.06846122839866,53.5001768654435,5.96945186760468,1.10140489470448,3.34176892646667,0.590565698568781,2.3203926729315,321.320485455146,3.21447355347596,0.509284743014178,0.30210454732414,0.154102266393813,1.64067895828501,2.34009046766565,0.039579486109007,10.3528420622912,0.410338630954995,1.86238589217155,0.521190826329063,0.418179240462888,0.218303158061742,5.2106620772781
