"","g.CD4.T.cell_0","g.Memory.CD8.T.cell_1","g.Naïve.CD4.T.cell.1_2","g.IL2RB..NK.cell_3","g.IgD.IgM..B.cell_4","g.Naïve.CD4.T.cell.2_5","g.Naïve.CD8.T.cell_6","g.Memory.CD4.T.cell_7","g.CTL.like_8","g.TRDV1..CTL.like_9","g.Memory.CD4.T.helper_10","g.Naïve.B.cell_11","g.DNAM1..CD4.T.cell_12","g.Transitional.B.cell_13","g.CD14hi.CD16..Monocyte_14","g.NK.cell.1_15","g.Gamma.Delta.1.T.cells_16","g.NK.cell.2_17","g.DN.T.cell.1_18","g.CD14..CD16hi.Monocyte_19","g.T.reg_20","g.Gamma.Delta.2.T.cells_21","g.CD69..B.cell_22","g.DN.T.cell.2_23","g.CD14lo.CD16lo.Monocyte_24","g.CD56bright.NK_25","g.DN.T.cell.3_26","g.GZMK..CD8.T.cell_27","g.DN.T.cell.4_28","g.DN.T.cell.5_29","g.DN.T.cell.6_30","g.B.cell_31","g.Plasmablast_32","g.pDC_33","g.APC_34","g.TNF..B.cell_35"
"CD3D",80318.267183347,9272.21362270168,6213.5781449917,1443.12884071946,84.4562462263878,22305.5607440204,9648.31938594368,42636.4241990988,6937.66512824401,12152.8613400673,11088.656024859,37.4882858212256,13001.0948585479,217.084551700596,951.436439891054,1975.26280250728,52436.8496063783,4296.99431322553,97754.3363850348,80.4471166761595,2167.12959951845,12302.5266418802,97.4942291588182,15651.0194095083,58.1746319918005,15.7871424815072,1060.02956113714,19833.9650243449,10.5890712489437,42379.1718130074,1373.42447665954,57.4438945246256,198.179936120109,29.5020512543709,233.892738789028,3.52620925769005
"CD8A",47224371143.6541,4572481606830405,37606.1892788111,40104451104.3223,359187145564.897,814235952.097344,48872136763155.1,4922100778.7269,3499674500416297,325405101088.976,7126062231.01702,6442.32407505748,623798837964384,212985666.329644,2077887611233,185504.622142987,40177450704220.4,116088487.283082,403961918902360,891545.669555508,108216.98280261,56947641775.0106,88927.111855799,244180.299873096,1389027652.37255,43652587060.6038,47343762411490368,256577288375505600,432.196757955249,5449746071.43102,18993868.5652286,88124.6780260221,81178078.0332508,985682.509724716,443.943518345085,207.64588673943
"NCAM1",0.382903764103803,0.0919671127122978,0.0229909700154551,66497034.2669054,0.0852963233683325,0.0200190631313319,0.0366934448158034,0.0558259657721644,0.266393756543018,138180.183761224,0.0633704264019415,0.0348613285281639,15354.0418415327,0.0868245842986567,19506822.0921139,4175602.72399603,0.485572155244949,96859.8301689446,0.0763533585394689,397.709175862762,0.044391379103115,108.567531710546,13.4740968913161,0.0939576343246479,25.3633092921336,27341597685.7088,6737.97402043218,0.452935538957713,23.8149900871287,0.0324971889546874,442855917.10574,0.925252859250516,2451.81586420271,0.30845639532914,0.058162730270308,0.0492052106538101
"CD19",13.2371249169814,5.96391205068825,0.068673490575032,138.538793124405,3052769186549.76,0.102427380392875,0.0828332277036197,1.12572497307845,0.585785292971925,0.343860424331054,0.423033492783765,201438472.079374,1.46625763481569,847339711.818211,74.5290721432353,0.313557049641151,7.31728184634806,1.81092083153023,0.755536430897709,18.8464940030025,1.04523966101517,2.56161209566855,19162432775.7628,0.160016906034926,2.82658940449682,489.059756706727,0.183827115456578,0.106042655378048,10.2117471107155,2128197.48581035,0.0959987373546288,2445916005.26173,163.145603881619,3515852.96961711,0.0545200175069891,653758.236327329
"CD33",34.0547409147122,21.0026818721453,0.336485997181293,197330.539142598,10280964.9969709,0.423098081342028,4.38096234609418,1.52272312176292,10237.2214837146,52827.1809047068,134.184104578474,0.557153642887784,548.189117404329,451.546204796101,471518574042.154,5.41476628578064,4716.22213862821,194766057.625647,1.02244928920528,18287091.5630587,10802.9917751345,0.645993473060201,33539.0516674215,0.978194972920229,500306318447.659,5.42862919621647,176.456879840456,31.6855613687037,1.92464660480505,1.22975057078499,1.68381595177751,43.7084643868147,441465.823343807,421022346.699236,7236.74551451279,109.294188658734
"ITGAX",12399.7743276488,39670.9505135956,0.755920599980618,1265595950.35128,5083018958.71801,5.42455447104618,1.18111173697619,2.0638051766455,11679.7757415652,122099.021219056,10884.6836494956,50544.1424815902,156.412059453997,3321.96768856787,85787011552893.4,633.810954126539,891.716848930787,150322.798732907,4.67487257908974,15402794651399.7,317.270253731852,121.228538709061,752836.976226338,1.02175511045049,500500449878.542,10154.0566072592,11.3937826044757,8178.6672482428,3.94865626314631,5.18211301539946,5251.44604208881,330.21172914428,2667130.802317,282268973700.585,4.22973825803158,16756487.5419075
"HLA-A",17.8128679342646,33.3144311077544,1.27341594578781,32.8292709604468,3611.18126161538,5.08678633269354,3.9543139861242,57.9070920048346,5.79740044784829,7.46066131084122,24.3106027899659,128.172532820942,14.0312779051992,1424.27774256801,1119.79357276834,2.00788804578684,32.7593150727825,9.36750813428236,3.93954809671841,705.441221101603,10.6054420760722,22.7450727574753,2222.18688904826,2.69874770882666,298.075527126106,2.30477717958166,34.4260177773273,18.3622062443127,0.151237799022346,185.993946570726,19.9144167599145,7214.96493731074,80.4967706338347,704.700149247717,115.937451387934,71.1528687478539
"CD45RA",138.73238653626,1993.22617217305,78.2283641624103,6086.43056308391,9253.08188760805,193.038184196552,1085.73259365531,175.012781888111,899.809528835047,802.556138946552,8.49546880824464,348.881579362338,385.949885893436,1349.74056839576,344.032541543465,443.142713704229,382.393148209168,1358.94503301474,751.075847340612,3908.96377446715,79.8413689915459,110.792965060118,1429.41945443159,144.896362829116,23.0824036021751,1415.80483722018,818.092408571296,902.056687319459,3.42460323335034,556.13460735823,1835.1992170459,412.8079265403,7805.59408504137,4316.17886395919,63.8402040930961,194.902806502357
"IL3RA",1.62662474100648,5.01374703817001,0.0410396074865793,42.2692007795401,391866.259857607,0.0541690873638064,0.173860353342777,1.04953034985377,5.63068228966422,0.383586637241939,0.345832867460787,54.4316752472606,474.077655416846,496.69410594868,19460624.9068954,0.0639627041938781,0.0904845866877471,0.11144340317196,0.845074414550182,14927131.3006621,6.42680376288674,0.305594984866273,15440.4012102655,0.0662473830988023,1158381.52322675,2.09242767526422,0.144759561807716,0.066131885695142,29.6309227850836,39.5456759794825,0.447991807384712,1094.59666991959,184.827607998186,949668631.669623,1940.33498367372,522.616580599892
"CD7",6437790611.3779,43461336465.8875,164021199.034929,209152487003.322,3001.45421350683,60851606.8745957,3660709930734.71,246385203.389756,20562284.1149616,1200094081.11192,899712957.812517,613.143119284874,887014336.947304,96022.0780957119,15039234.3389665,75620841.7683517,7281729053.49643,1018041.60070705,145345314398.889,44487.7332358562,19261119.5235742,24313521.8137972,1773624.35951514,3559066.16789111,1428.76130739092,8868244.09615612,3323989136.65971,609329447.547018,13.5151783993159,4036565833.22608,247223530.348369,154989.852253078,74260131.2263145,12586.3501836444,184749.937542933,2.86478711266934
"ENG",0.00762419710671117,0.0144386089017579,0.009754025964219,0.0128702858972083,0.246357752675214,0.0124779989628359,0.00834070307161468,0.00971869952647852,0.0211021087576325,0.024973532391114,0.0142956824608001,0.0244273859702712,0.01594692227675,0.0407840876715032,15.4940139000393,0.00738220528328926,0.0267460345961457,0.0123776536493611,0.0580077787344754,0.574537953504779,0.00766925948851863,0.0223213827071546,0.0702973231838898,0.00674083528207312,2.8599010815511,0.0188714730783558,0.0324355089057121,0.0173878314539924,0.0176408548221768,0.00718355886572129,0.0199683902918691,0.0124273069833807,0.124845838949561,0.0117985877615355,0.00979072629705988,0.169279510561801
"ITGA6",0.00349830391078664,0.000595497119962053,0.0016042460607806,0.0420984468038418,0.0017522657708653,0.00219793505033524,0.000204071192809137,0.00538832831142035,0.0017521410526817,0.00931906710909541,1.49195315357981,0.000163090572083479,12.1496510772988,0.00283680352366625,0.0704007339187052,0.00105454683702979,0.400555268717292,0.0137352910445339,0.00827237081848126,0.0470186071180755,0.308593723254482,0.18173880330012,0.0197748290846868,0.0029375310062434,5.19118342048432,0.0301919969315942,0.879906118244113,0.307056027192812,0.00108146629240452,0.00934953189066556,60.7086326277986,3.96435657426141,0.00780803091295222,0.216307745775331,0.00381751720051016,0.00237921865286664
"CCR4",4.28013513314296,0.0751838035422433,0.0590471773046728,28.6512919174685,0.267454152192394,0.0535980833028944,0.0466340304160696,1.58158469329426,0.0925133536216329,0.0670056566357843,957017665.92595,0.0330514858064763,230115.927525509,0.0571023556838876,2.18119636223717,3.83654024988644,0.841602540833399,0.157286221524868,43.4139733687414,0.240155554808261,1173084.45710837,517.908602511184,0.994728293045434,0.0822828299698132,2.47704872476839,0.563184613889269,5065.18401119723,172.580800139114,0.0284039283780478,0.222877497544375,2.27429639654367,0.255023967838033,0.296565173532336,4.9009244706002,0.0172120281439045,0.025669884461586
"CD4",10104.622608068,22.4316212243405,1011.98747812006,124.429316853338,27.0017194986506,4622.71923380577,24.1247848067809,21762.9094573957,9.96695233061625,43.4185048428189,34973.0347835262,3.07806673372132,10926.0595215032,61.3532706011462,579.130316483646,0.505849073957093,17.6205168696351,7.24639519659479,2391.03968854605,107.684935007324,5602.45765392889,214.296086316714,51.5277245299745,122.528681584603,739.152449836936,3.00866839313037,488.343802229119,133.230715124004,1.7352274569312,8215.91465787463,79.6827021927658,36.6965383166224,110.213720481189,30028.2258286846,332.139676621198,0.10305499261916
"CD44",1534.65233293778,1199.40177574267,8901.55805935397,1446.21566771855,201204.956921473,1655.95708329034,525.935038809546,5200.12940194158,2572803.26166298,387.100877263642,21468.7532161582,5042.26851945148,641.722991673308,7341.04390979608,21068732378.1793,74.4420932038203,1961.76830985622,4554.58399436842,987.974944934539,2334147625.93339,3150.60526190871,19477.6189103961,25389.3747468863,46.2361748025722,95555055.0193322,4877.66020779489,6182.26843195921,15010.0105858849,5.96407080763686,667.718238878355,108.292363693275,84858.3037807285,37298.9882621356,52377452.4522419,2352.09436531567,613.335123652426
"CD14",0.0518286809420866,0.0659089264187909,0.0283412957012593,0.474061817905902,0.0265834331326705,0.0312941329779426,0.030145984850008,0.0669001185944558,0.0321529333290576,0.0448717119254408,0.0404503381050871,0.0130278421152376,0.0315821734512738,0.0187053737815084,2050859.71797247,0.0246516370176868,0.0490606408214163,0.0792426977605575,0.0384695710426954,435.116622470104,0.0589561921022662,0.0240125575077304,0.013455758762883,0.0273172343128626,59587.8398191224,0.108265926259464,0.0659430692125909,0.0659829750719639,0.139566353500769,0.0676078484416897,0.042950003524575,0.0159750210540723,3.87557189724053,0.0687834327215268,0.0971358354314679,0.0015227777366121
"FCGR3A",0.323998955439155,4701.10883621202,90.872586268403,13159744689513,94.4579329372038,1.12652359954527,0.147271886649133,0.0691122457560214,83345.0924893846,43245550.3368212,44.6325645918662,0.151545792756533,6317.98284158363,963.570231419506,380472839.394872,3354478607.51724,0.162439816588726,61107654896.6766,553.331619083943,113532566057.587,0.0462407829339482,1048.11039638803,11401951.8877942,1.94738902106268,19753472.0511588,348736.593903041,3241.02846290684,933.337126393953,4138.75924550123,62.0793805511846,103799996285.9,0.0739378184713848,7690838494.42195,74.2254572176253,3.15483108644982,0.0135414133587794
"IL2RA",0.0319779927871503,0.0216273302361192,0.0449060871332624,22.9218014863698,2.83555035892266,0.0122105087044081,0.0154618103088341,0.801642578745784,0.0142569092053816,0.0233384495353198,13.4730752494101,0.0396774645044847,110.97149080052,2.35470391554738,5.99162908809157,0.00680855839831119,0.199598078705722,0.00600412235679347,0.0556037580127554,2531.83823066548,13360281.4479357,0.177164522352719,10.163234871494,0.148033782490641,0.214111654021656,0.0484615012031498,3842.65065939456,3425.1603003244,0.0518381967824542,0.868985621666442,0.0538940831844303,0.148076283345087,0.055274449085099,2010.57085783137,14.5818276991207,0.193092145076901
"CD45RO",0.320410307561136,0.611778185892463,0.0406412048895906,0.0269370659144345,0.0548345507767314,0.0778832737489289,0.0573713277026044,2.19625341345774,0.134377713642593,0.0708530442045231,15.4697789764059,0.0191602197195143,0.732055345533881,0.0203544772551356,0.863260761052038,0.00221998607229775,0.155299089809721,0.0109844081861867,0.0783132190684571,0.123235855396447,3.96910579250098,1.92030703022637,0.0184109830391952,0.0171625728119685,0.156735016160409,0.115650147504792,0.409010326044092,12.6577063068923,0.00116136308063956,0.223744298876823,0.0124978894928033,0.0180500369897095,0.0233346108685194,0.905578861184127,0.0226701095241274,0.0167761155434803
"PDCD1",0.00200121591387831,0.00642232950105019,0.000364947743399682,0.00797283484437855,0.00314726956429728,8.17988179646524e-05,0.00213963549332077,0.00503336456432662,0.0506880371542109,0.0974786754724319,0.821019803862082,0.000560227566652038,0.130726774234598,0.00720319246019921,0.00705293543143679,0.000304508391809563,1.12787548458827,0.0226468115070833,0.00331447299899315,0.00198372741559128,0.127674273130152,0.00399018819118481,0.0956153602570645,0.00810554169504401,0.000153904792473321,0.00186038298604858,0.0153234633731143,0.741515323000932,0.000419042521417962,0.0274025554595787,0.0695678255011238,0.00353691352638362,0,0,1.19061893546075,0
"TIGIT",0.0196823487974771,0.0193398198335679,0.0109364909323293,19.5427437798088,1.05141032165843,0.00704610358391439,0.0127801651637257,6.57131341062708,7.15278205298907,6.24691227491144,43.1006597959424,0.00490096116522229,500.147763968181,0.214176307297477,0.173420482867716,0.430024776056167,0.451788946680551,4.02285079603039,0.0614579524347873,0.279418871030156,679.586555421002,0.0383124853556131,0.0362263282027062,0.150380583242991,0.0420511482601507,1889.99308896489,0.0514169814737773,47.6393102362722,0.00645152034164664,0.0332085638866658,5.38484650509154,0.010711974973721,1.4334668105694,0.071395777989861,0.0414521890629451,4.28947953213466e-05
"Mouse-IgG1",0.00463992419450782,0.00443867050672219,0.00452124122218107,0.00233387056683136,0.00524982547431155,0.0036810693984052,0.00356329697054152,0.00454565806722525,0.00275331793055274,0.0032298769660445,0.00387662577097463,0.00408791676436958,0.00447316510180812,0.00330453720454323,0.00235878804963109,0.00221245474413468,0.00233088687241134,0.00127351224563991,0.00572856730258205,0.00167418727354826,0.00284466135302473,0.00370946695345623,0.00403179485814403,0.00607773596409826,0.00223346153398237,0.00277155067955769,0.00630659326190813,0.00336353105339326,0.00362727943000721,0.0025136805001534,0.00347939197011003,0.866757851075261,3.162997412675e-05,0.000440829642213182,0.000220554912252523,0.000212228223608751
"Mouse-IgG2a",0.00282407578853638,0.00319965469982746,0.00468832985037156,0.0038194390561037,0.0339450665530739,0.00254469945744207,0.00245063608954599,0.00204614638791193,0.00302718181529044,0.00394613429114951,0.00844420054434938,0.00765436077067658,0.00693605339493468,65.9015733309842,0.00780341161418718,0.00286177399897937,0.0036855155407381,0.0024091389284493,0.00885616323210113,0.0071382620208365,0.00436905773073949,0.00568720435107636,0.0247144470731492,485.011373607829,0.0084996911388819,0.00210122623508008,0.00199466854741488,0.0020168511376831,0.00738696622516097,0.00464158260922866,0.0121837398276416,0.00465480137374024,0.123541844004128,0.00974723739321459,0,0.00427019935486057
"Mouse-IgG2b",0.0192722451209462,0.575555223553301,0.702522651586095,0.590880977765133,9.02164362634843,0.00452077349528272,3.41946767020396,0.00274468880552825,1.82353000612663,0.0109304048300433,36.5634393355357,0.00981497208707553,0.00524668796996287,0.00504469577019469,0.0126865322676895,0.0281196007348718,0.006208449052793,0.0114673478774004,0.00676567474123103,16.6982304180732,0.00448632433546998,0.00872661818906013,0.00321446924162344,20.7045540396363,0.0124207812487329,14.2611507578973,0.0103351545080015,0.00597074538967173,0.0623256998094772,0.182547499230532,0.131953175259977,0.00828820035403227,0.00549416606151983,0.0103271892288189,0.0086709103388062,0.00340507130655837
"Rat-IgG2b",0.00758338716672023,0.116456576499911,0.00977186694801946,0.0105047535740255,0.0187381767825303,0.00418541209639656,0.00790876524791171,0.00375058719631213,0.00568042132736058,0.00862599102404465,0.0126589679701985,0.00682791977323447,0.00624746645102638,0.0155542001270317,0.043050296554126,0.00856709661010705,0.00727488403875853,0.00558338443581648,0.0063143025568433,0.0263442807840146,0.00663268010126039,0.00804816195460878,0.00558497286977723,0.00488125341685224,0.0071419861196054,0.0254573172387677,0.00626758769619211,0.00729738068999025,0.004490490968031,0.00379303861590841,0.0122593000839034,0.00973057667228144,0.041036589223186,0.136370943576172,0.00539899884579986,0.00317667608180143
"MS4A1",0.25242258170969,0.941064728149568,0.0177184661823404,19.84466899162,2123223.42568622,0.465645683520957,0.833596416583558,2.82644297703223,3.00797229513753,0.408065537153836,0.380032163187382,4783.59840356881,0.0834112024539124,49924.5492992326,12.9006534233187,0.039761920548973,11.8266022267732,0.326262020322105,0.645226910534234,0.358864432298198,0.105324094852627,0.216680683478481,9110.98127829345,0.132491648588498,0.838238509149782,0.0216535573447679,1.95372987202826,0.185541482761506,0.13602327568508,2368.9993537057,0.0998041169609894,7520.99541232342,194.448832848297,6.97432289783388,0.00528974509174173,10166.6467985973
"NCR1",0.024644875423182,0.0197923236863755,0.0149688890788123,1860.21733797299,0.0162190010142597,0.0122485147561968,0.011750352211316,0.0360623669986317,0.831161852933869,8.04312654081352,0.0187760261176629,0.00747058754665618,0.286282880213187,0.0214409049624846,4.38313604979674,13.8213371325358,0.432364626404711,148.242686276677,0.00947035389873315,0.682899880475563,0.162956613768635,0.615692050563973,1.15345448264394,0.0483709888327901,0.106835217177771,305.585269083788,0.154991137493645,7.19184513537591,0.0437410862127297,0.0313075563981211,403.749275792629,0.0487851938965744,38.0442433824131,0.164441391076916,0.00514265510958747,0.00045466970602316
"PECAM1",1.01189047183515,41.0695249294806,0.177775010274577,0.627537867872737,2.06015588632028,1.15948765007135,5.20742043005374,2.76216304298834,4.47021716465853,0.116633161678951,0.428077655051935,0.609764254277592,485.595963327838,6.90170271616444,6644.65867948954,0.193279369256989,5.00792007929053,0.0818462499938971,1.38951299784596,202423.272505364,12.8432892660723,8.08938047379648,1.3897040855385,0.119480482351304,291633.33396231,0.139408450635081,5.93225949907286,64.723804443151,0.0478300109475691,2.77248136082343,15.2497145962703,159.649626041774,0.34200696678716,48.6077297387663,819.356429501253,0.11874039756308
"MCAM",0.249188230439489,129.697457533088,0.0710689388850876,1.84790623529189,0.141474228527144,0.0414006310391311,0.337383477556359,0.517358738077028,141757.692924602,0.0958631447505943,48705040.5048555,8.98168051878485,3402686856.34837,0.113918712421681,0.09351039006803,0.0422875370466203,14.5321270781939,0.0400215835569409,0.163211267277115,0.0997903387187858,41818056285.5666,3.56269650704587,0.335377852649219,48.5645550357438,0.106290859990865,0.0390673911928996,35098.7431019996,12424.7844666175,0.0614577899605062,0.331289027245179,0.151847251461347,0.0520228986009449,0.106308065261149,0.0766219474333266,0.0270905969879058,0.113841534180481
"IGHM",0.0835529307378208,0.0345979678064258,0.0132270484772011,9.40212986009432,50899.1523015372,0.0133331165433183,0.00746863910770811,0.051498453097917,0.064755893533128,0.135794630058011,0.422984280761699,45.8231537653671,0.272632540278841,386751.6460757,3223.84330884883,0.0374637907070676,0.0363183983865746,0.234652005260975,0.0188965175040288,1275.8491841917,0.0601883166936525,0.666330577701385,35357.6914910435,0.025362825903496,75.9914131045949,0.274139739140756,0.875420777262384,0.109036294688028,0.111418991690811,1565.77491530861,0.10857658234859,71321.4200187894,203511.656213239,0.422184226112004,0.0158786533432255,163.171966257259
"CD5",47915.787253666,6851.85998465097,5790.21953675952,216.067156768462,200.775536462637,6162.99805304518,2512.81417739059,57194.8952349291,384.085985206874,699.915721032171,177903.746922872,16.6908195303658,30802.678890829,2743.26165909702,2118.84145251,59.7836857872929,5313.84892395485,2.30334668382299,34645.7618111485,41.1691933778109,23938.0706290564,550.371699202206,429.818482768621,872.751167473765,167.205620119105,13.4109524117564,6498.17941942412,22704.4408275209,11.0925327302452,20495.156865674,49.1775239233919,108.037777480808,177.142616910217,94538.507532652,1521.5220738321,14.3030135445454
"CXCR3",0.00330523871036583,0.249361565083753,0.00191709799186811,0.0119375412798243,0.00766947003255817,0.00122329956893599,0.05728007220572,0.00630739767198713,0.0107190414834076,0.00738146261458012,0.0303280101020988,0.00341323220326435,0.0640200890473545,0.00356126558063353,0.00398516965510637,0.00411588741080351,0.0887115183884131,0.00215942326149385,0.014372277829424,0.00520699333420071,0.0240671386214497,0.255528770461104,0.00440499638323667,0.0227386150093621,0.00437121170473414,0.0136919572219105,0.0799893196485642,0.101957943294796,0.00460915974769182,0.0295638876906974,0.00640455218980507,0.0064162564540936,0.00239333988400498,0.188278385525191,0,0
