"snn.louvianmlr_1","cloneSize","n"
"0","Small (1 < X <= 5)",11
"0","Single (0 < X <= 1)",5924
"1","Small (1 < X <= 5)",26
"1","Single (0 < X <= 1)",4006
"2","Medium (5 < X <= 20)",1
"2","Small (1 < X <= 5)",6
"2","Single (0 < X <= 1)",3621
"3","Small (1 < X <= 5)",13
"3","Single (0 < X <= 1)",3284
"4","Small (1 < X <= 5)",2
"4","Single (0 < X <= 1)",28
"5","Hyperexpanded (100 < X <= 500)",18
"5","Large (20 < X <= 100)",95
"5","Medium (5 < X <= 20)",388
"5","Small (1 < X <= 5)",561
"5","Single (0 < X <= 1)",873
"6","Large (20 < X <= 100)",1
"6","Medium (5 < X <= 20)",3
"6","Small (1 < X <= 5)",65
"6","Single (0 < X <= 1)",2907
"7","Small (1 < X <= 5)",1
"7","Single (0 < X <= 1)",30
"8","Large (20 < X <= 100)",1
"8","Medium (5 < X <= 20)",2
"8","Small (1 < X <= 5)",2
"8","Single (0 < X <= 1)",115
"9","Large (20 < X <= 100)",4
"9","Medium (5 < X <= 20)",10
"9","Small (1 < X <= 5)",10
"9","Single (0 < X <= 1)",47
"10","Large (20 < X <= 100)",4
"10","Medium (5 < X <= 20)",8
"10","Small (1 < X <= 5)",22
"10","Single (0 < X <= 1)",1290
"11","Medium (5 < X <= 20)",1
"11","Small (1 < X <= 5)",3
"11","Single (0 < X <= 1)",69
"12","Small (1 < X <= 5)",18
"12","Single (0 < X <= 1)",1886
"13","Large (20 < X <= 100)",2
"13","Medium (5 < X <= 20)",5
"13","Small (1 < X <= 5)",27
"13","Single (0 < X <= 1)",1727
"14","Hyperexpanded (100 < X <= 500)",43
"14","Large (20 < X <= 100)",14
"14","Medium (5 < X <= 20)",41
"14","Small (1 < X <= 5)",59
"14","Single (0 < X <= 1)",992
"15","Hyperexpanded (100 < X <= 500)",3
"15","Large (20 < X <= 100)",5
"15","Medium (5 < X <= 20)",18
"15","Small (1 < X <= 5)",63
"15","Single (0 < X <= 1)",671
"16","Large (20 < X <= 100)",2
"16","Single (0 < X <= 1)",26
"17","Medium (5 < X <= 20)",2
"17","Small (1 < X <= 5)",20
"17","Single (0 < X <= 1)",372
"18","Hyperexpanded (100 < X <= 500)",136
"18","Large (20 < X <= 100)",58
"18","Medium (5 < X <= 20)",91
"18","Small (1 < X <= 5)",178
"18","Single (0 < X <= 1)",516
"19","Single (0 < X <= 1)",1
"20","Small (1 < X <= 5)",1
"20","Single (0 < X <= 1)",473
"21","Small (1 < X <= 5)",1
"21","Single (0 < X <= 1)",446
"22","Small (1 < X <= 5)",3
"22","Single (0 < X <= 1)",385
"23","Small (1 < X <= 5)",6
"23","Single (0 < X <= 1)",257
"24","Single (0 < X <= 1)",4
"25","Single (0 < X <= 1)",191
"26","Single (0 < X <= 1)",3
"27","Single (0 < X <= 1)",177
"28","Single (0 < X <= 1)",7
"29","Medium (5 < X <= 20)",1
"29","Small (1 < X <= 5)",1
"29","Single (0 < X <= 1)",23
"30","Single (0 < X <= 1)",1
"31","Single (0 < X <= 1)",3
"32","Single (0 < X <= 1)",131
"33","Large (20 < X <= 100)",1
"33","Single (0 < X <= 1)",2
"34","Single (0 < X <= 1)",1
