"Comparison","Module","CD8_Annotation","cohens_d","p_value","p_adj","star"
"Pre-ART vs Unsuppressed","Terminal_Differentiation","Transitional Tem CD8",0.278558447891274,0.0696994125085063,0.0860992742752137,""
"Suppressed vs Pre-ART","Exhaustion","TEM CD8",-0.488991156614733,2.64527159083002e-22,9.25845056790508e-22,"***"
"Suppressed vs Pre-ART","Exhaustion","TEMRA CD8",-0.448031586517255,2.37746578075704e-18,6.24084767448724e-18,"***"
"Suppressed vs Pre-ART","Exhaustion","Transitional Tem CD8",-0.365291278262392,0.0102446255869682,0.0153669383804523,"*"
"Suppressed vs Pre-ART","Stemness","TEM CD8",0.253796319150127,2.26629829291153e-06,4.75922641511421e-06,"***"
"Suppressed vs Pre-ART","Stemness","TEMRA CD8",0.0939837006257027,0.19354339975637,0.225800633049098,""
"Suppressed vs Pre-ART","Stemness","Transitional Tem CD8",-0.1769500883999,0.110893833126975,0.136986499745087,""
"Suppressed vs Pre-ART","Cytotoxicity","TEM CD8",-0.0807378649971152,1.32323569576431e-05,2.31566246758754e-05,"***"
"Suppressed vs Pre-ART","Cytotoxicity","TEMRA CD8",-0.770996416872443,5.55297462997107e-57,5.83062336146963e-56,"***"
"Suppressed vs Pre-ART","Cytotoxicity","Transitional Tem CD8",-0.499424669026435,5.00715714069983e-06,9.55911817769968e-06,"***"
"Suppressed vs Pre-ART","Stress_IFN","TEM CD8",0.0133559159133813,0.0392914357192982,0.0550080100070175,""
"Suppressed vs Pre-ART","Stress_IFN","TEMRA CD8",-0.109335842993693,0.000152902741694793,0.000246996736583896,"***"
"Suppressed vs Pre-ART","Stress_IFN","Transitional Tem CD8",0.17209366563399,0.872464043810851,0.872464043810851,""
"Suppressed vs Pre-ART","TypeI_IFN_Memory","TEM CD8",0.616113314536968,8.36225780465619e-27,3.5121482779556e-26,"***"
"Suppressed vs Pre-ART","TypeI_IFN_Memory","TEMRA CD8",0.793532194419132,7.55268876369918e-37,5.28688213458943e-36,"***"
"Suppressed vs Pre-ART","TypeI_IFN_Memory","Transitional Tem CD8",0.398038927566915,0.0642225586757031,0.0842921082618603,""
"Suppressed vs Pre-ART","Inflammatory_Chemokines","TEM CD8",-0.583505913118087,3.37048528144486e-34,1.76950477275855e-33,"***"
"Suppressed vs Pre-ART","Inflammatory_Chemokines","TEMRA CD8",-0.948190988631118,1.02187605110625e-77,2.14593970732312e-76,"***"
"Suppressed vs Pre-ART","Inflammatory_Chemokines","Transitional Tem CD8",-0.640387051795187,2.09332138546604e-06,4.75922641511421e-06,"***"
"Suppressed vs Pre-ART","Terminal_Differentiation","TEM CD8",0.460694608041953,4.30546920047551e-19,1.29164076014265e-18,"***"
"Suppressed vs Pre-ART","Terminal_Differentiation","TEMRA CD8",-0.0624168604596141,0.260067132608206,0.287442620251175,""
"Suppressed vs Pre-ART","Terminal_Differentiation","Transitional Tem CD8",-0.0196308879823893,0.825009456673275,0.866259929506938,""
