"Cluster","Timepoint_Group","Proportion"
"KIR+ innate-like CD8","PreART_Entry",0.00610752688172043
"MAIT-like Trm","PreART_Entry",0.00318279569892473
"Naïve CD8","PreART_Entry",0.365763440860215
"Naïve CD8 2","PreART_Entry",0.310193548387097
"Naïve CD8 3","PreART_Entry",0.032258064516129
"Naïve γδ1 T cell","PreART_Entry",0.0143655913978495
"TEM CD8","PreART_Entry",0.116817204301075
"TEMRA CD8","PreART_Entry",0.0850752688172043
"Transitional Tem CD8","PreART_Entry",0.0261505376344086
"γδ1 T cell","PreART_Entry",0.0282150537634409
"γδ2 T cell","PreART_Entry",0.0118709677419355
"KIR+ innate-like CD8","PostART_Suppressed",0.05837394771821
"MAIT-like Trm","PostART_Suppressed",0.00808595480726628
"Naïve CD8","PostART_Suppressed",0.20934869295525
"Naïve CD8 2","PostART_Suppressed",0.0127381479840496
"Naïve CD8 3","PostART_Suppressed",0.0901639344262295
"Naïve γδ1 T cell","PostART_Suppressed",0.0227071333628711
"TEM CD8","PostART_Suppressed",0.228954364200266
"TEMRA CD8","PostART_Suppressed",0.145214887018166
"Transitional Tem CD8","PostART_Suppressed",0.0890562693841382
"γδ1 T cell","PostART_Suppressed",0.129596809924679
"γδ2 T cell","PostART_Suppressed",0.00575985821887461
"KIR+ innate-like CD8","PostART_Unsuppressed",0.0273479668945664
"MAIT-like Trm","PostART_Unsuppressed",0.00575746671464556
"Naïve CD8","PostART_Unsuppressed",0.15545160129543
"Naïve CD8 2","PostART_Unsuppressed",0.0368837711406981
"Naïve CD8 3","PostART_Unsuppressed",0.0784454839870457
"Naïve γδ1 T cell","PostART_Unsuppressed",0.0167326376394386
"TEM CD8","PostART_Unsuppressed",0.235696293630802
"TEMRA CD8","PostART_Unsuppressed",0.132961496941346
"Transitional Tem CD8","PostART_Unsuppressed",0.0465994962216625
"γδ1 T cell","PostART_Unsuppressed",0.249370277078086
"γδ2 T cell","PostART_Unsuppressed",0.0147535084562792
