"","PreART_Entry","PostART_Suppressed","PostART_Unsuppressed"
"KIR+ innate-like CD8",116,223,111
"MAIT-like Trm",30,37,51
"Naïve CD8",2490,960,889
"Naïve CD8 2",1592,75,182
"Naïve CD8 3",260,606,439
"Naïve Intermediate CD8",1983,190,12
"Naïve γδ1 T cell",8,141,78
"TEM CD8",988,896,1511
"TEMRA CD8",958,1379,1689
"Transitional Tem CD8",139,339,260
"Tscm CD8",381,3,32
"γδ1 T cell",58,167,231
"γδ2 T cell",125,31,70
