"","CP002","CP003","CP006","CP011","CP013","CP016","CP017","CP018","CP020","CP022","CP042"
"Effector CD8",305,877,875,304,429,149,71,284,1255,158,28
"KIR+ innate-like CD8",2,83,345,5,95,7,3,108,89,13,0
"MAIT-like Trm",5,23,17,1,29,5,0,11,50,0,1
"Naïve CD8",905,1307,663,476,804,529,268,581,541,670,262
"Naïve CD8 (innate-like)",99,267,1051,3,1477,44,2,688,37,225,33
"Naïve CD8 (post-ART)",16,417,119,0,507,1,0,253,300,7,5
"Naïve-like TRDV1+ γδ",31,84,77,6,135,10,1,53,52,11,5
"Terminal TEMRA CD8",337,761,463,218,550,11,3,169,323,199,5
"Transitional Tem CD8",46,174,352,64,272,15,14,127,288,12,3
"TRDV1+ γδ T cell",30,1021,316,36,171,20,18,365,866,32,9
"Vγ9Vδ2 γδ T cell",10,73,30,6,18,21,7,35,55,4,13
