"Cluster","PID","Proportion"
"KIR+ innate-like CD8","CP002",0.0109114249037227
"MAIT-like Trm","CP002",0.00385109114249037
"Naïve CD8","CP002",0.371630295250321
"Naïve CD8 2","CP002",0.0462130937098845
"Naïve CD8 3","CP002",0.00641848523748395
"Naïve Intermediate CD8","CP002",0.137997432605905
"Naïve γδ1 T cell","CP002",0
"TEM CD8","CP002",0.159178433889602
"TEMRA CD8","CP002",0.219512195121951
"Transitional Tem CD8","CP002",0.0160462130937099
"Tscm CD8","CP002",0.00962772785622593
"γδ1 T cell","CP002",0.0134788189987163
"γδ2 T cell","CP002",0.00513478818998716
"KIR+ innate-like CD8","CP003",0.00795228628230616
"MAIT-like Trm","CP003",0.00447316103379722
"Naïve CD8","CP003",0.230119284294235
"Naïve CD8 2","CP003",0.0536779324055666
"Naïve CD8 3","CP003",0.100646123260437
"Naïve Intermediate CD8","CP003",0.0534294234592445
"Naïve γδ1 T cell","CP003",0.0099403578528827
"TEM CD8","CP003",0.166252485089463
"TEMRA CD8","CP003",0.261182902584493
"Transitional Tem CD8","CP003",0.0357852882703777
"Tscm CD8","CP003",0.0171471172962227
"γδ1 T cell","CP003",0.0447316103379722
"γδ2 T cell","CP003",0.014662027833002
"KIR+ innate-like CD8","CP006",0.0459027541652499
"MAIT-like Trm","CP006",0.00442026521591295
"Naïve CD8","CP006",0.0809248554913295
"Naïve CD8 2","CP006",0.0574634478068684
"Naïve CD8 3","CP006",0.023121387283237
"Naïve Intermediate CD8","CP006",0.227133628017681
"Naïve γδ1 T cell","CP006",0.0241414484869092
"TEM CD8","CP006",0.184971098265896
"TEMRA CD8","CP006",0.189731383883033
"Transitional Tem CD8","CP006",0.0584835090105406
"Tscm CD8","CP006",0.0731043862631758
"γδ1 T cell","CP006",0.0248214892893574
"γδ2 T cell","CP006",0.00578034682080925
"KIR+ innate-like CD8","CP011",0.00143061516452074
"MAIT-like Trm","CP011",0.00143061516452074
"Naïve CD8","CP011",0.422031473533619
"Naïve CD8 2","CP011",0.00143061516452074
"Naïve CD8 3","CP011",0
"Naïve Intermediate CD8","CP011",0.0801144492131617
"Naïve γδ1 T cell","CP011",0
"TEM CD8","CP011",0.220314735336195
"TEMRA CD8","CP011",0.231759656652361
"Transitional Tem CD8","CP011",0.0185979971387697
"Tscm CD8","CP011",0.00143061516452074
"γδ1 T cell","CP011",0.0143061516452074
"γδ2 T cell","CP011",0.00715307582260372
"KIR+ innate-like CD8","CP013",0.0221251819505095
"MAIT-like Trm","CP013",0.00698689956331878
"Naïve CD8","CP013",0.149927219796215
"Naïve CD8 2","CP013",0.23056768558952
"Naïve CD8 3","CP013",0.120524017467249
"Naïve Intermediate CD8","CP013",0.140320232896652
"Naïve γδ1 T cell","CP013",0.00436681222707424
"TEM CD8","CP013",0.0841339155749636
"TEMRA CD8","CP013",0.172052401746725
"Transitional Tem CD8","CP013",0.0384279475982533
"Tscm CD8","CP013",0.00582241630276565
"γδ1 T cell","CP013",0.020669577874818
"γδ2 T cell","CP013",0.00407569141193595
"KIR+ innate-like CD8","CP016",0.0135593220338983
"MAIT-like Trm","CP016",0.00508474576271186
"Naïve CD8","CP016",0.552542372881356
