"","0","1","2","3","4","5","6","7","8","9"
"CD45RA",0.8599,0.1847,1,0,0.9768,0.3663,0.5572,0.3528,0.3485,0.0799
"SELL",1,0.0095,0.5271,0.3005,0.1522,0.0098,0.6828,0.2107,0.2637,0
"CD7",0.7981,0,1,0.3911,0.636,0.086,0.4949,0.1685,0.3837,0.0925
"CD45RO",0.1499,0.252,0.5109,1,0,0.1887,0.1514,0.0975,0.0911,0.8709
"IL7R",0.819,5e-04,1,0.0931,0.3305,0.0092,0.5173,0.0046,0.3713,0
"CD27",1,0.0151,0.5727,0.5968,0.8777,0.0013,0.6338,0,0.3281,0.2041
"CD28",0.2183,0,1,0.3005,0.1785,0.0611,0.5108,0.004,0.1602,0.1362
"B3GAT1",0.0021,1,0,0.0486,0.0031,0.9601,0.0102,0.9058,0.0891,0.5755
"KLRG1",0,0.689,0.0317,1,0.0188,0.8299,0.0905,0.722,0.1792,0.6592
"KIR3DL1",8e-04,0.009,0,0.0118,0.002,0.02,0.005,1,0.0105,0.0851
"TIGIT",0.0186,0.4292,0.0254,1,0,0.3411,0.049,0.2663,0.0985,0.4549
"PDCD1",0.0087,0.2429,0.0022,1,0.0021,0.2659,0.1191,0.133,0,0.1709
"LAG3",0.0857,0.2411,0.0768,1,0.1637,0.334,0.0841,0.6207,0.2759,0
"CD38",0.0997,0.1426,0.9156,0.9249,0.1071,0.1783,0,0.2844,0.5758,1
"ENTPD1",0,0.0382,0.0031,0.2228,0.0209,0.0803,0.0155,0.0239,1,0.1866
"NT5E",0.5534,0.0032,1,0.0906,0.7071,0,0.4319,0.0123,0.2802,0.008
"NCAM1",0.0041,0.025,0.0143,0.0976,0,0.4685,0.1316,0.4198,1,0.2128
"FCGR3A",0,0.1722,0.0062,0.055,0.001,1,0.0193,0.8957,0.713,0.3154
"SIGLEC7",7e-04,0.0129,0.0032,0.0145,0.0021,0.0845,0.0176,0.015,1,0
"TCR-AB",0.2026,1,0.6863,0.3128,0.2603,0.021,0.062,0.4298,0,0.9466
"TCR-vA7.2",0.0204,0.079,0.012,0.0783,0.0895,0,0.4559,0.4054,1,0.6896
"TCR-vD2",0.101,0.0856,0.0978,0.2009,0.0568,1,0.2056,0.3055,0.4643,0
