"","g0","g1","g2","g3","g4","g5","g6","g7","g8","g9"
"STMN1",1.2393,0.6956,1.0139,0.9874,0.8131,0.6675,1.289,0.7273,0.4921,0.6806
"FCGR3A",0.002,1.6712,0.0042,0.3381,0.0012,1.7063,0,1.4863,0.9355,0.4434
"SELL",9.1053,0.3886,7.4977,1.1559,3.8868,0.3755,8.2989,0.641,1.8199,0.056
"GNLY",0.1307,100.3522,0.1057,42.5203,0.1203,110.4505,0.7957,148.4555,12.252,32.8592
"CD28",0.5542,0.0136,0.4273,0.3522,0.5671,0.05,0.7203,0.0404,0.1267,0.1534
"PDCD1",0.0043,0.3818,0.0032,0.3939,0.0064,0.4001,0.0307,0.2558,0,0.2237
"EOMES",0.0763,1.3763,0.0539,1.3707,0.0491,1.1787,0.1215,0.7861,0.1963,0.753
"CX3CR1",9e-04,2.1784,0.0017,0.2983,0,1.4895,0,0.9021,0.1808,0.5557
"CXCR6",0.0022,0.0537,7e-04,0.2397,0.0031,0.0931,0.0048,0.0141,0,0.032
"TIGIT",0.0124,1.2542,0.0027,1.8011,0.0259,1.3518,0.1472,1.3606,0.0664,0.7499
"CD38",0.2777,1.648,0.6037,1.5972,0.2553,1.9397,0.1811,1.6565,0.4808,2.1595
"LEF1",7.091,0.0474,7.0386,0.9306,5.5246,0.1018,6.0214,0.179,2.3783,0
"IL7R",16.7328,0.2457,10.8764,4.1864,11.62,0.7739,11.3094,0.5081,5.4195,0.5723
"GZMK",1.104,0.3206,1.2355,2.701,0.3928,0.4957,2.0213,0.3182,0.0755,0.0395
"TCF7",9.2559,0.6577,10.1762,3.3645,5.5911,1.2223,7.8485,1.6685,2.7808,1.474
"HAVCR2",0.0422,0.924,0.0512,0.3423,0.0338,1.1809,0.0445,1.2059,1.1932,1.8806
"HLA-DRA",0.0116,1.2837,0.0288,2.1736,0.0065,0.8622,0.1684,0.8891,16.5944,0.4941
"BACH2",3.6931,0.4905,2.3695,2.6165,7.7718,1.1115,3.3724,1.2441,1.9188,1.6681
"TRGV9",0,0,0,0,0,0,0,0,0,0
"TOX",0.4648,1.4238,0.4422,1.5455,0.1847,1.5833,0.4639,0.9124,0.2229,3.809
"PRF1",0.1369,10.026,0.1104,3.4044,0.0895,9.1784,0.0792,7.8946,0.8271,4.9858
"MKI67",0.0054,0.0412,0.0076,0.1708,0.0041,0.0122,0.0163,0.028,0,0.2063
"NCAM1",0.0014,0.0065,0,5e-04,0,0.0467,0.0014,0.034,0,0
"CD27",3.6854,0.7677,4.8381,2.1111,1.3691,0.3472,2.6781,0.286,1.0732,0.8392
"LAG3",0.0455,1.8064,0.07,1.1559,0.03,1.441,0.0851,1.667,0.0713,0.7288
"CD69",1.6976,2.065,1.8192,2.1552,5.8853,3.0397,1.8005,6.5061,1.2488,2.9812
"KLRD1",0.0207,5.8301,0.0222,2.5659,0.0273,5.7856,0.1341,7.3095,0.6763,5.0251
"TRDV1",0,0,0,0,0,0,0,0,0,0
"TRDC",0,0,0,0,0,0,0,0,0,0
"GZMB",0.0134,22.2802,0.0026,6.2774,0.0043,18.8167,0.0781,20.0682,0.9941,11.8245
"ITGAE",0.6783,0.7831,0.8712,1.2278,0.7236,0.9054,0.6457,0.6005,0.4974,1.9399
"TOP2A",0.0106,0.0485,0.0046,0.1178,0.0045,0.0232,0.0251,0.0179,0.0096,0.1225
"CCR7",10.4564,0.078,9.1845,2.4432,10.5259,0.2701,9.6084,0.1782,5.6962,0
"TBX21",0.002,1.9743,0.013,0.7919,0.0075,1.8132,0.0278,1.8491,0.2172,0.7496
"BCL2",0.4355,0.181,0.3737,0.3222,1.2154,0.246,0.5611,0.3145,1.0285,1.1274
"TYROBP",0.017,1.353,0.025,0.218,0.01,1.4829,0.0442,2.7756,13.9091,0.4169
"NKG7",0.2436,58.0833,0.2161,28.5913,0.1353,45.5516,0.3126,47.0204,3.989,15.7566
"CXCR3",0.554,1.4456,0.324,4.4639,0.3514,1.764,0.8159,2.0495,0.4147,0.6157
"CXCL13",0.0017,0.0055,4e-04,0.0303,0,0.0102,0,0,0,0
