"","0","1","2","3","4","5","6","7","8","9"
"STMN1",0.9376,0.2554,0.6548,0.6215,0.4028,0.2201,1,0.2952,0,0.2365
"FCGR3A",0.0012,0.9795,0.0024,0.1981,7e-04,1,0,0.8711,0.5482,0.2598
"SELL",1,0.0367,0.8223,0.1215,0.4233,0.0353,0.9109,0.0646,0.1949,0
"GNLY",2e-04,0.6757,0,0.2859,1e-04,0.7438,0.0047,1,0.0819,0.2208
"CD28",0.765,0,0.5854,0.4792,0.7833,0.0515,1,0.038,0.1601,0.1979
"PDCD1",0.0107,0.9543,0.008,0.9846,0.0161,1,0.0766,0.6393,0,0.5591
"EOMES",0.0205,1,0.0036,0.9958,0,0.8511,0.0545,0.5553,0.1109,0.5304
"CX3CR1",4e-04,1,8e-04,0.137,0,0.6838,0,0.4141,0.083,0.2551
"CXCR6",0.0092,0.2239,0.0029,1,0.013,0.3883,0.0201,0.0587,0,0.1337
"TIGIT",0.0054,0.6959,0,1,0.0129,0.7502,0.0804,0.7551,0.0355,0.4155
"CD38",0.0488,0.7415,0.2136,0.7158,0.0375,0.8889,0,0.7458,0.1515,1
"LEF1",1,0.0067,0.9926,0.1312,0.7791,0.0144,0.8492,0.0252,0.3354,0
"IL7R",1,0,0.6448,0.239,0.6899,0.032,0.6711,0.0159,0.3138,0.0198
"GZMK",0.3999,0.1056,0.4494,1,0.1328,0.1714,0.7446,0.1047,0.0135,0
"TCF7",0.9033,0,1,0.2844,0.5183,0.0593,0.7555,0.1062,0.223,0.0858
"HAVCR2",0.0046,0.4821,0.0094,0.1671,0,0.6212,0.0058,0.6347,0.6278,1
"HLA-DRA",3e-04,0.077,0.0013,0.1306,0,0.0516,0.0098,0.0532,1,0.0294
"BACH2",0.4398,0,0.2581,0.292,1,0.0853,0.3958,0.1035,0.1962,0.1617
"TRGV9",0,0,0,0,0,0,0,0,0,0
"TOX",0.0773,0.3419,0.0711,0.3755,0,0.3859,0.077,0.2008,0.0106,1
"PRF1",0.0058,1,0.0031,0.3343,0.001,0.9148,0,0.7857,0.0752,0.4933
"MKI67",0.026,0.1997,0.0366,0.8281,0.0197,0.0592,0.0791,0.1358,0,1
"NCAM1",0.0308,0.1394,0,0.0116,0,1,0.0299,0.7281,0,0
"CD27",0.7468,0.1058,1,0.4009,0.2379,0.0134,0.5255,0,0.1729,0.1215
"LAG3",0.0087,1,0.0225,0.6338,0,0.7943,0.031,0.9216,0.0233,0.3934
"CD69",0.0854,0.1553,0.1085,0.1724,0.8819,0.3406,0.1049,1,0,0.3295
"KLRD1",0,0.797,2e-04,0.3492,9e-04,0.7909,0.0156,1,0.09,0.6866
"TRDV1",0,0,0,0,0,0,0,0,0,0
"TRDC",0,0,0,0,0,0,0,0,0,0
"GZMB",5e-04,1,0,0.2817,1e-04,0.8445,0.0034,0.9007,0.0445,0.5307
"ITGAE",0.1254,0.198,0.2591,0.5063,0.1568,0.2828,0.1028,0.0715,0,1
"TOP2A",0.0521,0.3725,0.001,0.96,0,0.1587,0.175,0.1139,0.0428,1
"CCR7",0.9934,0.0074,0.8726,0.2321,1,0.0257,0.9128,0.0169,0.5412,0
"TBX21",0,1,0.0055,0.4005,0.0028,0.9183,0.0131,0.9365,0.1091,0.3791
"BCL2",0.246,0,0.1863,0.1365,1,0.0628,0.3675,0.1291,0.8193,0.9149
"TYROBP",5e-04,0.0966,0.0011,0.015,0,0.106,0.0025,0.199,1,0.0293
"NKG7",0.0019,1,0.0014,0.4911,0,0.7837,0.0031,0.8091,0.0665,0.2696
"CXCR3",0.0556,0.2709,0,1,0.0066,0.3478,0.1188,0.4168,0.0219,0.0705
"CXCL13",0.0564,0.1813,0.0119,1,0,0.3372,0,0,0,0
