"Comparison","Module","CD8_Annotation","cohens_d","p_value","p_adj","star"
"Suppressed vs Unsuppressed","Exhaustion","TEM CD8",-0.5160995041959,3.22211217059234e-15,6.76643555824391e-14,"***"
"Suppressed vs Unsuppressed","Exhaustion","TEMRA CD8",-0.321118609236991,7.2252958009526e-10,2.52885353033341e-09,"***"
"Suppressed vs Unsuppressed","Exhaustion","Transitional Tem CD8",-0.479431288518307,0.00341206997881794,0.00551180535039821,"**"
"Suppressed vs Unsuppressed","Stemness","TEM CD8",0.0881950638228147,0.125042357714521,0.164118094500308,""
"Suppressed vs Unsuppressed","Stemness","TEMRA CD8",0.237213641571497,7.90101216190207e-05,0.00015083750490904,"***"
"Suppressed vs Unsuppressed","Stemness","Transitional Tem CD8",0.0141514003928685,0.746903558100051,0.746903558100051,""
"Suppressed vs Unsuppressed","Cytotoxicity","TEM CD8",0.480029899128308,5.26598476067658e-13,2.21171359948417e-12,"***"
"Suppressed vs Unsuppressed","Cytotoxicity","TEMRA CD8",0.129762155475803,0.103413961810025,0.144779546534035,""
"Suppressed vs Unsuppressed","Cytotoxicity","Transitional Tem CD8",0.756367706455047,4.10072688817704e-05,8.61152646517178e-05,"***"
"Suppressed vs Unsuppressed","Stress_IFN","TEM CD8",-0.370672050222793,4.96951947666783e-08,1.30449886262531e-07,"***"
"Suppressed vs Unsuppressed","Stress_IFN","TEMRA CD8",-0.526937056820513,2.63721459926619e-14,1.38453766461475e-13,"***"
"Suppressed vs Unsuppressed","Stress_IFN","Transitional Tem CD8",-0.208569562613473,0.0500222979579062,0.0750334469368594,""
"Suppressed vs Unsuppressed","TypeI_IFN_Memory","TEM CD8",0.331166154295109,0.000637308194264179,0.00111528933996231,"**"
"Suppressed vs Unsuppressed","TypeI_IFN_Memory","TEMRA CD8",0.484209592831363,1.44833160113852e-14,1.01383212079697e-13,"***"
"Suppressed vs Unsuppressed","TypeI_IFN_Memory","Transitional Tem CD8",0.319708264854303,0.36233900967544,0.422728844621347,""
"Suppressed vs Unsuppressed","Inflammatory_Chemokines","TEM CD8",-0.307272856128287,6.87313758272113e-07,1.60373210263493e-06,"***"
"Suppressed vs Unsuppressed","Inflammatory_Chemokines","TEMRA CD8",-0.387720460041965,1.34255175264674e-14,1.01383212079697e-13,"***"
"Suppressed vs Unsuppressed","Inflammatory_Chemokines","Transitional Tem CD8",-0.174577364372138,0.394737738095566,0.436289078947731,""
"Suppressed vs Unsuppressed","Terminal_Differentiation","TEM CD8",0.0439703684245521,0.51775164797701,0.543639230375861,""
"Suppressed vs Unsuppressed","Terminal_Differentiation","TEMRA CD8",-0.287839659626867,1.99577177690357e-08,5.98731533071072e-08,"***"
"Suppressed vs Unsuppressed","Terminal_Differentiation","Transitional Tem CD8",0.122847419964515,0.36233900967544,0.422728844621347,""
"Suppressed vs Pre-ART","Exhaustion","TEM CD8",-0.477933016645983,2.11294144954877e-12,7.39529507342068e-12,"***"
"Suppressed vs Pre-ART","Exhaustion","TEMRA CD8",-0.456556391070392,1.90909156609978e-18,8.01818457761906e-18,"***"
"Suppressed vs Pre-ART","Exhaustion","Transitional Tem CD8",-0.498293365258262,0.00559843204525805,0.00839764806788707,"**"
"Suppressed vs Pre-ART","Stemness","TEM CD8",0.182769980602284,0.00882623179400623,0.0123567245116087,"*"
"Suppressed vs Pre-ART","Stemness","TEMRA CD8",0.117837613387736,0.0750933660771539,0.0927623933894255,""
"Suppressed vs Pre-ART","Stemness","Transitional Tem CD8",-0.088339993412575,0.813979145366182,0.813979145366182,""
"Suppressed vs Pre-ART","Cytotoxicity","TEM CD8",-0.0775428399691582,0.00190416678558684,0.00333229187477698,"**"
"Suppressed vs Pre-ART","Cytotoxicity","TEMRA CD8",-0.758357355676096,3.31939226427817e-57,3.48536187749207e-56,"***"
"Suppressed vs Pre-ART","Cytotoxicity","Transitional Tem CD8",-0.256114934318706,0.119710842520756,0.139662649607549,""
"Suppressed vs Pre-ART","Stress_IFN","TEM CD8",-0.230838150448728,1.86344786471399e-09,4.34804501766597e-09,"***"
"Suppressed vs Pre-ART","Stress_IFN","TEMRA CD8",-0.137010584620953,1.40309868989648e-10,3.68313406097827e-10,"***"
"Suppressed vs Pre-ART","Stress_IFN","Transitional Tem CD8",0.230159439655742,0.662520583540057,0.69564661271706,""
"Suppressed vs Pre-ART","TypeI_IFN_Memory","TEM CD8",0.370926806509436,7.74331041535219e-05,0.000162609518722396,"***"
"Suppressed vs Pre-ART","TypeI_IFN_Memory","TEMRA CD8",0.650055876462343,4.53107691774671e-23,2.37881538181702e-22,"***"
"Suppressed vs Pre-ART","TypeI_IFN_Memory","Transitional Tem CD8",0.530141805067533,0.0543404801107513,0.071321880145361,""
"Suppressed vs Pre-ART","Inflammatory_Chemokines","TEM CD8",-0.734936902754644,4.41139182605667e-29,3.08797427823967e-28,"***"
"Suppressed vs Pre-ART","Inflammatory_Chemokines","TEMRA CD8",-0.832936337911159,2.20392341347687e-72,4.62823916830142e-71,"***"
"Suppressed vs Pre-ART","Inflammatory_Chemokines","Transitional Tem CD8",-0.514081776593684,0.000636453098540867,0.00121504682448711,"**"
"Suppressed vs Pre-ART","Terminal_Differentiation","TEM CD8",0.428952086340633,1.3988172380574e-10,3.68313406097827e-10,"***"
"Suppressed vs Pre-ART","Terminal_Differentiation","TEMRA CD8",-0.138507929774676,0.00520952184618296,0.00839764806788707,"**"
"Suppressed vs Pre-ART","Terminal_Differentiation","Transitional Tem CD8",0.140075447329092,0.291408832694398,0.322083446662229,""
"Unsuppressed vs Pre-ART","Exhaustion","TEM CD8",0.0664530813411709,0.541493915633624,0.668904248723888,""
"Unsuppressed vs Pre-ART","Exhaustion","TEMRA CD8",-0.137313232389838,0.0212325028433397,0.0486218726447249,"*"
"Unsuppressed vs Pre-ART","Exhaustion","Transitional Tem CD8",0.00800660358685345,0.843460366104982,0.843460366104982,""
"Unsuppressed vs Pre-ART","Stemness","TEM CD8",0.0960779711295556,0.11295136315097,0.158131908411357,""
"Unsuppressed vs Pre-ART","Stemness","TEMRA CD8",-0.127348740951558,0.0304820675648606,0.0581930380783702,""
"Unsuppressed vs Pre-ART","Stemness","Transitional Tem CD8",-0.0985295166544011,0.588892197545085,0.687040897135933,""
"Unsuppressed vs Pre-ART","Cytotoxicity","TEM CD8",-0.511117520072598,2.39462774112193e-22,2.51435912817803e-21,"***"
"Unsuppressed vs Pre-ART","Cytotoxicity","TEMRA CD8",-0.833853445246516,3.86592903095845e-57,8.11845096501275e-56,"***"
"Unsuppressed vs Pre-ART","Cytotoxicity","Transitional Tem CD8",-0.872699904271622,1.21153225991526e-05,4.24036290970341e-05,"***"
"Unsuppressed vs Pre-ART","Stress_IFN","TEM CD8",0.252440669942739,0.736190963063094,0.813684748648683,""
"Unsuppressed vs Pre-ART","Stress_IFN","TEMRA CD8",0.452295627872822,0.00597329452244005,0.0179198835673201,"*"
"Unsuppressed vs Pre-ART","Stress_IFN","Transitional Tem CD8",0.459925354724475,0.0362410063899115,0.0585431641683186,""
"Unsuppressed vs Pre-ART","TypeI_IFN_Memory","TEM CD8",0.0527268632960253,0.282810298153724,0.371188516326763,""
"Unsuppressed vs Pre-ART","TypeI_IFN_Memory","TEMRA CD8",0.199374238700612,0.0340092772788285,0.0585431641683186,""
"Unsuppressed vs Pre-ART","TypeI_IFN_Memory","Transitional Tem CD8",0.356478720343865,0.109478842132515,0.158131908411357,""
"Unsuppressed vs Pre-ART","Inflammatory_Chemokines","TEM CD8",-0.324503116942787,4.50882875307318e-13,2.36713509536342e-12,"***"
"Unsuppressed vs Pre-ART","Inflammatory_Chemokines","TEMRA CD8",-0.346272239445345,4.19268131062768e-18,2.93487691743937e-17,"***"
"Unsuppressed vs Pre-ART","Inflammatory_Chemokines","Transitional Tem CD8",-0.279498396757572,0.0231532726879642,0.0486218726447249,"*"
"Unsuppressed vs Pre-ART","Terminal_Differentiation","TEM CD8",0.4013574891704,9.88024771490587e-13,4.14970404026047e-12,"***"
"Unsuppressed vs Pre-ART","Terminal_Differentiation","TEMRA CD8",0.137274356057684,0.0176990399982299,0.0464599799953534,"*"
"Unsuppressed vs Pre-ART","Terminal_Differentiation","Transitional Tem CD8",0.0189759686413909,0.78699020868423,0.826339719118442,""
