"","CP002-entry","CP006-entry","CP013-entry","CP018-entry","CP022-entry"
"LINC01409",0,0.0677156690867328,0.0681401792701194,0.056173758686287,0
"LINC01128",0.161007155885522,0.187062177442859,0.213577353403693,0.18051979517601,0.426088527950363
"LINC00115",0,0.0253693781458029,0,0.0085665578713817,0.064400208656676
"FAM41C",0,0,0,0,0
"NOC2L",0.540936706204804,0.394816578941015,0.182179176729442,0.333791382004187,0.165675204021754
"KLHL17",0.0827363680126877,0.0155040682675134,0.0330134331659552,0.113008502318565,0
"PLEKHN1",0.0301539055338447,0.0148922988943957,0,0.0132566392563556,0
"HES4",0,0.0167740203972088,0,0.0134835036075114,0
"ISG15",0.89678653374056,0.955010791058533,1.45456344220953,0.423102499532408,0.892718734845316
"AGRN",0,0,0.0239265359639762,0.0285521381279062,0
"C1orf159",0.0595482668476934,0.149677030466721,0.0314020053320605,0.0389172671588924,0.259935140510356
"TNFRSF18",0.0322372662798195,0.0418620227729404,0,0,0
"TNFRSF4",0.0831625792158675,0.06162163384625,0.0353096123357662,0.0106378112490599,0
"SDF4",0.529662986852419,0.609144653080934,0.419538460721681,0.566448373083006,0.435303492395761
"B3GALT6",0.269904220784141,0.141971150473975,0.126037724230482,0.247872646694893,0.330803416251735
"C1QTNF12",0,0.0199298469387755,0,0,0
"UBE2J2",0.595499872272057,0.39353806167423,0.73689923762271,0.476789946891576,0.3212060845613
"ACAP3",0.196993281921242,0.0460257939420312,0.0631839873085232,0.0313745987790959,0.0524095280521999
"PUSL1",0.0609237344415734,0.0606998989025272,0.0402735378692077,0.067246833696605,0.0479673821801175
"INTS11",1.11189311187403,0.379888114700131,0.447522595621137,0.744234973556881,0.533875097409596
"CPTP",0.39174080692509,0.284588144120762,0.12748483448457,0.233546841113901,0.120713220416499
"DVL1",0.0397322049387131,0.0929353240759574,0,0.12731675362216,0
"MXRA8",0.0625199412741876,0,0.0293922275193548,0,0
"AURKAIP1",0.9737858932697,1.01285865466875,1.05946357759327,1.12422504871912,1.44122415815927
"CCNL2",0.524011003499637,0.410592958876343,0.559583149029535,0.619924341143706,0.535215434750628
"MRPL20-AS1",0.168771357267932,0.139570931520314,0.181008627099092,0.176831266455341,0.236338366954999
"MRPL20",0.661216842906818,0.669043157417091,0.470327107287797,0.816263819191783,0.67219989605997
"ATAD3C",0,0,0,0,0
"ATAD3B",0.133009581680277,0.039485156496136,0.0406243144646934,0.0475866627082779,0.0879925382327579
"ATAD3A",0.172642913196875,0.0221851483742723,0.0353096123357662,0.0947956379308111,0
"TMEM240",0,0,0.0490804772585609,0.0191169538881301,0
"SSU72",1.88832067676777,1.88533174959954,1.19190651658538,1.54845599738267,1.27762877443328
"AL645728.1",0,0,0.0296020887233803,0.0358381289413676,0
"FNDC10",0.0519105113283437,0.0368788972688814,0.0744910139703212,0.0959221456071366,0
"AL691432.2",0,0.0521698010669846,0.132446278236227,0.0514026463905148,0
"MIB2",0.409818725753202,0.457715370967082,0.146547202112068,0.367266690552562,0.643482190777591
"MMP23B",0,0,0,0,0
"CDK11B",0.73026371888077,0.317973645384398,0.301111527395433,0.296288476784483,0.331018917298909
"SLC35E2B",0.498760564499536,0.433976108635192,0.194707551858074,0.417484731731848,0.345652879410851
"CDK11A",0.561788896246297,0.498024620648692,0.141851324698103,0.348246334454979,0.466557751303875
"SLC35E2A",0.0463138784168064,0.152826024572908,0.12879134482509,0.164044646633039,0.249808603847543
"NADK",0.361107767183294,0.149132621840755,0.0544920523341671,0.0801417135206602,0.324106131641316
"GNB1",1.31926903779211,1.19639731235865,0.606699413929076,0.893342513496762,1.27999382142054
"PRKCZ",0.0595482668476934,0.0270609629373052,0.163112944579063,0.043872641068792,0.0271532529597046
"FAAP20",1.08601799325614,1.00299895360075,1.32202606741889,1.00097852612117,1.34369779037121
"SKI",0.0557987591179832,0.135498993740562,0.137607744036126,0.148820396188673,0.0640803824317224
"MORN1",0.0764677839506511,0,0,0,0.0730150849165438
"RER1",1.36663597640147,0.669302489950185,0.50009281884546,0.772820411338293,0.79684210314368
"PEX10",0.0970316899435769,0.0150616926932716,0.0537641331929416,0.0492196616223712,0.341233236415971
"PLCH2",0,0,0,0.010806756816632,0.208391813124287
"PANK4",0.306208653074486,0.39446817409935,0.430251207687056,0.33996754311152,0.109042366036977
"AL139246.5",0.196542056558104,0.244895326036904,0.253117423504862,0.154533742619578,0.519595728224775
"TNFRSF14-AS1",0.0725205404427515,0.0186433599809092,0.0298866102008978,0.0431861657713079,0.0472299626883295
"TNFRSF14",1.20289842312254,1.67649598703448,2.80107207026574,1.94076590163309,1.5663670886082
"AL139246.3",0.0670000773987979,0.0839892971821005,0.23678191469337,0.219470251708722,0.171611051839785
"PRXL2B",0.29793197460998,0.421380338710976,0.35629845997577,0.21499117828907,0.335192444737865
"MMEL1",0.0277798612673728,0,0,0.0648369024979321,0
"TTC34",0,0,0,0,0
"MEGF6",0.137492159626686,0.0181770590972545,0.0490160037252163,0.09917860913121,0.223788963250629
"AL513320.1",0,0,0,0,0
"TPRG1L",0.386624879537834,0.129283954434126,0.134087081452068,0.279186361232524,0.317779450840785
"WRAP73",0.20714184823299,0.0923912660479917,0.230838407537612,0.26508881535276,0.274820081890199
"SMIM1",0.0201922708025822,0.0187552514704117,0.0406243144646934,0.010041965373295,0
"LRRC47",0.386889171380084,0.170492673978181,0.175867274275436,0.211834107407783,0.473020757007912
"CEP104",0.184740704501565,0.174243333606746,0.213234398625204,0.146855992771636,0
"DFFB",0.0599244757412953,0.061848759228354,0.0269751909169137,0.0739076593778023,0
"C1orf174",0.236044811050043,0.315687606922243,0.0288636107799814,0.249915862340165,0.419231058621089
"NPHP4",0.0201922708025822,0,0,0.0288376671953808,0
"KCNAB2",0.975092012286922,1.64472987807103,0.726727169381089,1.192790688386,0.684354857999129
"RPL22",13.8879947673728,16.885509334179,25.7835701261825,16.6871032711878,19.6505630116109
"ICMT",0,0.0397828508182412,0.115722899345968,0.0200954475154839,0
"GPR153",0,0,0,0,0
"ACOT7",0,0.0229172777940745,0.0938000921574594,0.00910587583956175,0.162304633861544
"AL031848.2",0.0358554023334696,0,0.0314020053320605,0.0277210239219026,0.110095783331498
"ESPN",0,0,0.109720456955935,0,0
"TNFRSF25",0.978945213047682,0.717889592091259,0.882784889380236,0.811060466520766,0.855617247328794
"PLEKHG5",0,0,0,0.0208243204938327,0
"NOL9",0.102198269327862,0.127251705325259,0.0755611254941985,0.198413072609859,0.171454956170983
"ZBTB48",0.209915885476856,0.13285893236872,0.136414455716561,0.121091524880108,0.16917858698868
"KLHL21",0.0306490863507359,0.100144756841312,0.104639129460041,0.0543713972084958,0.0892833125185825
"PHF13",0.0748536901560799,0.115948150089529,0,0.0994118583649382,0.069149120077447
"THAP3",0.21258544325952,0.493789331179069,0.257831551082838,0.179380252555219,0.587657387068355
"DNAJC11",0.100636557040155,0.127600713059154,0.213504774665923,0.136577589195556,0.126484444300149
"CAMTA1-DT",0,0,0,0,0
"CAMTA1",0.340237189339787,0.256460590429337,0.494263357969149,0.477892928625127,0.558502004485182
"VAMP3",0.163424635807175,0.16452969086891,0.0663281641864999,0.145113253143461,0.0460303432022389
"PER3",0,0,0,0,0
"TNFRSF9",0,0,0,0,0
"PARK7",1.6217357845714,1.33507075689103,1.5168117140847,1.47250589455837,2.280517366253
"ERRFI1",0,0,0,0,0
