"","CP002-entry","CP006-entry","CP016-entry","CP018-entry","CP020-V1","CP022-entry"
"LINC01409",0.0152468774395004,0.0903899713531363,0.0960742988758789,0.028107099291139,0.0570274171165784,0.195324322851994
"LINC01128",0.0330871648270203,0,0,0.212668897628619,0.124136739700141,0.0414286220296751
"LINC00115",0.0423992201106558,0.0491161169710152,0,0,0.0674384072733309,0.0767502163571215
"FAM41C",0,0.0412230340094295,0,0,0,0
"NOC2L",0.465472037538464,0.31517296986044,0.189678716295166,0.424935004579175,0.394488642961595,0.117437018913566
"KLHL17",0.11557521273729,0.024334022429099,0.0585055346235754,0.0744160212310127,0.0444141187984851,0.0634254112828257
"PLEKHN1",0.110183631378214,0.0331046935089633,0,0,0.020054387498897,0.0623105225953431
"HES4",0,0,0,0,0.224529164496379,0
"ISG15",2.44454099288848,1.4213283511288,2.79750201440092,3.18929572823274,2.15990540253411,1.81614662294649
"AGRN",0,0.0075755280143026,0,0,0,0
"C1orf159",0.0702539505885419,0.0194765862218734,0.0974747250928116,0.0962160909093887,0.0839903685908914,0.0177088313942163
"TNFRSF18",0.0415378991792111,0,0,0,0.0247469623103764,0.132971914795546
"TNFRSF4",0.0415378991792111,0.00789018752608693,0,0,0.0248158662722598,0.0109385254867644
"SDF4",0.827270663675476,1.04780342907528,0.827590667355227,0.822344699303549,0.786676585797493,1.09059799816155
"B3GALT6",0.304399763839617,0.140218823305553,0.0644959179131259,0.0640126171868069,0.216167835856906,0.243766153612434
"C1QTNF12",0,0,0,0,0,0
"UBE2J2",0.655684346686504,0.523016121136601,0.263939716955583,0.688452469848924,0.628030974026627,0.811256106443972
"ACAP3",0.15745786163132,0.219918733627947,0.10465392583087,0.0998895343073881,0.206919701273806,0.0982490431415532
"PUSL1",0.114716188583889,0.0555264693804117,0.0226164521119243,0,0.205196039427577,0.0288659229092398
"INTS11",0.505546589834795,0.511540710707509,0.504578832451436,1.25602480594736,0.623365705637151,0.563901641612517
"CPTP",0.192821618067174,0.265855915686076,0.189462213536792,0.381862906723978,0.158276949151267,0.142427787604205
"DVL1",0.180457048349264,0.15780118664586,0,0,0.0309141945615749,0
"MXRA8",0,0.0120257061494651,0,0,0,0
"AURKAIP1",1.68597308902937,1.60172272766851,1.67315201472126,1.91270536250797,1.4421614140777,1.27080983304493
"CCNL2",0.47353081409752,0.478225629001634,0.359540604520984,0.15177027902379,0.778966177852341,0.477529893538309
"MRPL20-AS1",0.117769749189747,0.169612375144692,0.066694223643198,0.126560096817544,0.0387253515560751,0.270090041735837
"MRPL20",0.588429728568846,0.700267697172353,0.819458951067429,0.687870990306667,1.03082010887745,0.829296700966574
"ATAD3C",0,0.0127416777731625,0,0,0,0
"ATAD3B",0.0998020589868859,0.152488096362534,0.0673853592869833,0.0965851949629456,0.0764371635618617,0.0423111029861868
"ATAD3A",0.118835834747525,0.0289534486452681,0.0698308133954488,0.0265612715411912,0.105554822437945,0.0279981317510518
"TMEM240",0,0.0222103273580149,0,0,0,0
"SSU72",2.20716524973504,1.57018158697501,1.45951896777772,1.7094930657985,1.01304307360439,1.37220403340663
"AL645728.1",0,0,0,0,0,0
"FNDC10",0.0206214479555897,0.0365625368142898,0.0334972465263355,0.0454709896555951,0,0
"AL691432.2",0.0654306820702413,0.050830801664896,0.0106600716356814,0.049438380003164,0,0.0364599431076827
"MIB2",0.864567985918094,0.587297039803685,1.23630147319853,1.14770429488313,0.500624870586754,0.42042770785591
"MMP23B",0.112149713921452,0.0110856387766776,0.201024977189292,0,0.0813520448490433,0.153415562267333
"CDK11B",0.492413896335698,0.367400171628287,0.580328527485112,0.185342501875917,0.69254934890571,0.785108733684382
"SLC35E2B",0.343586120640447,0.232494388221194,0.342181365025877,0.274023729073784,0.206160129901018,0.525207850587247
"CDK11A",0.388315699565707,0.689814762290711,0.435547405430442,0.30600730708395,0.555790348672693,0.630219123596588
"SLC35E2A",0.0928239313969154,0.152846042468131,0.0264813677096795,0.177859945856355,0,0.164703181176145
"NADK",0.446108809882043,0.319608837832913,0.210803638261,0.301981084011392,0.265804126881668,0.168111775112384
"GNB1",1.53471220149556,1.48931726516849,1.16886643684532,1.45795266450483,2.10537726032442,1.43365413364993
"PRKCZ",0.168818099936135,0.16742486974969,0.297193534792746,0.319789445226564,0.114252547420956,0.245131891783495
"FAAP20",1.08920683078014,1.29764156677728,1.00177987126543,1.65291933399594,0.641532636627504,1.50225076270594
"SKI",0.188188245219783,0.302164587220402,0.262906554459146,0.181676075868297,0.6109601548562,0.23409036256958
"MORN1",0.0416486448766662,0.0354445202116039,0,0,0,0.041697940121758
"RER1",0.975020307459527,1.00058180657697,1.3337663324009,1.60556927005363,0.972730773095262,1.50783137874656
"PEX10",0.0215120381365412,0.0468680690810981,0.130296662226562,0.108733736288091,0.0421658823219768,0.100491248449311
"PLCH2",0,0.0484300348671415,0,0,0,0
"PANK4",0.321849173493591,0.213043159785754,0.333207688837787,0.216993968790572,0.222043805641221,0.404076722645946
"AL139246.5",0.495416771268163,0.233446883271498,0.0930028397167048,0.0886326473607956,0,0.601049694233403
"TNFRSF14-AS1",0.070330032968285,0.130371409650862,0.0653984367130361,0.0918593566968572,0.0370589388219615,0.112817023349751
"TNFRSF14",1.96957560662628,1.39994946367601,2.60105666710221,2.39888547097895,1.8163937767177,2.48365673548262
"AL139246.3",0.0272732231495118,0.0304928031777469,0.0686353368380635,0,0,0
"PRXL2B",0.110405983950784,0.200799766192404,0.145999403319809,0.320174375356242,0.0880131096044866,0.133745561291897
"MMEL1",0,0.0389566291259366,0,0.0592866628723202,0,0
"TTC34",0,0,0,0,0,0.0164430413049198
"MEGF6",0,0.149429536422027,0.0401603228456634,0.0329680473684905,0,0
"AL513320.1",0,0,0,0,0,0
"TPRG1L",0.470413730772393,0.178051042649485,0.160076228421402,0.434241345161379,0.437183719826953,0.277204523939704
"WRAP73",0.36786849135018,0.416896839209178,0.31000611211461,0.466599019018479,0.454487788098582,0.510701378945492
"SMIM1",0,0,0,0,0,0.0282773441918335
"LRRC47",0.138398685811769,0.391677416055417,0.34511236977712,0.257905935258419,0.598069656816138,0.181125264236929
"CEP104",0.229929320851047,0.293937507693312,0.400013285794431,0.109358239112484,0.394705760294819,0.210737890783627
"DFFB",0.0627474875340445,0.0747165359858726,0.0472384407535476,0,0.130741297684377,0.0222883076678476
"C1orf174",0.361097486961274,0.340590663800373,0.31750397733915,0.322244068948524,0.503818638257029,0.401057381757091
"NPHP4",0.0665442252921292,0.0578379329877559,0.0133686265073126,0.0659360947369809,0.144068898416357,0.0350373232126504
"KCNAB2",1.34970023059674,1.68006966623901,1.05478464318544,1.27796243566735,0.457479791697238,1.57549396883827
"RPL22",7.03901645668029,11.8795570352557,8.43281463176997,8.14570516165656,9.33153461311916,8.46295487079563
"ICMT",0.131505606119571,0.0343894328150846,0.0910991865035499,0.0851715904711762,0.172719575179989,0.0262271751932223
"GPR153",0.139781741880647,0.0864752527038323,0,0.028107099291139,0,0
"ACOT7",0.0541265194310124,0.229324010078732,0.349396591778606,0.1037933418657,0.499813098424275,0.62979046118635
"AL031848.2",0.0711374895635203,0,0,0,0,0.0571200091392015
"ESPN",0,0.128577046331524,0,0,0.00882547101538809,0.0170596062642874
