"","CP002-entry","CP003-entry","CP011-entry","CP016-entry","CP017-entry","CP018-entry","CP020-V1","CP022-entry"
"LINC01409",0.118597895451769,0.24934688460296,0.0910428393361847,0.0781692990063824,0.0374111485222596,0,0.0480685359094643,0.0929333853428437
"LINC01128",0.0823797260745376,0.0601636671054463,0.0454234486935923,0.0492121140539955,0.0387741175010857,0.159502983080717,0.0205538016311497,0.0599480440640015
"LINC00115",0.0515886329012807,0.0227287338822654,0.0545328307628311,0.040138236085077,0.0387741175010857,0.0868787086348748,0.0765085075821556,0.0943382673752212
"FAM41C",0,0.0374425562576852,0,0,0,0,0,0
"NOC2L",0.346912597914097,0.380934471861273,0.291158676815606,0.176979729275686,0.522544486244009,0.0719403758165233,0.321643908759541,0.365044760020952
"KLHL17",0.146919922916269,0.212541120266543,0.198995637661966,0.0669087051769587,0.102690490860546,0.17770920719361,0.0453040742962035,0.0819899309456384
"PLEKHN1",0.00837405216197092,0.0119948661972676,0,0.0353349398952672,0,0,0.0320069647155221,0.0236381289761786
"HES4",0.0101684919109647,0,0,0,0,0,0.407409619499217,0
"ISG15",1.88222254069191,0.390032102803975,1.74808025529842,2.52063935233196,1.08669186151219,0.545853464732379,2.3015939023649,1.57519651904693
"AGRN",0.0280436021294619,0,0.00905101878267418,0.0532193729161289,0,0,0.0474279015565458,0.033557898584787
"C1orf159",0.092612153820658,0.15740161065521,0.0933701957430327,0.183530366576166,0.0774617339034517,0.172436757629311,0.0539486976295561,0.100298019670811
"TNFRSF18",0.0667223424769573,0.0246054044580355,0,0,0.0387741175010857,0.99506177026724,0.0205538016311497,0.0648395051979961
"TNFRSF4",0.0291440863038129,0,0,0,0.094404144611097,0,0,0.0437616167592409
"SDF4",1.19519028219898,0.892304959897748,0.809849799421922,0.54147189943075,0.86166798401419,0.52270871196607,0.927934788911017,1.02862327022403
"B3GALT6",0.292428015131867,0.162772951315502,0.181840727403934,0.260733325022598,0.0389262580966617,0.334868850053786,0.128082252142584,0.334586723078843
"C1QTNF12",0,0.0369276632415854,0,0,0,0,0,0
"UBE2J2",0.578199946706253,0.610897399005455,0.545141791047236,0.310310101881167,0.66577113572303,0.184629575133478,0.56807559589113,0.573143038669653
"ACAP3",0.206829058537156,0.170133475703627,0.191893736501959,0.0471842781985043,0,0.35576186191713,0.0559111276526888,0.152908052291653
"PUSL1",0.168203397340897,0.128369110761862,0.188798933937047,0.140068251330979,0.0975343320848939,0.077061788141732,0.113922560374498,0.0851262438350361
"INTS11",0.838338239453028,0.755476174894687,0.702741704992639,0.626086364754351,0.475131585085498,0.978183680679068,0.463236078352135,0.802546010300415
"CPTP",0.216027040406163,0.219470897881662,0.163567716491303,0.233839198850135,0.165999331889606,0.298194381466748,0.17729216126229,0.20372791696147
