"","CP006-entry","CP011-entry","CP016-entry","CP017-entry","CP018-entry","CP020-V1","CP022-entry","CP042-entry"
"LINC01409",0.0601608160033705,0.0238068773643124,0.0106491055816222,0.0354009114752406,0,0.0221822678793796,0.101452462461353,0.0603247350520474
"LINC01128",0.0470893727831041,0.118545987648488,0.0604153309649251,0.0699202739086781,0.117689462226551,0.105001148662228,0.0949021879837553,0.0587788041624397
"LINC00115",0,0.0305700599725066,0.0126545436138846,0.03863941259959,0,0.0221822169643804,0.120671334931429,0
"FAM41C",0,0,0,0,0,0,0,0
"NOC2L",0.221461104110246,0.430330949730256,0.248904255843967,0.347974390008104,0.309662513032146,0.198485731066991,0.186189407627994,0.40557797754696
"KLHL17",0.0196636457280269,0.0444760368153244,0.0659093380019362,0.0385254588562623,0.0324867291711336,0.0241223856098108,0.0403463429795129,0.0404021450904979
"PLEKHN1",0,0,0.0358524774770063,0,0.0186434294961427,0.0158023490736211,0,0
"HES4",0.430804690402635,0,0.0567952988132535,0.0499057415242716,0.0999876991464495,1.87906712446093,0.456687800969237,0
"ISG15",1.86435164254895,1.48447855649432,2.08941615799217,1.28185593967772,1.37633362996461,2.79176161508936,0.397883623675092,0.663096272289561
"AGRN",0.0392209090628471,0.0355931776245769,0.0175006300226808,0.0279451067860036,0.0167025772076631,0.0122832165813597,0,0
"C1orf159",0.148850333599335,0.0861788111749412,0.0377749075497499,0.127256346181338,0.073827980804725,0.041322744166053,0.0205752849676968,0.0363815493530011
"TNFRSF18",0.27788321671106,0.652875988464994,0.2060767796519,0.118371238653056,0.427503805255763,0.0356994605944307,2.55300356912895,0.0809618966083552
"TNFRSF4",0.135158279952393,0.621510140064609,0.473488944228479,0.413051218622073,0.388192126521997,0.0374571411499905,1.20915304098357,0.107397932492594
"SDF4",1.03292118673891,1.49820434619499,1.20138366914435,1.18860646909985,1.61985939117437,0.617373703612899,1.99279470702845,1.01526753648755
"B3GALT6",0.185580288051302,0.290057548407064,0.277634764436665,0.339153472217752,0.43838637740269,0.127447791094841,0.330663673555678,0.179548478237611
"C1QTNF12",0,0,0,0,0,0,0,0
"UBE2J2",0.401944072840913,0.461647839794058,0.534315155424831,0.445248386811842,0.329808377909282,0.315911847718168,0.560244749447809,0.541216204658792
"ACAP3",0.0982124441102355,0.111562404445271,0.0297765539875364,0.0822914938997572,0.155413544855702,0.0720545019812377,0.094716718598348,0.0119616652551902
"PUSL1",0.128248291483467,0.131261043589998,0.113139723541997,0.122782932952019,0.135710487357783,0.0646809264725355,0.115805442172822,0.109577326308815
"INTS11",0.451210910438259,0.43547398175051,0.591115215321708,0.518563458666878,0.305903066467885,0.278823180153202,0.248165557048732,0.40304080117001
"CPTP",0.127477361246928,0.0300493439103056,0.0592072600295115,0.0918043915364964,0.081387253758741,0.0431311282430028,0.171688383670104,0.104525757850327
"DVL1",0.191547389689149,0.0414523571176382,0.0168394393140286,0.0378269782225211,0.0998004995723741,0.0104346991311026,0.0621610067312092,0.0536246072952133
"MXRA8",0,0,0,0,0,0,0,0
"AURKAIP1",1.72282279825188,2.01699220564719,1.75496934294001,1.66322427500457,1.71564588935687,1.31685198858073,1.76393944617436,1.8848146573196
"CCNL2",0.71093006760057,0.353741953232604,0.532464901187592,0.277969019487306,0.461189038961843,0.554058711185331,0.611390962688011,0.429231557096076
"MRPL20-AS1",0.116622362272113,0.127756640644588,0.0571327256373519,0.142050090171204,0.158194512149698,0.0675468887066124,0.112448706986643,0.172028292335467
"MRPL20",0.775218975921355,1.58986003916836,1.37203196964863,1.24082085448208,0.855191286469282,0.713929382441099,1.19438391994032,1.16891651077299
"ATAD3C",0,0,0,0,0,0,0,0
"ATAD3B",0.149462302324274,0.0926529925557906,0.0540102695449529,0.177333902084022,0.123600455543244,0.0268640072561971,0.121777349111636,0.0741060356895179
"ATAD3A",0.0591236613782502,0.0540165702469156,0.251077356299711,0.200770129720994,0.180323917803093,0.0093149939731989,0.0374127699323425,0.167965413510777
"TMEM240",0,0,0,0,0,0,0,0
"SSU72",1.54511185737017,2.09055476422169,1.64831411070939,2.21779790758761,1.39024447513276,0.837942115461215,2.04051979390271,1.34771319316502
"AL645728.1",0.0817239627100778,0.0758231733506086,0,0.0325318438380823,0,0,0,0.0480313699016036
"FNDC10",0.107951066565463,0.0154771928086771,0.0322833932070779,0.0335779244016219,0.10587740015058,0.0312351211307033,0,0.117457023677351
"AL691432.2",0.14444430507193,0.114873414723345,0.0323738647385989,0.0406404168961041,0.142806079813277,0,0.0812349627227361,0.0838222812944045
"MIB2",0.294245472393978,0.0693771960922824,0.0869033519872899,0.107090954674206,0.104834145023173,0.0857346078745208,0.0836095100075363,0.165465235753635
"MMP23B",0,0,0,0,0,0,0,0
"CDK11B",0.480530608757968,0.363139703476262,0.463138899858095,0.533651223430485,0.364941882291251,0.503764611819061,0.353290412672867,0.608449356744522
