"","CP002-entry","CP003-entry","CP006-entry","CP011-entry","CP013-entry","CP016-entry","CP017-entry","CP018-entry","CP022-entry","CP042-entry"
"LINC01409",0.0510179760622703,0.157038902968843,0.0906240222468219,0.0746250128103988,0.030508657484713,0.0379624143740551,0.0367109690092063,0.0475988083491344,0.10424169949452,0.108838516893032
"LINC01128",0.228791652002397,0.248742125878478,0.221251340991287,0.159302726920556,0.161707353114517,0.0917166731068987,0.13637990689864,0.178582318655665,0.196590572618377,0.154091864022483
"LINC00115",0,0.0144801941355694,0.0268827180095348,0.0606858935106197,0.0250731676909298,0.0278584761736776,0.0496838426336752,0.0179703597794197,0.0678050884043935,0.0656861374378988
"FAM41C",0,0.00442358674144888,0,0,0,0,0,0,0,0
"NOC2L",0.573872712335288,0.442124203554884,0.390198283700017,0.477930371004058,0.237303886308558,0.428364514774177,0.691460622594915,0.44902875080931,0.388709066813801,0.386514992259203
"KLHL17",0.05383731164574,0.105504793787447,0.0446213899044749,0.125502939868195,0.0755785669606165,0.0351563659310484,0.0225063017644941,0.0670873096207871,0.0899996323943804,0.0868428370899987
"PLEKHN1",0.0258348524104474,0.0271240698524247,0.0148469828607263,0,0.00679494582507769,0.013606597572081,0,0.0154555007347202,0.0174861658130873,0.0195130327545768
"HES4",0,0,0.00383684368119398,0,0.00445621231207658,0,0,0,0,0
"ISG15",1.17185416584269,0.393019105016678,0.676723476485603,0.788695899482466,1.14361936667984,0.302763548603056,0.197294515145627,0.510079915164825,0.602019462850181,1.24332498760689
"AGRN",0.00962315716540283,0.0214968517669713,0.0103245351026798,0.00543624803207821,0.00868624185046324,0.00665516653888747,0,0.0107095538267556,0,0
"C1orf159",0.036781336673762,0.0877901998330677,0.109061872399952,0.0548759607086727,0.0991052581188461,0.100352190474241,0.0749990548896215,0.0815920190650744,0.106211931443124,0.101795012407672
"TNFRSF18",0,0.0446314668205956,0.0124175902064184,0,0.00550855470170683,0.0186763767987397,0,0,0,0
"TNFRSF4",0.0323704222046599,0.064933988463801,0.021432017499105,0.0273003761102233,0.00752086777814572,0.0839218423219739,0,0.00855185799147326,0.0249433474544495,0.0245974625257658
"SDF4",0.687339191159595,0.410190182112059,0.494984161726486,0.432536817248688,0.330938827331809,0.4032679137978,0.512155607978061,0.468585126029936,0.495440604181386,0.7423576410397
"B3GALT6",0.363911031673946,0.259715910614788,0.195952228635803,0.384714595996619,0.205514838127992,0.2652805572634,0.455542529696381,0.26885869683781,0.244747403995598,0.315756996107831
"C1QTNF12",0,0,0.00943016785470417,0,0,0,0,0,0,0
"UBE2J2",0.556540990446921,0.36035620201095,0.436795255938116,0.315409763940783,0.342918448386009,0.359048884133297,0.450519680237455,0.493877669903921,0.451178112024986,0.28503964104773
"ACAP3",0.0727079489474545,0.0804812067159378,0.062109136343594,0.105946192063123,0.0231426714705647,0.123731621087538,0.0446588105154627,0.0794615309437574,0.0894789189781959,0.120239575011478
