"","CP002-entry","CP011-entry","CP013-entry","CP016-entry","CP017-entry","CP020-V1","CP022-entry","CP042-entry"
"LINC01409",0.0190873206746223,0.0433071644915845,0.0681160977461559,0.0498719967707893,0.0527800155257338,0.0399993871316635,0.119365019129663,0.102342633176957
"LINC01128",0.227935782288254,0.371162148175219,0.0992372716947427,0.34699818160739,0.631263216361459,0.111492645269637,0.398946633621603,0.276157535679305
"LINC00115",0.0867622892275504,0.0327536429269797,0.0473391592479908,0.0577263778509801,0.0396596463639902,0.0625236277029988,0.147056195284951,0.0614605442439248
"FAM41C",0,0,0,0,0,0,0,0
"NOC2L",0.441435775310002,0.395016180030535,0.31221863865965,0.312408041754309,0.279475500570491,0.411143281685157,0.367061641962272,0.449163200591814
"KLHL17",0.0338071122187513,0.0978580028338769,0.0734075655448268,0.0457201527944471,0.0744811974695987,0.0239880983333141,0.0563000220711335,0.0609511557838636
"PLEKHN1",0,0,0.00764154432554201,0,0,0.00489921578252969,0.0109922361835835,0
"HES4",0,0,0,0,0,0.322167370014694,0.0226111081591053,0
"ISG15",0.553520370050414,0.948886547180069,1.69904965231409,0.350915737419959,0.461676669728001,0.872973569557257,0.554577065620895,0.875408714309126
"AGRN",0.0199209536558934,0,0.00662179736770311,0.0178056749751085,0.0256984527557153,0.0135344693600189,0,0.0449128829199003
"C1orf159",0.113398923819016,0.0921540647529285,0.0606904554243171,0.0725132672969212,0.14029067328422,0.0954324631686001,0.0659990091118,0.0871921357848891
"TNFRSF18",0.30263995645625,0.188002140598213,0.0892413592231933,0.114478236268554,0.124814504920293,1.11633454835399,0.28690818129696,0.114966042701994
"TNFRSF4",0.0852652480649877,0,0,0.0285506558025621,0.0497585501636224,0.108821893235556,0.0169684073707368,0
"SDF4",0.799870744868409,0.603289268897002,0.530892315179804,0.632728983243245,0.315502020640382,0.917139766602622,0.514538436008221,0.503019351497944
"B3GALT6",0.193915185394551,0.235592539193776,0.242562902306714,0.212095569181234,0.355589538223781,0.227050851667913,0.270685439999836,0.308504910463268
"C1QTNF12",0,0,0,0,0,0,0,0
"UBE2J2",0.367410581721381,0.442494854369104,0.426026480880998,0.571924999597657,0.500078171251617,0.433458271069443,0.466513068401491,0.344194569684554
"ACAP3",0.148721571433955,0.0132397722759169,0.0245245459660603,0.0326632718929247,0.0255523473487044,0.0467020169485874,0.00495842607656107,0.0245587408242405
"PUSL1",0.0714589890315652,0.139073364960763,0.039394830920291,0.0611852913444001,0.0728185184916339,0.105739863849504,0.0381021470701635,0.119329832441465
"INTS11",0.642803932229542,0.624275098522095,0.643282680447347,0.505412469036277,0.766926063145756,0.489246853715585,0.492632964928281,0.378037848195223
"CPTP",0.241915820334637,0.088386995330645,0.120726701470116,0.155139490911682,0.0978602265340291,0.145421211744839,0.0424511686519173,0.220966144714253
"DVL1",0,0.0402788600775624,0.0341208626082036,0.017850833199036,0.0142617545380903,0.0175226975956959,0.0237362303908842,0
"MXRA8",0,0,0,0,0,0,0,0
"AURKAIP1",0.776241090458043,0.88165106387972,1.0671214511642,1.08361606016762,1.28962247387752,0.922122775828521,1.07266510058756,1.4304544901736
