"","CP002-entry","CP003-entry","CP006-entry","CP011-entry","CP013-entry","CP016-entry","CP017-entry","CP020-V1","CP022-entry"
"LINC01409",0.0805908471004091,0.127777704632118,0.0732052120029258,0.087889603896228,0.103814964220857,0.0479196660770373,0.113367495643734,0.107593682855185,0.16861002282939
"LINC01128",0.0745630458071248,0.0772479423560618,0.131915790794217,0.0173695546446189,0.128065440477509,0.0926562596277091,0.0746232043538301,0.139959059353601,0.074439349317634
"LINC00115",0,0.10216455042349,0.0186775247302732,0.0164158327423634,0.0226905037972558,0.196589900460371,0.115119952398188,0.0995333394705798,0.0837018962670325
"FAM41C",0,0,0.0271290855309718,0,0,0,0,0,0
"NOC2L",0.405621599032924,0.385786999697651,0.231503740439307,0.189839704790462,0.415407618125022,0.275455677960378,0.224681164045043,0.359486449547374,0.285425259482311
"KLHL17",0.163722434676436,0.0911382280644271,0.0868361765099797,0.10067538679832,0.111286790676354,0.155852819419557,0.119337128539583,0.123988287596733,0.0695235533020795
"PLEKHN1",0,0.0233189921531591,0.0271853867891678,0,0.0261029814825449,0,0,0,0.0310719538782013
"HES4",0.0111557340473003,0,0.0110444713646809,0,0,0,0.0168662506324844,0.365689933197143,0.0519824747087251
"ISG15",2.66018773747902,0.901589380216249,1.65501034991716,1.79428707489951,2.58554492264886,0.874216477442158,0.97057379617805,2.83642230974513,1.14010357345926
"AGRN",0.059735088310534,0.0202971502801007,0.0472218227107333,0.0378917956734876,0.0190883772779592,0.0332270069112174,0,0.0612358621703214,0
"C1orf159",0.0830623422739462,0.156107788871738,0.0793377717313481,0.102958946009749,0.24606138631959,0.0617452801129431,0.0566186932533549,0.0948646329379245,0.203063094811987
"TNFRSF18",0.717800352032728,0.238186406840824,0.528549979048802,0.133942772106287,1.5805177801161,0.469404881808579,0.315350878983303,0.453217992885564,1.27828344075701
"TNFRSF4",0.337997676100608,0.0550754717914099,0.196014507919657,0.0767241591756182,0.626440202001615,0.153135453178786,0.142197338039148,0.149599008702578,0.560482080124698
