"cluster","n_cells","mean_nFeature","mean_nCount","pct_mito","pct_ribo","complexity","mean_doublet_score","pct_cycling","nFeature_vs_median","hypoxia_z","heatshock_z","flag"
"0",2404,2577,8959,2.88,37.3,0.865,0.035,29,0.98,-0.44,-0.43,""
"1",496,2735,9479,4.2,28.7,0.873,0.076,30,1.04,-0.45,0.26,""
"2",437,5218,29928,5.93,28.4,0.835,0.236,19,1.99,0.07,0.64,"HIGH DEPTH - check doublets"
"3",426,2142,6485,3.88,27.2,0.88,0.072,42,0.82,-0.58,-0.38,""
"4",408,6603,47995,4.68,22.2,0.824,0.141,97,2.52,-0.13,2.28,"CYCLING (depth/HSP expected)"
"5",250,2593,9105,2.89,37.8,0.863,0.04,29,0.99,-0.35,-0.32,""
"6",246,2708,9133,3.3,30.6,0.871,0.075,29,1.03,-0.39,-0.3,""
"7",231,2496,9137,2.59,39.2,0.859,0.042,26,0.95,2.62,-1.26,"HYPOXIA-DOMINATED"
"8",231,2619,9213,2.79,37.4,0.864,0.049,28,1,-0.35,-0.49,""
