"panel","0","1","2","3","4","5","6","7","8"
"Stem_TF",0.9901,0.7951,1.2915,0.3818,0.8429,0.9667,0.4433,1.0111,0.9887
"Stem_surface",1.2798,0.7931,1.1621,0.4658,0.6453,1.277,0.9824,1.22,1.2912
"Tscm_associated",0.9192,0.7043,0.9977,0.294,0.575,0.8728,0.6919,0.9142,0.9257
"Naive_restricted",0.7363,0.3724,0.6949,0.1571,0.3949,0.6966,0.2921,0.6844,0.7484
"Activation_early",0.4699,0.3389,0.4021,0.4418,0.3824,0.4682,0.6605,0.5182,0.459
"Activation_late",0.0575,0.1253,0.3677,0.3161,0.5393,0.0669,0.1145,0.0587,0.0521
"Costim_TNFRSF",0.1883,0.3435,0.5373,0.1521,0.5734,0.1902,0.1825,0.1936,0.1894
"Inhibitory_recep",0.0236,0.0787,0.2923,0.2428,0.3951,0.0263,0.1008,0.0268,0.0297
"Exhaustion_TF",0.1276,0.3679,0.3085,0.3011,0.3834,0.113,0.2095,0.1172,0.1248
"Tpex_hallmark",0.4164,0.8108,1.0674,0.3535,0.9145,0.4125,0.2646,0.4266,0.4234
"Glycolysis",0.8578,0.9561,1.2694,0.9404,1.7455,0.8686,1.0791,1.7186,0.8798
"OXPHOS",1.2085,1.3126,1.5388,1.2753,1.6455,1.2105,1.3243,1.1374,1.2021
"FAO_mitochondrial",0.2116,0.2256,0.2562,0.1994,0.3222,0.1972,0.2415,0.1667,0.2106
"mTOR_growth",0.7732,0.7173,0.6928,0.6864,0.8102,0.7645,0.8172,0.7467,0.7735
"Cytotoxicity",0.0671,0.3574,0.3643,1.8779,0.8912,0.06,0.8381,0.1109,0.0653
"Cytokine",0.0033,0.2126,0.1897,0.3463,0.5311,0.0026,0.1477,0.0056,0.0043
"Terminal_diff",0.0201,0.168,0.0894,0.4666,0.1626,0.0246,0.2805,0.0155,0.0215
"Tissue_residency",0.2166,0.4701,0.3933,0.4895,0.4918,0.1945,0.6169,0.2671,0.212
"Cycling",0.1315,0.1228,0.2181,0.1003,1.1972,0.1327,0.0857,0.1021,0.1225
"Type_I_IFN",0.467,0.3125,0.3171,0.2767,0.3103,0.4467,0.4092,0.355,0.4424
"MAIT",0.029,0.0308,0.0821,0.0902,0.0762,0.0226,1.0304,0.0319,0.0323
"Hypoxia",0.1251,0.1239,0.2028,0.1031,0.173,0.1391,0.1323,0.5941,0.138
"Heat_shock",0.4382,0.5033,0.5395,0.4426,0.6948,0.4485,0.45,0.359,0.4323
"Apoptosis",0.2457,0.2688,0.3605,0.266,0.4322,0.2528,0.2502,0.2115,0.2508
