"panel","gene","present_in_object"
"Stem_TF","TCF7",TRUE
"Stem_TF","LEF1",TRUE
"Stem_TF","MYB",TRUE
"Stem_TF","ID3",TRUE
"Stem_TF","BACH2",TRUE
"Stem_TF","FOXP1",TRUE
"Stem_TF","KLF2",TRUE
"Stem_surface","SELL",TRUE
"Stem_surface","CCR7",TRUE
"Stem_surface","IL7R",TRUE
"Stem_surface","CD27",TRUE
"Stem_surface","CD28",TRUE
"Stem_surface","CXCR4",TRUE
"Stem_surface","FAS",TRUE
"Tscm_associated","CD58",TRUE
"Tscm_associated","LTB",TRUE
"Tscm_associated","NOSIP",TRUE
"Tscm_associated","MAL",TRUE
"Tscm_associated","TXK",TRUE
"Tscm_associated","ACTN1",TRUE
"Tscm_associated","PLAC8",TRUE
"Naive_restricted","CCR9",TRUE
"Naive_restricted","SATB1",TRUE
"Naive_restricted","LRRN3",TRUE
"Naive_restricted","NELL2",TRUE
"Naive_restricted","TSHZ2",FALSE
"Naive_restricted","OXNAD1",TRUE
"Activation_early","CD69",TRUE
"Activation_early","JUN",TRUE
"Activation_early","FOS",TRUE
"Activation_early","JUNB",TRUE
"Activation_early","EGR1",TRUE
"Activation_early","NR4A1",TRUE
"Activation_early","DUSP1",TRUE
"Activation_early","IER2",TRUE
"Activation_late","CD38",TRUE
"Activation_late","HLA-DRA",TRUE
"Activation_late","HLA-DRB1",TRUE
"Activation_late","TNFRSF9",TRUE
"Activation_late","IL2RA",TRUE
"Activation_late","ICOS",TRUE
"Activation_late","TNFRSF4",TRUE
"Costim_TNFRSF","CD70",TRUE
"Costim_TNFRSF","TNFRSF18",TRUE
"Costim_TNFRSF","TNFRSF9",TRUE
"Costim_TNFRSF","TNFRSF4",TRUE
"Costim_TNFRSF","CD27",TRUE
"Inhibitory_recep","CTLA4",TRUE
"Inhibitory_recep","PDCD1",TRUE
"Inhibitory_recep","LAG3",TRUE
"Inhibitory_recep","TIGIT",TRUE
"Inhibitory_recep","HAVCR2",TRUE
"Inhibitory_recep","BTLA",TRUE
"Inhibitory_recep","CD160",TRUE
"Exhaustion_TF","TOX",TRUE
"Exhaustion_TF","TOX2",TRUE
"Exhaustion_TF","EOMES",TRUE
"Exhaustion_TF","NR4A2",TRUE
"Exhaustion_TF","BATF",TRUE
"Exhaustion_TF","IKZF2",TRUE
"Exhaustion_TF","VSIR",TRUE
"Tpex_hallmark","SLAMF6",TRUE
"Tpex_hallmark","XCL1",TRUE
"Tpex_hallmark","XCL2",TRUE
"Tpex_hallmark","TCF7",TRUE
"Tpex_hallmark","ID3",TRUE
"Tpex_hallmark","CXCR5",FALSE
"Glycolysis","SLC2A1",TRUE
"Glycolysis","HK2",TRUE
"Glycolysis","GAPDH",TRUE
"Glycolysis","LDHA",TRUE
"Glycolysis","PKM",TRUE
"Glycolysis","ENO1",TRUE
"Glycolysis","PGK1",TRUE
"Glycolysis","TPI1",TRUE
"Glycolysis","PFKP",TRUE
"OXPHOS","NDUFA4",TRUE
"OXPHOS","COX5A",TRUE
"OXPHOS","COX7C",TRUE
"OXPHOS","ATP5F1E",TRUE
"OXPHOS","UQCRB",TRUE
"OXPHOS","SDHB",TRUE
"OXPHOS","CYCS",TRUE
"FAO_mitochondrial","CPT1A",TRUE
"FAO_mitochondrial","ACADM",TRUE
"FAO_mitochondrial","PRKAA1",TRUE
"FAO_mitochondrial","PPARGC1A",FALSE
"FAO_mitochondrial","TFAM",TRUE
"FAO_mitochondrial","SLC25A20",TRUE
"mTOR_growth","MYC",TRUE
"mTOR_growth","RPS6",TRUE
"mTOR_growth","EIF4EBP1",TRUE
"mTOR_growth","SLC7A5",TRUE
"mTOR_growth","SLC3A2",TRUE
"mTOR_growth","RHEB",TRUE
"mTOR_growth","MTOR",TRUE
"Cytotoxicity","GZMA",TRUE
"Cytotoxicity","GZMB",TRUE
"Cytotoxicity","GZMH",TRUE
"Cytotoxicity","GNLY",TRUE
"Cytotoxicity","PRF1",TRUE
"Cytotoxicity","NKG7",TRUE
"Cytotoxicity","KLRD1",TRUE
"Cytotoxicity","FGFBP2",TRUE
"Cytokine","IFNG",TRUE
"Cytokine","TNF",TRUE
"Cytokine","IL2",FALSE
"Cytokine","CSF2",FALSE
"Cytokine","CCL3",TRUE
"Cytokine","CCL4",TRUE
"Cytokine","XCL1",TRUE
"Cytokine","XCL2",TRUE
"Terminal_diff","KLRG1",TRUE
"Terminal_diff","ZEB2",TRUE
"Terminal_diff","TBX21",TRUE
"Terminal_diff","S1PR5",TRUE
"Terminal_diff","CX3CR1",TRUE
"Terminal_diff","B3GAT1",FALSE
"Tissue_residency","ITGAE",TRUE
"Tissue_residency","CD69",TRUE
"Tissue_residency","CXCR6",TRUE
"Tissue_residency","RUNX3",TRUE
"Tissue_residency","ZNF683",TRUE
"Cycling","MKI67",TRUE
"Cycling","TOP2A",TRUE
"Cycling","PCNA",TRUE
"Cycling","TYMS",TRUE
"Cycling","STMN1",TRUE
"Cycling","CCNB1",TRUE
"Cycling","CDK1",TRUE
"Type_I_IFN","IFIT1",TRUE
"Type_I_IFN","IFIT3",TRUE
"Type_I_IFN","ISG15",TRUE
"Type_I_IFN","MX1",TRUE
"Type_I_IFN","OAS1",TRUE
"Type_I_IFN","IFI6",TRUE
"Type_I_IFN","STAT1",TRUE
"Type_I_IFN","IRF7",TRUE
"MAIT","KLRB1",TRUE
"MAIT","SLC4A10",TRUE
"MAIT","ZBTB16",TRUE
"MAIT","TRAV1-2",TRUE
"MAIT","IL18RAP",TRUE
"MAIT","CEBPD",TRUE
"Hypoxia","BNIP3",TRUE
"Hypoxia","BNIP3L",TRUE
"Hypoxia","P4HA1",TRUE
"Hypoxia","ANKRD37",TRUE
"Hypoxia","MIR210HG",TRUE
"Hypoxia","PDK1",TRUE
"Hypoxia","VEGFA",TRUE
"Hypoxia","ALDOC",TRUE
"Hypoxia","EGLN3",TRUE
"Hypoxia","NDRG1",TRUE
"Hypoxia","HILPDA",TRUE
"Hypoxia","DDIT4",TRUE
"Hypoxia","SLC16A3",TRUE
"Heat_shock","HSPA1A",TRUE
"Heat_shock","HSPA1B",TRUE
"Heat_shock","HSP90AA1",TRUE
"Heat_shock","DNAJB1",TRUE
"Heat_shock","HSPH1",TRUE
"Heat_shock","HSPB1",TRUE
"Heat_shock","BAG3",TRUE
"Apoptosis","BAX",TRUE
"Apoptosis","BCL2L11",TRUE
"Apoptosis","CASP3",TRUE
"Apoptosis","PMAIP1",TRUE
"Apoptosis","BBC3",TRUE
"Apoptosis","TP53",TRUE
