"panel","0","1","2","3","4","5","6","7","8"
"Stem_TF",0.464,-0.215,1.513,-1.653,-0.048,0.383,-1.439,0.537,0.459
"Stem_surface",0.862,-0.71,0.482,-1.767,-1.187,0.853,-0.099,0.668,0.898
"Tscm_associated",0.681,-0.275,1.03,-2.099,-0.85,0.475,-0.33,0.659,0.71
"Naive_restricted",0.91,-0.701,0.727,-1.655,-0.602,0.734,-1.057,0.68,0.964
"Activation_early",0.106,-1.314,-0.629,-0.198,-0.842,0.088,2.171,0.629,-0.012
"Activation_late",-0.744,-0.36,1.016,0.723,1.99,-0.691,-0.421,-0.738,-0.775
"Costim_TNFRSF",-0.581,0.368,1.552,-0.802,1.772,-0.57,-0.617,-0.549,-0.574
"Inhibitory_recep",-0.8,-0.405,1.128,0.773,1.866,-0.781,-0.246,-0.777,-0.756
"Exhaustion_TF",-0.89,1.237,0.712,0.646,1.374,-1.019,-0.165,-0.982,-0.914
"Tpex_hallmark",-0.521,0.857,1.755,-0.741,1.22,-0.535,-1.052,-0.486,-0.497
"Glycolysis",-0.809,-0.533,0.346,-0.577,1.682,-0.779,-0.188,1.606,-0.747
"OXPHOS",-0.645,-0.027,1.314,-0.249,1.947,-0.633,0.042,-1.067,-0.683
"FAO_mitochondrial",-0.316,-0.002,0.685,-0.588,2.165,-0.638,0.356,-1.323,-0.338
"mTOR_growth",0.417,-0.769,-1.291,-1.427,1.205,0.234,1.351,-0.145,0.425
"Cytotoxicity",-0.74,-0.26,-0.249,2.255,0.623,-0.752,0.535,-0.668,-0.743
"Cytokine",-0.849,0.282,0.159,1.005,2.005,-0.853,-0.068,-0.837,-0.844
"Terminal_diff",-0.775,0.191,-0.322,2.141,0.156,-0.746,0.926,-0.805,-0.766
"Tissue_residency",-1.01,0.633,0.135,0.759,0.774,-1.153,1.584,-0.682,-1.04
"Cycling",-0.319,-0.343,-0.077,-0.406,2.652,-0.316,-0.446,-0.401,-0.344
"Type_I_IFN",1.35,-0.817,-0.752,-1.32,-0.849,1.064,0.539,-0.22,1.005
"MAIT",-0.394,-0.389,-0.233,-0.208,-0.251,-0.414,2.658,-0.385,-0.384
"Hypoxia",-0.438,-0.446,0.068,-0.582,-0.126,-0.347,-0.391,2.617,-0.354
"Heat_shock",-0.426,0.259,0.64,-0.38,2.276,-0.318,-0.302,-1.26,-0.489
"Apoptosis",-0.526,-0.192,1.134,-0.232,2.17,-0.423,-0.46,-1.02,-0.452
