"cp18_cluster","Cycling Effector","Naive/Bystander","TEMRA/Effector","Tex","Tpex","Transitional Tem"
"0",0.6613,0.9483,0.7707,0.5817,0.7946,0.8903
"1",0.7063,0.8337,0.8533,0.6321,0.8998,0.8826
"2",0.7336,0.8182,0.8705,0.6946,0.9336,0.919
"3",0.7616,0.7625,0.8923,0.6339,0.8061,0.8087
"4",0.9274,0.7023,0.7755,0.6675,0.8146,0.7793
"5",0.6655,0.9312,0.7714,0.587,0.7942,0.8796
"6",0.7278,0.8045,0.87,0.6203,0.8068,0.8345
"7",0.6538,0.9477,0.7715,0.587,0.7879,0.8809
"8",0.6661,0.9299,0.7677,0.5868,0.7919,0.8789
