"cp18_cluster","cp18_label","best_CP003_match","r_best","runner_up","r_second","margin","name_shared_with_CP003","confidence"
"0","Naive/Bystander","Naive/Bystander",0.9483,"Transitional Tem",0.8903,0.058,"YES","clear"
"1","Transitional Tem","Tpex",0.8998,"Transitional Tem",0.8826,0.0172,"NO","ambiguous (margin < 0.03)"
"2","Activated Stem-like","Tpex",0.9336,"Transitional Tem",0.919,0.0146,"NO","ambiguous (margin < 0.03)"
"3","TEMRA/Effector","TEMRA/Effector",0.8923,"Transitional Tem",0.8087,0.0836,"YES","clear"
"4","Cycling Effector","Cycling Effector",0.9274,"Tpex",0.8146,0.1128,"YES","clear"
"5","Naive/Bystander","Naive/Bystander",0.9312,"Transitional Tem",0.8796,0.0516,"YES","clear"
"6","MAIT","TEMRA/Effector",0.87,"Transitional Tem",0.8345,0.0355,"NO","weak"
"7","Naive (hypoxic)","Naive/Bystander",0.9477,"Transitional Tem",0.8809,0.0668,"NO","clear"
"8","Naive/Bystander","Naive/Bystander",0.9299,"Transitional Tem",0.8789,0.051,"YES","clear"
