"CP003_label","best_cp18_cluster","r_best","cp18_label","population_present_in_CP018"
"Cycling Effector","4",0.9274,"Cycling Effector","YES"
"Naive/Bystander","0",0.9483,"Naive/Bystander","YES"
"TEMRA/Effector","3",0.8923,"TEMRA/Effector","YES"
"Tex","2",0.6946,"Activated Stem-like","NO - no comparable cluster"
"Tpex","2",0.9336,"Activated Stem-like","YES"
"Transitional Tem","2",0.919,"Activated Stem-like","YES"
