gene,set_membership,padj_unsup,padj_supp,avg_log2FC_unsup,avg_log2FC_supp,sig_unsup,sig_supp
LINC02325,Overlap,1,1,-2.14052201536894,-1.19077586037658,FALSE,FALSE
ITGAX,Overlap,1,1,0.765777010276565,0.797580457517858,FALSE,FALSE
ENSG00000263657,Overlap,1,1,1.97493861736148,2.46042073042512,FALSE,FALSE
ZNF714,Unsuppressed_only,1,NA,-0.569646027103757,NA,FALSE,FALSE
RRP1B,Overlap,1,1,-0.572244256195147,-0.492222612559427,FALSE,FALSE
PLK3,Overlap,1,0.00197074655802315,1.2403122081458,1.43285886917391,FALSE,TRUE
AC016831.7,Overlap,1,1,-2.24294633332067,-3.89502302990037,FALSE,FALSE
GNL3,Unsuppressed_only,1,NA,-0.173157757981028,NA,FALSE,FALSE
AC023480.1,Overlap,1,1,-0.702704837652765,-0.456469193297706,FALSE,FALSE
BCKDHA,Overlap,1,0.155097655921119,-0.798145180844344,-1.27787910206935,FALSE,FALSE
HRH2,Unsuppressed_only,1,NA,1.76098960403797,NA,FALSE,FALSE
AC026341.1,Overlap,1,1,-2.55491377434365,-2.68811716065996,FALSE,FALSE
RECQL,Unsuppressed_only,1,NA,-0.310620224739953,NA,FALSE,FALSE
AUP1,Overlap,1,1,-0.322288031060047,-0.13999464473098,FALSE,FALSE
AC004906.1,Overlap,1,1,-0.867375362905651,-2.51945205948534,FALSE,FALSE
AL157402.2,Overlap,1,1,-3.5282582825431,-3.66146166885941,FALSE,FALSE
TRAV39,Overlap,1,1,-0.442644840636576,-0.671888338239728,FALSE,FALSE
AL136456.1,Overlap,1,1,-3.19407890630752,-4.84615560288721,FALSE,FALSE
CDHR3,Overlap,1,1,0.680691928867851,0.643774986323121,FALSE,FALSE
TMEM161B-DT,Overlap,1,1,3.19939601172382,3.44616059225643,FALSE,FALSE
ADARB2,Overlap,1,1,-2.64833135431746,-2.76216830914852,FALSE,FALSE
SZT2,Overlap,1,1,1.44237391907381,0.429743421731789,FALSE,FALSE
SNHG32,Overlap,1,1,-0.419668970987406,-0.346231191993721,FALSE,FALSE
NFKB2,Overlap,1,1,0.877530230331984,0.21138710350383,FALSE,FALSE
ANGEL1,Overlap,1,1,0.688347616404346,0.39391248349061603,FALSE,FALSE
ATP5F1A,Overlap,1,1,-0.278406964048238,-0.306938515450535,FALSE,FALSE
ZBP1,Overlap,1,1,-0.209129066475352,-0.704720522216928,FALSE,FALSE
WDR25,Overlap,1,1,-0.194809458108042,-0.191839809600342,FALSE,FALSE
UAP1L1,Overlap,1,1,-1.21638554526977,-2.206800729532,FALSE,FALSE
HNRNPLL,Overlap,1,1,0.755366487182838,0.934519333606119,FALSE,FALSE
SS18L1,Overlap,1,1,0.924417665389214,-1.10599400472028,FALSE,FALSE
PAXIP1-AS1,Overlap,1,1,-3.1361839910367,-3.54174096141851,FALSE,FALSE
ZNF254,Overlap,1,1,0.342567296435834,-0.368376736780686,FALSE,FALSE
AC093423.2,Overlap,1,1,-2.48867851068378,-4.14075520726348,FALSE,FALSE
VDR,Overlap,1,1,0.492260960442985,-0.591463652843633,FALSE,FALSE
SERTAD3,Unsuppressed_only,1,NA,0.134411531411228,NA,FALSE,FALSE
