"Sample_Subfolder","n_cells","n_doublet","pct_doublet"
"CP018_2m_A",976,39,4
"CP018_2m_B",2131,91,4.27
"CP018_90m_A",1626,73,4.49
"CP018_90m_B",622,21,3.38
