"gene","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster"
"FASLG",0,12.0701295990722,1,0,0,"21: Gamma Delta 2 T cells"
"NKG7",6.25856766965543e-17,0.240142764024735,0.991,0.924,1.40292052882996e-12,"21: Gamma Delta 2 T cells"
"APOBEC3G",1.03353761024965e-13,0.459077888333471,0.871,0.713,2.31677790713561e-09,"21: Gamma Delta 2 T cells"
"LEF1",4.32498058919912e-12,-2.60032540369095,0.034,0.104,9.69487648874875e-08,"21: Gamma Delta 2 T cells"
"GZMB",3.9088284043878e-11,0.741832257259688,0.623,0.492,8.76202975127568e-07,"21: Gamma Delta 2 T cells"
"TGFB1",4.09845764356627e-11,0.386066222828423,0.951,0.866,9.18710265381816e-07,"21: Gamma Delta 2 T cells"
"SRGN",8.5480593200785e-11,0.349451137324958,0.982,0.943,1.9161329771888e-06,"21: Gamma Delta 2 T cells"
"H3F3A",1.10661812761533e-10,-0.619395705774003,0.233,0.397,2.48059519486252e-06,"21: Gamma Delta 2 T cells"
"H3-3B",1.13181466617249e-10,0.436285368787729,0.755,0.572,2.53707575569226e-06,"21: Gamma Delta 2 T cells"
"H3-3A",1.61457114547586e-10,0.464595463870988,0.738,0.55,3.61922267969868e-06,"21: Gamma Delta 2 T cells"
"H3F3B",4.65633649410485e-10,-0.731007874640246,0.238,0.415,1.04376438851854e-05,"21: Gamma Delta 2 T cells"
"EFHD2",6.30068886383622e-10,0.344519688663041,0.896,0.78,1.41236241571753e-05,"21: Gamma Delta 2 T cells"
"ENSG00000289901",1.82010717525058e-09,0.458093813824985,0.692,0.507,4.07995224404169e-05,"21: Gamma Delta 2 T cells"
"LINC01578",3.18912832064732e-09,-1.04716384787001,0.162,0.3,7.14875004356302e-05,"21: Gamma Delta 2 T cells"
"TLE5",3.39116868514734e-09,-0.391427467015524,0.857,0.853,7.60164372462628e-05,"21: Gamma Delta 2 T cells"
"AKNA",4.62935846370498e-09,0.365254431933828,0.78,0.636,0.000103771699322411,"21: Gamma Delta 2 T cells"
"HLA-B",5.29328863777564e-09,0.148409400271631,1,1,0.000118654358104379,"21: Gamma Delta 2 T cells"
"GTF3A",5.75010602644376e-09,-0.558275747279649,0.432,0.537,0.000128894376688763,"21: Gamma Delta 2 T cells"
"GRAMD1B",7.76341805873854e-09,0.735127443268128,0.45,0.284,0.000174024779204683,"21: Gamma Delta 2 T cells"
"TALAM1",7.86472201927498e-09,0.312959816169333,0.672,0.495,0.000176295608784068,"21: Gamma Delta 2 T cells"
"HLA-A",1.5584024518241e-08,0.161706990900765,0.999,0.999,0.00034933149360089,"21: Gamma Delta 2 T cells"
"LTB",3.0586791274441e-08,-0.457141744433841,0.501,0.58,0.000685633513207869,"21: Gamma Delta 2 T cells"
"LMNA",3.56345764551041e-08,0.26266471872002,0.667,0.498,0.000798784665817614,"21: Gamma Delta 2 T cells"
"AC078883.1",4.47487875423937e-08,-1.90891066334453,0.031,0.094,0.0010030888215503,"21: Gamma Delta 2 T cells"
"BNIP3",1.01600167384124e-07,-1.17822169962919,0.116,0.191,0.00227746935208252,"21: Gamma Delta 2 T cells"
"RPS10",1.25784605580895e-07,0.361354749410381,0.842,0.73,0.00281958771870134,"21: Gamma Delta 2 T cells"
"OASL",1.27193840007739e-07,0.38545516347798,0.624,0.462,0.00285117711761347,"21: Gamma Delta 2 T cells"
"MTRNR2L12",1.29568827291419e-07,-1.86989592455429,0.055,0.121,0.00290441483256446,"21: Gamma Delta 2 T cells"
"ENSG00000234961",1.9787936318081e-07,0.654364887523024,0.535,0.359,0.00443566380506103,"21: Gamma Delta 2 T cells"
