"gene","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster"
"RPRD1A",0.652486876638858,0.0622904862777014,0.098,0.086,1,"15: NK cell_1"
"MT1F",0.0920422254746841,-0.0622798998912149,0.084,0.077,1,"15: NK cell_1"
"PSMD7",0.0456780705259973,0.0622650872345554,0.323,0.281,1,"15: NK cell_1"
"ZEB2-AS1",0.38818494561262,0.0622362550846041,0.043,0.034,1,"15: NK cell_1"
"PAM16",0.590160180264515,0.0622080052977185,0.113,0.095,1,"15: NK cell_1"
"INSIG1",0.984540141091071,0.0621829125147921,0.165,0.145,1,"15: NK cell_1"
"TBC1D10A",0.373592658285803,0.0621408887671364,0.138,0.122,1,"15: NK cell_1"
"AL157786.1",0.906806994525931,-0.0620958388805444,0.018,0.018,1,"15: NK cell_1"
"RGL2",0.70558758791428,-0.0620621370942547,0.071,0.07,1,"15: NK cell_1"
"ENSG00000288755",0.394826932628748,-0.0620543871079287,0.033,0.026,1,"15: NK cell_1"
"TLK2",0.158164653397031,-0.0620504269496811,0.139,0.128,1,"15: NK cell_1"
"BID",0.111556181305782,-0.0620007311392798,0.137,0.124,1,"15: NK cell_1"
"WIPI1",0.947415641518735,-0.061969517646848,0.08,0.078,1,"15: NK cell_1"
"MTCH1",0.464849485230429,-0.0619151893999495,0.293,0.291,1,"15: NK cell_1"
"PHF13",0.305937238208262,-0.061890838390037,0.037,0.032,1,"15: NK cell_1"
"B4GALT3",0.203908614466774,-0.0618882475746655,0.163,0.152,1,"15: NK cell_1"
"COPA",0.162686440134244,0.0618852010138623,0.304,0.268,1,"15: NK cell_1"
"ZSCAN30",0.830555918948041,0.0618516157546365,0.028,0.028,1,"15: NK cell_1"
"FYTTD1",0.0931090495122461,0.0618404742168978,0.286,0.247,1,"15: NK cell_1"
"PARP12",0.361868623319552,-0.0618149676265305,0.176,0.166,1,"15: NK cell_1"
"TRAPPC1",0.394134351908691,-0.0617383855738582,0.49,0.468,1,"15: NK cell_1"
"FUBP3",0.794201172307752,-0.0617357216389567,0.085,0.083,1,"15: NK cell_1"
"MED27",0.150076156488638,0.0616927415715447,0.136,0.118,1,"15: NK cell_1"
"ZMPSTE24",0.219013708039325,-0.0616724653909704,0.106,0.101,1,"15: NK cell_1"
"C6orf62",0.00317827232836912,0.0616357705034893,0.176,0.142,1,"15: NK cell_1"
"WBP1L",0.626840164432079,0.0616295498576382,0.09,0.08,1,"15: NK cell_1"
"FARP2",0.959103222888176,0.0615977010881701,0.041,0.036,1,"15: NK cell_1"
"GIMAP5",0.175143434622986,0.0615902267338801,0.566,0.54,1,"15: NK cell_1"
"RCOR3",0.468167843640034,0.0615122178427799,0.198,0.172,1,"15: NK cell_1"
"JOSD1",0.0222570571710346,-0.0614972389022324,0.169,0.153,1,"15: NK cell_1"
"HIRA",0.511412539516326,-0.0614693375887216,0.056,0.05,1,"15: NK cell_1"
