"gene","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster"
"FGFBP2",7.40729092880256e-09,0.391536759625376,0.846,0.618,0.000166041833460038,"27: GZMK+ CD8 T cell"
"CD96",7.92666709941164e-09,0.476225674966209,0.912,0.806,0.000177684169700411,"27: GZMK+ CD8 T cell"
"PLAAT4",9.18129509662203e-09,0.466069488026437,0.938,0.813,0.000205807910885879,"27: GZMK+ CD8 T cell"
"RPS23",1.0963448359825e-08,-0.335153296022757,1,0.999,0.000245756658433837,"27: GZMK+ CD8 T cell"
"RPL13",1.11823165862293e-08,-0.32192679164502,1,1,0.000250662808596915,"27: GZMK+ CD8 T cell"
"MIF",1.73592475803417e-08,-0.650869155992789,0.835,0.85,0.000389124893760939,"27: GZMK+ CD8 T cell"
"ATXN1",2.34386216411686e-08,0.516803532519986,0.783,0.552,0.000525400142708434,"27: GZMK+ CD8 T cell"
"DNAJB6",2.34678314826872e-08,0.566213534831255,0.776,0.53,0.000526054910515917,"27: GZMK+ CD8 T cell"
"RIPOR2",2.5211589382837e-08,-0.727905099261122,0.551,0.606,0.000565142987605673,"27: GZMK+ CD8 T cell"
"CLEC2B",2.6529634646305e-08,0.484154277591007,0.897,0.764,0.000594688290231572,"27: GZMK+ CD8 T cell"
"HMGB1",2.97912748636204e-08,0.405131380633157,0.989,0.93,0.000667801217342914,"27: GZMK+ CD8 T cell"
"SOS1",3.32175317176923e-08,0.753578897943864,0.562,0.302,0.00074460419098379,"27: GZMK+ CD8 T cell"
"RPL10",4.07634967646019e-08,-0.299591276587413,1,0.992,0.000913754543475316,"27: GZMK+ CD8 T cell"
"MXD4",4.15558203049626e-08,0.663372646048533,0.831,0.634,0.000931515267956042,"27: GZMK+ CD8 T cell"
"GYPC",4.42157124744653e-08,-0.485377005798687,0.746,0.709,0.000991139410827615,"27: GZMK+ CD8 T cell"
"HLA-DPB1",4.58815851026774e-08,0.130602631388434,0.857,0.675,0.00102848161166162,"27: GZMK+ CD8 T cell"
"LDLRAP1",4.61391017507529e-08,-2.42673431566867,0.055,0.169,0.00103425410484488,"27: GZMK+ CD8 T cell"
"ALDOC",4.77268646467253e-08,-1.81147146815583,0.029,0.128,0.00106984539792099,"27: GZMK+ CD8 T cell"
"CMIP",5.37752642809951e-08,0.453705783232183,0.684,0.455,0.00120542632412279,"27: GZMK+ CD8 T cell"
"RPS2",6.40869004735684e-08,-0.18166299704243,0.985,0.954,0.00143657196101551,"27: GZMK+ CD8 T cell"
"RETREG1",6.99856028793344e-08,-2.8985136903552,0.033,0.127,0.00156879727414316,"27: GZMK+ CD8 T cell"
"DLEU2",7.32545674892035e-08,0.480455061167486,0.71,0.46,0.00164207438483799,"27: GZMK+ CD8 T cell"
"RNF19A",8.49240790399984e-08,0.422142534229769,0.853,0.651,0.0019036581557606,"27: GZMK+ CD8 T cell"
"GTF3A",9.11200409390551e-08,-0.769744120427528,0.482,0.531,0.00204254683768986,"27: GZMK+ CD8 T cell"
"LCP1",9.35992402679683e-08,0.450604264981043,0.938,0.839,0.00209812056984678,"27: GZMK+ CD8 T cell"
"RPL9",9.92578158319569e-08,-0.433509907088268,0.963,0.971,0.00222496319968915,"27: GZMK+ CD8 T cell"
"SH2D2A",1.03251838333589e-07,0.430660296003379,0.853,0.665,0.00231449320808573,"27: GZMK+ CD8 T cell"
"ICAM2",1.05469791649227e-07,-1.41074734715203,0.088,0.193,0.00236421084960906,"27: GZMK+ CD8 T cell"
"RPL36",1.06730365756752e-07,-0.241103115113923,1,0.998,0.00239246787880335,"27: GZMK+ CD8 T cell"
"AC119396.1",1.32997533985795e-07,-1.53048547278529,0.026,0.104,0.00298127272182558,"27: GZMK+ CD8 T cell"
"DUSP10",1.39169788871654e-07,0.948904058773889,0.404,0.2,0.00311962998734699,"27: GZMK+ CD8 T cell"
"RPS6",1.42010243911918e-07,-0.29271677850717,0.993,0.992,0.00318330162752956,"27: GZMK+ CD8 T cell"
"PASK",1.42444224750607e-07,-2.12018942399086,0.11,0.198,0.0031930297420096,"27: GZMK+ CD8 T cell"
