"gene","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster"
"FASLG",0,13.5238941691321,1,0,0,"9: TRDV1+ CTL-like"
"GZMB",1.00126035877775e-42,0.371656931282268,0.958,0.839,2.24442522023621e-38,"9: TRDV1+ CTL-like"
"GNLY",3.37783483761605e-23,0.130598475538596,0.983,0.916,7.57175457200013e-19,"9: TRDV1+ CTL-like"
"CCL4",2.75207896749334e-21,0.974887736853959,0.725,0.599,6.16906021353306e-17,"9: TRDV1+ CTL-like"
"NKG7",3.24979745735738e-21,0.0668259862356795,0.999,0.959,7.2847459804123e-17,"9: TRDV1+ CTL-like"
"LTB",2.96203916426345e-19,-3.01545617419909,0.034,0.093,6.63970699061296e-15,"9: TRDV1+ CTL-like"
"APOBEC3G",2.46811875434796e-18,0.372758515408606,0.876,0.766,5.53253499974639e-14,"9: TRDV1+ CTL-like"
"TCF7",2.13673411059156e-17,-0.74575511261377,0.271,0.346,4.78970318230205e-13,"9: TRDV1+ CTL-like"
"GZMH",4.17022010244351e-17,0.200407245119051,0.88,0.779,9.34796538163737e-13,"9: TRDV1+ CTL-like"
"IL7R",2.71880221610425e-15,-1.99024538980831,0.037,0.093,6.09446704761928e-11,"9: TRDV1+ CTL-like"
"H3-3A",1.18992500996976e-14,0.251173519296767,0.818,0.674,2.66733590234822e-10,"9: TRDV1+ CTL-like"
"HLA-C",1.82653241787621e-14,0.142935361677016,1,0.998,4.09435506791132e-10,"9: TRDV1+ CTL-like"
"H3-3B",2.81002519943864e-14,0.246770417261329,0.838,0.7,6.29895248706165e-10,"9: TRDV1+ CTL-like"
"FP236383.3",3.17995797840767e-14,-0.928406750437992,0.122,0.248,7.12819380439863e-10,"9: TRDV1+ CTL-like"
"FP671120.4",4.72830743733854e-14,-1.31138407377372,0.097,0.207,1.05989739515381e-09,"9: TRDV1+ CTL-like"
"H3F3B",7.60584107908919e-14,-0.827102855010072,0.15,0.275,1.70492533628863e-09,"9: TRDV1+ CTL-like"
"H3F3A",1.42202952255478e-13,-0.641103047673512,0.144,0.259,3.1876213777588e-09,"9: TRDV1+ CTL-like"
"LEF1",1.49474365210236e-13,-2.22729190483042,0.03,0.065,3.35061737055266e-09,"9: TRDV1+ CTL-like"
"PRF1",2.24259135698898e-13,0.146721892012689,0.923,0.842,5.0269927858265e-09,"9: TRDV1+ CTL-like"
"OASL",1.40938346590714e-12,0.277225756389465,0.781,0.657,3.15927397717745e-08,"9: TRDV1+ CTL-like"
"RPS12",1.42708692882291e-12,-0.16640213796027,1,0.999,3.19895805964944e-08,"9: TRDV1+ CTL-like"
"ACTN1",3.88193619362049e-12,-3.85951835940492,0.002,0.023,8.70174817161969e-08,"9: TRDV1+ CTL-like"
"RPL18A",8.89594030205524e-12,-0.192596302199875,0.998,0.999,1.9941139781087e-07,"9: TRDV1+ CTL-like"
"CCL5",1.77156990300443e-11,-0.0513739553616288,0.985,0.945,3.97115109457472e-07,"9: TRDV1+ CTL-like"
"RPL32",1.81011040476535e-11,-0.173883493061155,0.999,0.999,4.05754348332201e-07,"9: TRDV1+ CTL-like"
"MAL",7.84857780645906e-11,-5.29317489259268,0.001,0.019,1.75933720109586e-06,"9: TRDV1+ CTL-like"
"HAVCR2",8.09620493156545e-11,0.533791052058181,0.407,0.294,1.81484529745971e-06,"9: TRDV1+ CTL-like"
