"gene","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster"
"FASLG",6.29498232575494e-202,10.9124357265437,1,0,1.41108323814123e-197,"30: DN T cell_6"
"FAM162A",1.34364847524854e-05,-1.22861882361592,0.159,0.298,0.301192242211712,"30: DN T cell_6"
"PPM1N",0.000161548327390046,5.32168808279894,0.029,0,1,"30: DN T cell_6"
"HOMER2",8.30917988432363e-05,5.30842110701135,0.033,0,1,"30: DN T cell_6"
"TRDV2",0.0542904104056267,-5.25235623899719,0,0.012,1,"30: DN T cell_6"
"TRBV7-3",0.070375160503038,5.23522316529966,0.012,0.002,1,"30: DN T cell_6"
"ENSG00000248223",0.000183545212057065,5.09235238997625,0.033,0,1,"30: DN T cell_6"
"H2BC3",0.00443980435236549,5.06533563985973,0.02,0,1,"30: DN T cell_6"
"CNPY2-AS1",0.00228707220226654,5.06533263429995,0.02,0,1,"30: DN T cell_6"
"ENSG00000257221",0.00063761914707449,5.04252573404719,0.024,0,1,"30: DN T cell_6"
"ABALON",0.00278598152621094,4.80416214112014,0.016,0,1,"30: DN T cell_6"
"AC009133.1",0.000227503408714534,-4.77429429999874,0,0.036,1,"30: DN T cell_6"
"AC034102.5",0.00305343479665753,4.76351267931249,0.016,0,1,"30: DN T cell_6"
"AC245452.1",0.00420319767120297,4.74234745383999,0.016,0,1,"30: DN T cell_6"
"MYBL2",0.00642771294504005,4.7048679934668,0.02,0,1,"30: DN T cell_6"
"AQP3",0.000627851343650007,-4.6429934053578,0,0.02,1,"30: DN T cell_6"
"AC078881.1",0.00952460204913484,4.55890430706407,0.012,0,1,"30: DN T cell_6"
"CHML",0.00498818898082914,4.5038788990345,0.016,0,1,"30: DN T cell_6"
"ENSG00000270019",0.0182978113434613,4.47936977903568,0.012,0,1,"30: DN T cell_6"
"ENSG00000224905",0.00431366879767677,4.46126161184681,0.02,0,1,"30: DN T cell_6"
"ENSG00000275454",0.00627211596184161,4.37137298636848,0.016,0,1,"30: DN T cell_6"
"AC009318.1",0.0126884651172504,4.3625061211678,0.012,0,1,"30: DN T cell_6"
"B4GALT1-AS1",0.00709168551931636,4.31734735133602,0.016,0,1,"30: DN T cell_6"
"IL9R",0.00269981177422696,-4.29894010474207,0,0.022,1,"30: DN T cell_6"
"HBB",0.139191793108059,-4.26519643723511,0.02,0.048,1,"30: DN T cell_6"
"AC022400.4",0.0157448979808484,4.26399901340877,0.012,0,1,"30: DN T cell_6"
"MISFA",0.0233998874476909,4.23990614391812,0.012,0,1,"30: DN T cell_6"
"L1CAM",0.0143275306713492,4.2397122125652,0.012,0,1,"30: DN T cell_6"
"AL021368.2",0.0145861640309993,4.22925921410439,0.012,0,1,"30: DN T cell_6"
"H2AC13",0.0221298997628469,4.19795271138988,0.012,0,1,"30: DN T cell_6"
"AC099850.1",0.0158640648927814,4.19647828661051,0.012,0,1,"30: DN T cell_6"
"ENSG00000287387",0.0240848587193473,4.16655760534975,0.012,0,1,"30: DN T cell_6"
"AC107884.1",0.019198530842699,4.12635019403156,0.012,0,1,"30: DN T cell_6"
"TRBV14",0.019667517231427,4.11552477440241,0.012,0.004,1,"30: DN T cell_6"
"AL162493.1",0.010025072931086,-4.09234908684277,0,0.02,1,"30: DN T cell_6"
"ZBTB32",0.0186284006740412,4.08950839100098,0.012,0,1,"30: DN T cell_6"
"ENSG00000259321",0.0192240326585869,4.02741185217764,0.012,0,1,"30: DN T cell_6"
"AP000317.1",0.0464540903280974,4.01356277585904,0.012,0,1,"30: DN T cell_6"
"TTC39C-AS1",0.0191091835893107,4.00131594213025,0.012,0,1,"30: DN T cell_6"
"NEIL2",0.0188556678284505,-3.99897126002042,0,0.018,1,"30: DN T cell_6"
"TUBB8",0.0202243504850448,3.98521592131055,0.012,0,1,"30: DN T cell_6"
"CLDN7",0.0225223840180697,3.9778351382681,0.012,0,1,"30: DN T cell_6"
"ENSG00000288990",0.0113655083246273,3.9543490188787,0.016,0,1,"30: DN T cell_6"
"CDCA5",0.0386839564715997,3.92157223372187,0.012,0,1,"30: DN T cell_6"
"ZNF784",0.00725476282246204,-3.88074171391163,0,0.02,1,"30: DN T cell_6"
"ENSG00000227598",0.0291562904180995,3.85993812467724,0.012,0,1,"30: DN T cell_6"
"ING2-DT",0.0252262644463452,3.85029407193084,0.012,0,1,"30: DN T cell_6"
"AC004112.1",0.0494092144553599,3.83966540951695,0.012,0,1,"30: DN T cell_6"
"FKBP14",0.0319411837637235,-3.8384029799164,0,0.016,1,"30: DN T cell_6"
"ENSG00000265737",0.0231015476652609,3.83471127954524,0.012,0,1,"30: DN T cell_6"
"CABLES2",0.00500156630722241,-3.83201508714757,0,0.02,1,"30: DN T cell_6"
"LINC02680",0.164429883201787,3.81423425108146,0.016,0.002,1,"30: DN T cell_6"
"TTLL7",0.0266163122740495,3.80129767570801,0.012,0,1,"30: DN T cell_6"
"AL512625.1",0.016091315129261,3.78206074968299,0.024,0.002,1,"30: DN T cell_6"
"FBLN2",0.0270855090160129,3.77813327927434,0.012,0,1,"30: DN T cell_6"
"ENSG00000274591",0.0256796274736996,3.76500922295822,0.012,0,1,"30: DN T cell_6"
"ENSG00000284428",0.0362941986828068,-3.7631095032275,0,0.012,1,"30: DN T cell_6"
"FAM131B",0.0280706293761314,3.75620876615891,0.012,0,1,"30: DN T cell_6"
"HARBI1",0.0237129707635179,-3.75365094682514,0,0.016,1,"30: DN T cell_6"
"ENSG00000257277",0.0245104785868146,3.74358802741232,0.012,0,1,"30: DN T cell_6"
"MMP25",0.0156276199742416,-3.74059389857401,0,0.016,1,"30: DN T cell_6"
"KIAA1549",0.0293306141452676,3.73873409501261,0.012,0,1,"30: DN T cell_6"
"PKHD1L1",0.0263798467594024,3.70227506554111,0.012,0,1,"30: DN T cell_6"
"HSPA6",0.52163609758297,-3.65000601730856,0.016,0.02,1,"30: DN T cell_6"
"ZNF563",0.0230915440170068,-3.6446437143684,0,0.016,1,"30: DN T cell_6"
"BEND5",0.039705197545327,-3.63747081783238,0,0.012,1,"30: DN T cell_6"
"HBG2",0.3764748201835,-3.63731698554316,0.004,0.016,1,"30: DN T cell_6"
"AL035587.1",0.103235257668124,-3.62509498305177,0,0.01,1,"30: DN T cell_6"
"CCNA2",0.055681353622895,3.61791885700046,0.012,0,1,"30: DN T cell_6"
