"gene","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster"
"PCID2",0.1863133963515,0.0713523208601845,0.239,0.203,1,"3: IL2RB+ NK cell"
"ZFAND2A",0.72320670847798,-0.0713475060732065,0.158,0.147,1,"3: IL2RB+ NK cell"
"ALYREF",0.796667383820689,0.0713471109146549,0.293,0.254,1,"3: IL2RB+ NK cell"
"SLC25A12",0.415725185961606,-0.0713366260135324,0.123,0.118,1,"3: IL2RB+ NK cell"
"BCORL1",0.961849730213278,-0.0712853457548421,0.023,0.021,1,"3: IL2RB+ NK cell"
"GRHPR",0.557734789080546,-0.0712445553453289,0.147,0.134,1,"3: IL2RB+ NK cell"
"C14orf93",0.646986059544062,0.071218139556509,0.041,0.036,1,"3: IL2RB+ NK cell"
"ZNF107",0.477650208516191,0.0712031468079797,0.147,0.124,1,"3: IL2RB+ NK cell"
"ZKSCAN3",0.855812404067771,0.0711974661240697,0.019,0.016,1,"3: IL2RB+ NK cell"
"BSCL2",0.905692988299973,-0.0711525522569227,0.129,0.119,1,"3: IL2RB+ NK cell"
"KMT2E",0.248108484165548,-0.0711135721583047,0.733,0.704,1,"3: IL2RB+ NK cell"
"TMEM41B",0.0686072362803842,0.0711090547788925,0.223,0.187,1,"3: IL2RB+ NK cell"
"PAM16",0.859293573342037,-0.0711081519300014,0.109,0.103,1,"3: IL2RB+ NK cell"
"PHB2",0.0643745494466333,-0.0711045342544925,0.377,0.357,1,"3: IL2RB+ NK cell"
"CAPN7",0.698710639010434,-0.0710905473654606,0.199,0.189,1,"3: IL2RB+ NK cell"
"ABCC4",0.674773392378998,-0.0710178446859819,0.018,0.016,1,"3: IL2RB+ NK cell"
"MDC1",0.14023954690681,0.0710101005632411,0.092,0.075,1,"3: IL2RB+ NK cell"
"RBM41",0.707860035038121,0.0709998630700597,0.108,0.094,1,"3: IL2RB+ NK cell"
"PANK4",0.579191667418158,-0.0709464388670575,0.083,0.08,1,"3: IL2RB+ NK cell"
"WASHC2C",0.793689535049224,-0.0709270327079998,0.156,0.148,1,"3: IL2RB+ NK cell"
"LIMA1",0.955392165642753,0.0708481957034892,0.037,0.032,1,"3: IL2RB+ NK cell"
"SUPT5H",0.515131465687802,-0.0708351143484724,0.219,0.206,1,"3: IL2RB+ NK cell"
"GLRX2",0.811966724029455,0.0708181675122515,0.107,0.09,1,"3: IL2RB+ NK cell"
"NUMA1",0.676045286220136,-0.0708159360967407,0.325,0.303,1,"3: IL2RB+ NK cell"
"HERC1",0.0782686704340931,0.0707809004137189,0.407,0.352,1,"3: IL2RB+ NK cell"
"PEX26",0.266819053979284,0.0707752007375708,0.075,0.067,1,"3: IL2RB+ NK cell"
"PPCDC",0.00718684328454134,0.0707509701775577,0.071,0.055,1,"3: IL2RB+ NK cell"
"PXN-AS1",0.28688786252639,-0.0707292568168612,0.059,0.052,1,"3: IL2RB+ NK cell"
"MAN1B1-DT",0.939102781102637,0.0707185809429349,0.014,0.013,1,"3: IL2RB+ NK cell"
"DNTTIP2",0.701192376216533,0.0707134963461035,0.338,0.296,1,"3: IL2RB+ NK cell"
"RABGGTB",0.425653298737228,-0.0706692355860792,0.185,0.173,1,"3: IL2RB+ NK cell"
"ARIH2OS",0.439859063194547,0.0706683040225928,0.045,0.039,1,"3: IL2RB+ NK cell"
"GCN1",0.973496302280805,-0.0706489203813305,0.09,0.082,1,"3: IL2RB+ NK cell"
"SSBP1",0.240452935616516,-0.070644135614703,0.411,0.389,1,"3: IL2RB+ NK cell"
"IL12RB1",0.0872369559009794,0.0706417747731463,0.132,0.108,1,"3: IL2RB+ NK cell"
"ZNF121",0.803467132430635,-0.0706270153657749,0.068,0.062,1,"3: IL2RB+ NK cell"
"XRCC3",0.477325863787203,-0.0706235333129843,0.013,0.012,1,"3: IL2RB+ NK cell"
"GPR137B",0.57138420449573,-0.0706108702327817,0.116,0.106,1,"3: IL2RB+ NK cell"
"GLIDR",0.742300916742901,-0.070608894741107,0.012,0.012,1,"3: IL2RB+ NK cell"
"PATZ1",0.405589331776118,-0.0706027635228108,0.07,0.067,1,"3: IL2RB+ NK cell"
"ZNF213-AS1",0.871700140661629,-0.0705935174565369,0.058,0.056,1,"3: IL2RB+ NK cell"
