"","CD8A","CD8B","CD3D","CD3E","CD3G","TRAC","TRBC1","TRBC2","CCR7","SELL","TCF7","LEF1","BACH2","IL7R","BCL2","S1PR1","KLF2","FOXP1","SATB1","GZMB","GZMA","GZMH","GZMK","GZMM","PRF1","GNLY","NKG7","KLRG1","CX3CR1","FGFBP2","FCGR3A","TBX21","EOMES","RUNX3","PRDM1","ZEB2","ID2","TOX","TOX2","PDCD1","HAVCR2","TIGIT","LAG3","CTLA4","ENTPD1","CD160","CD244","CD27","CD28","BCL6","CXCR5","MKI67","HLA-DRA","HLA-DRB1","CD38","FAS","ICOS","TNFRSF9","CXCR6","CD69","ITGAE","ITGA1","ZNF683","TRDV1","TRDV2","TRGV9","TRDC","TRGC1","TRGC2","TRAV1-2","SLC4A10","KLRB1","ZBTB16","RORC","TYROBP","KLRD1","KIR2DL3","KIR3DL1","NCAM1","KLRF1","KLRC1","KLRC2","ISG15","IFIT1","IFIT2","IFIT3","IFI44L","MX1","OAS1","STAT1","IRF7","HSPA1A","HSPA1B","HSP90AA1","DNAJB1","IFI27","CCL3","CCL4","CCL4L2","CCL5","XCL1","XCL2","IFNG","TNF","CSF2","B3GAT1","CD4","FOXP3","IL2RA","IKZF2","CCR4","GATA3","MAF","BATF","CD19","MS4A1","CD79A","CD79B","PAX5","BANK1","BLK","BLNK","TCL1A","IGHM","IGHD","IGKC","IGLC2","XBP1","MZB1","JCHAIN","IGHG1","IGHA1","IRF4","NCR1","NCR3","FCER1G","SH2D1B","SPON2","CLIC3","CD14","LYZ","S100A8","S100A9","S100A12","CSF1R","CD68","MARCO","VCAN","FCN1","MNDA","FCER1A","CLEC10A","CD1C","XCR1","BATF3","IRF8","LAMP3","LILRA4","CLEC4C","IL3RA","TCF4","PPBP","PF4","GP9","ITGA2B","TUBB1","TREML1","HBB","HBA1","HBA2","ALAS2","SLC4A1","GYPA"
"Activated B cell",0.43,0.43,3.57,1.86,1.22,13.84,2.29,81.84,93.4,25.45,13.68,12.19,75.56,7.99,83.39,17.63,19.6,95.95,8.2,0.85,0.64,0.27,0.05,1.06,0.59,1.7,1.44,2.93,0.05,0.27,0.32,9.42,0.37,57.35,1.81,56.71,12.67,4.74,3.67,6.55,2.18,2.77,0.59,0.27,11.34,0.21,0.91,5.59,0.91,22.31,50.91,0.37,96.65,97.44,25.99,17.31,0.8,4.63,0.16,78.54,26.52,0.43,0.11,0.43,0.27,0.05,0.48,0.16,0.21,0,0.48,0.43,0.75,0.05,2.5,0.8,0.05,0.11,0.21,0.16,0.43,0.21,39.51,12.3,13.9,21.62,30.09,45.53,35.84,60.12,57.03,5.86,6.28,93.13,22.63,0.91,12.99,17.41,13.79,3.09,0.48,0.48,0.21,17.25,0.64,0,0.37,0.21,27.21,24.23,0.59,0.85,0.16,15.39,52.82,78.49,96.01,40.52,52.61,50.21,40.63,50.48,39.3,57.03,36.79,40.04,19.33,58.09,25.35,13.21,5.43,8.52,73.16,0.05,4.21,1.33,0.11,1.76,1.6,0,0.48,0.43,0.64,0.16,0.37,7.03,0,0.11,0,3.89,0,0,9.27,0,9,59.85,9.64,10.81,0.05,5.96,57.35,0.48,0.16,0.11,0,0.37,0.11,1.17,0.21,0.27,0.21,0,0.05
"CD4dim Naive T cell",5.17,9.21,82.85,89.51,54.08,33.81,40.26,71.01,87.6,85.4,90.57,85.26,55.21,78.03,16.44,52.09,79.31,76.54,52.3,1.2,15.24,0.92,6.09,50.96,3.26,2.27,3.4,10.49,0.35,10.13,0.35,0.92,1.2,21.83,2.13,3.12,13.11,21.12,4.25,1.35,1.42,3.83,1.84,4.82,0.5,0.28,0.92,60.74,28.21,20.2,1.06,0.21,2.48,2.76,11.41,8.5,39.33,0.64,0.35,39.76,22.25,2.48,0.57,5.32,1.13,1.63,5.1,0.5,2.83,0.99,0.35,3.05,0.43,0.07,2.13,1.84,0.28,0.28,0.21,0.35,0.71,1.63,24.1,4.96,6.17,7.02,12.9,20.2,8.5,48.12,28.63,13.89,6.09,63.5,36.43,0.78,2.41,3.97,1.42,4.39,0.92,1.35,0.85,1.63,0.07,0,23.46,4.61,4.96,21.26,1.28,17.86,2.27,16.44,0.43,0.71,2.27,5.1,0.5,0.78,1.91,0.35,0.5,0.71,0.35,0.35,0.14,40.47,0.92,0.14,0,0.21,7.65,0.43,3.4,5.39,0.43,4.04,2.69,0.57,0.99,1.06,1.7,0.14,0.43,2.06,0,0.21,0.28,0.07,0,0,0.07,0,0.43,1.06,2.34,0,0,1.28,3.54,0.92,0.35,0,0.07,0.14,0.07,3.4,0.21,0.28,0.07,0,0
"CD56bright NK",12.14,2.72,20.69,44.01,7.35,11.5,57.99,78.91,26.2,64.86,66.45,20.93,45.93,41.61,10.46,38.42,41.45,50.88,31.79,80.83,57.83,44.09,54.79,60.54,86.82,97.52,97.44,16.37,4.87,37.38,24.84,31.79,45.93,63.98,9.03,43.21,55.99,26.6,3.35,0.64,33.31,22.2,5.83,0.24,12.3,2.96,30.19,11.58,0.96,30.59,0.4,3.59,30.99,38.74,44.97,8.55,2,3.59,5.91,55.99,28.43,15.42,15.97,1.44,0.32,37.46,57.59,23.32,16.61,0.08,2.48,62.7,10.46,0.08,92.81,92.41,7.83,4.47,46.25,53.19,75,73.88,45.13,4.23,5.03,4.63,19.25,23.88,14.86,34.5,49.28,22.36,6.47,80.83,22.92,2.08,7.59,19.17,7.51,65.02,57.83,65.58,9.66,3.04,2,0.08,0.56,0,5.67,32.59,0.16,46.96,4.79,17.17,0.56,0.88,1.52,5.43,0.24,0.88,0.72,0.32,0.32,0.56,0.16,1.36,0.16,58.47,2.8,0.24,0.08,1.2,4.55,38.26,21.41,85.06,57.19,13.66,54.55,0.16,0.8,0.72,1.2,0.24,0.08,7.43,0.08,0.32,0.32,0,0,0,0,0,6.23,12.78,1.6,0,0,0.88,9.74,0.4,0.48,0,0.08,0.08,0,1.92,0.16,0.08,0.16,0,0
"CD56dim CD122hi NK",19.63,2.8,24.69,20.78,13.98,8.71,74.18,70.31,6.69,14.33,38.87,5.33,23.44,7.39,7.18,27.65,38.45,50.9,24.74,89.82,75.7,60.29,7.76,75.21,89.61,94.65,97.07,18.83,22.43,66.26,50.95,43.42,39.07,62.07,22.75,68.36,38.9,36.21,0.81,0.67,37.94,37.97,8.98,0.24,5.06,12.01,40.97,4.29,0.94,18.95,0.61,0.9,10.08,18.42,54.52,8.7,2.17,5.08,1.99,55.49,36.2,3.11,4.35,1.95,0.44,24.38,32.05,14.84,13.12,0.16,0.91,78.67,25.06,0,88.32,89.07,14,10.81,12.11,48.08,54.93,58.29,38.12,8.44,11.91,11.35,21.08,26.32,20.4,36.35,46.01,15.25,5.49,73.2,26.65,1.91,26.02,62.52,25.95,77.64,18.34,29.27,8.53,1.89,0.24,0.61,0.79,0.07,1.49,25.98,0.04,34.22,9.7,16.5,0.19,0.21,0.73,6.31,0.08,0.32,0.23,0.11,0.16,0.29,0.1,0.1,0.03,45.88,0.43,0.1,0.08,0.18,10.14,34.71,10.11,70.57,66.4,54.79,76.01,0.24,0.73,0.39,1.03,0.03,0.12,7.04,0.01,0.14,0.09,0.26,0,0,0.03,0,0.73,7.15,1.29,0,0,0.37,4.49,0.6,0.27,0.06,0.04,0.11,0.04,3.44,0.45,0.29,0.11,0,0
"CD56dim CD122int NK",28.44,9.06,38.98,35.53,31.51,8.72,67.96,71.03,1.4,8.49,21.62,2.5,13.42,2.43,6.03,27.42,55.67,46.64,15.24,96.59,78.5,78.04,3.75,69.7,95.15,96.25,99.47,15.4,39.59,84.03,60.79,50.36,37.2,66.97,28.29,77.36,35.61,38.19,0.3,1.78,34.66,37.92,19.49,0.19,2.05,8.38,39.55,2.2,0.15,13.2,0.61,0.61,15.24,27.08,51.46,8.42,0.8,4.7,0.23,44.94,31.17,3,9.97,7.58,1.14,22.68,28.02,14.33,17.56,0.04,0.15,61.32,14.64,0,83.16,90.78,41.6,25.82,8.19,36.44,23.32,71.6,34.51,8.65,12.48,12.21,14.68,24.23,21.31,32.12,39.78,14.37,5.04,73.08,25.64,3.07,22.3,70.35,26.43,89.19,6.71,16.53,8.65,1.82,0,1.86,0.19,0.11,0.23,28.02,0,29.28,8.99,19.15,0.3,0.19,0.27,5.84,0.04,0.11,0.19,0.15,0.11,0.04,0.04,0.15,0,44.37,0.3,0.04,0.04,0.08,8.72,33.75,10.24,51.92,60.52,55.78,74.86,0.19,0.49,0.27,0.68,0.11,0.11,4.29,0,0.08,0.08,0.11,0,0,0,0,0.23,4.32,0.46,0,0,0.42,1.63,0.46,0.19,0.08,0.04,0.19,0.04,2.88,0.27,0.11,0.04,0,0
"CD56dim CD122lo NK",24.36,7.5,31.42,36.75,23,12.26,69.79,73.6,2.6,12.26,23.76,3.24,15.76,5.27,6.16,30.56,52.13,44.38,17.28,92.28,72.81,70.01,6,66.2,91.04,94.57,98.22,18.39,34.24,72.27,61.31,46.86,37.13,63.66,25.95,71.73,34.05,36.12,0.41,2.1,30.84,37.61,19.03,0.16,2.92,6.45,35.01,2.64,0.6,14.58,0.67,0.35,12.83,25.92,42.92,8.13,1.18,4.38,1.97,45.24,28.27,4.32,8.67,7.02,1.18,21.25,31.13,13.91,17.34,0.22,0.38,61.47,13.56,0,78.78,87.07,21.76,15.63,6.99,33.77,34.88,64.87,35.64,7.81,11.25,10.99,17.15,22.27,19,31.86,40.95,16.2,6.29,75.1,24.08,2.13,19.54,67.88,25.29,87.13,6.89,16.74,8.48,2.1,0.16,1.75,0.35,0.03,0.32,26.87,0.06,29.54,7.12,17.15,0.64,0.48,1.11,4.76,0.19,0.44,0.57,0.35,0.38,0.6,0.25,0.35,0.16,37.23,0.32,0.35,0.1,0.13,7.4,30.27,8.93,46.95,56.13,44,70.27,0.16,0.86,0.51,1.14,0.06,0.38,3.72,0.03,0.16,0.19,0.29,0,0,0.03,0,0.22,3.46,0.51,0,0,0.73,2.8,0.76,0.44,0.16,0.1,0.19,0.1,3.49,0.51,0.06,0.06,0,0
"CD8+ MAIT cell",27.86,26.94,74.72,75.46,49.45,39.48,53.69,75.37,50.92,66.88,71.68,55.72,48.71,89.39,17.53,70.02,72.23,64.76,48.34,9.96,14.3,7.66,8.12,43.63,15.13,11.16,29.24,38.28,1.38,10.89,2.03,5.63,6.64,54.98,6.37,17.16,21.13,18.63,1.29,3.04,2.4,4.52,6.09,1.75,0.83,0.55,1.29,41.61,25.37,17.99,0.46,1.01,6.27,9.04,6.83,17.53,27.49,3.97,9.96,65.13,41.33,12.73,4.7,5.26,7.66,9.32,16.79,5.72,10.98,4.43,1.48,63.84,15.87,6,4.43,13.1,0.74,0.18,0.18,0.18,3.78,6.27,47.69,8.12,8.95,11.25,16.42,31.18,15.04,38.93,40.5,14.94,5.81,80.26,42.53,1.66,2.4,7.2,3.78,24.08,2.58,3.04,1.38,5.9,0.65,0.09,4.43,0.28,10.7,14.94,21.31,51.85,20.39,21.77,0,0.37,3.6,6.27,0.09,1.11,26.11,0,0.09,0.09,0.18,0,0,67.99,0.65,0.18,0,0.09,8.86,1.66,27.03,18.08,0.74,3.87,19.56,0.18,0.46,0.46,0.92,0,0.28,4.7,0,0.18,0.09,0.37,0,0,0,0,2.21,0.46,3.04,0,0,1.11,2.12,0.55,0.28,0,0.09,0.28,0,2.86,0.37,0.18,0.09,0,0
"Classical Monocyte",2.46,2.1,9.92,10.41,7.26,4.3,7.62,10.12,13.47,15.64,10.35,8.77,8.87,26.38,21.62,6.96,45.8,48.19,14.78,4.66,4.93,2.99,0.82,8.34,4.37,6.44,15.28,5.32,2.23,4.76,43.79,2.04,2.14,39.72,44.19,90.14,50.46,5.12,1.12,0.62,45.34,2.37,1.08,0.56,19.12,0.53,5.62,6.37,2.76,46.94,0.62,0.69,84.03,80.39,9.1,10.58,3.88,4.8,0.3,15.64,31.57,2.79,0.59,0.66,0.1,1.18,1.54,2.53,2.63,0.13,0.79,3.38,1.48,0.03,91.33,5.98,1.08,1.08,4.37,1.61,1.22,2.83,47.67,10.32,13.57,19.38,21.65,38.37,35.74,70.8,62.19,56.01,18.99,87.94,44.51,13.21,60.41,43.76,47.37,11.7,0.3,0.99,0.2,25.49,1.05,0.03,37.12,0.2,1.94,4.11,0.23,3.58,14.62,21.45,0.59,0.69,0.85,2.04,0.43,2.92,0.39,12.19,0.39,0.56,0.13,0.16,0.23,57.56,0.16,0.23,0.13,0.2,7.19,3.35,0.76,90.34,2.07,3.32,3.88,68.2,88.6,78.42,83.48,44.02,67.87,87.84,7.95,50.23,70.27,49.34,0.62,14.98,3.42,1.41,7.59,41.2,4.2,2,0,60.32,22.17,3.65,1.28,0.3,0.46,0.72,0.26,2.53,0.46,0.3,0.2,0,0
"Follicular B cell",0.43,0.2,1.81,0.87,0.64,8.3,2.86,79.5,89.14,63.99,8.39,3.05,79.7,3.05,59.44,59.24,75.23,92.02,15.13,0.39,0.29,0.13,0.09,0.96,0.18,1.6,2.84,3.51,0.03,0.38,0.16,3.7,0.05,40.39,1.01,60.74,2.04,2.67,6.25,2.11,1.75,1,0.22,0.08,9.85,0.37,0.76,8.82,0.28,31.12,42.11,0.09,99.23,99.24,32.24,9.98,0.32,0.13,0.05,70.14,35.09,0.09,0.07,0.08,0.05,0.07,0.09,0.04,0.04,0.03,0.3,0.13,1.73,0,2.05,0.71,0,0.04,0.01,0.11,0.05,0.24,30.36,7.51,16.19,12.66,29.8,31.48,37.22,43.26,61.18,6.2,6.11,76.14,18.57,1.34,2.06,2.25,1.52,1.68,0.04,0,0.24,8.56,0.01,0.01,0.25,0.08,3.43,31.37,0.04,0.38,0.12,6.21,67.38,94.97,99.19,83.83,51.37,82.35,63.59,63.28,62.6,88.29,63.27,51,21.6,21.41,26.74,34.79,8.15,16.47,30.73,0.03,12.11,1.09,0.03,2.52,8.37,0.24,0.7,0.47,0.62,0.03,0.14,7.18,0,0.16,0.08,3.49,0,0,7.03,0,1.3,59.37,1.76,0.93,0.09,16.14,72.97,0.89,0.51,0.14,0.17,0.42,0.09,3.13,0.2,0.24,0.09,0.01,0
"gd T cell (cl9)",45.67,13.92,77.28,70.42,64.03,15.99,71.96,81.26,4.08,9.7,32.52,3.71,26.73,6.42,10.1,36.77,66.38,41.25,12.11,88.49,45.47,79.99,5.39,70.46,86.72,93.94,98.16,22.28,25.83,81.57,41.59,47.98,31.21,78.19,27.13,86.99,40.25,36.87,1,7.09,36.67,37.14,41.22,1.67,2.44,6.39,24.82,5.52,0.87,18.27,0.6,0.74,22.05,49.15,37.24,12.41,2.04,14.42,1.84,51.32,25.09,3.65,13.95,36.73,8.33,21.81,30.21,6.86,43.99,0.07,0.23,18.63,3.78,0.17,35.66,85.58,27.43,17.3,2.07,10.54,17.73,53.13,39.95,10.71,14.79,13.58,24.09,32.79,24.05,36.53,44.23,22.28,14.15,85.15,34.46,6.46,16.93,64.17,24.86,96.45,4.98,10.51,12.48,3.65,0,3.91,0.07,0,0.3,58.31,0.03,25.66,7.49,19.04,0.17,0.17,0.84,1.97,0.03,0.17,0.7,0.23,0.03,0.37,0.07,0.07,0.07,38.71,0.3,0.1,0.03,0.07,19.1,28.1,7.09,10.07,22.72,46.87,50.25,0.2,0.47,0.27,0.6,0,0.13,3.25,0,0.1,0.07,0.33,0,0,0,0,0.5,2.71,1.24,0,0.03,0.17,0.67,1.37,0.57,0.17,0.17,0.47,0.1,7.56,0.43,0.5,0.3,0.03,0
