"","Activated B cell","CD4dim Naive T cell","CD56bright NK","CD56dim CD122hi NK","CD56dim CD122int NK","CD56dim CD122lo NK","CD8+ MAIT cell","Classical Monocyte","Cytotoxic gd T cell","Follicular B cell","Intermediate Monocyte","ISG+ CD4 T cell","Naive 1 CD4","Naive 1 CD8","Naive 2 CD4","Naive 2 CD8","Naive 3 CD4","Naive Intermediate CD8","Non-classical Monocyte","pDC","Resting Naive B cell","TEMRA/CTL CD8","Tex CD8","Th2/Th17 EM CD4","TNF+ B cell","Transitional B cell","Transitional Memory CD4","Treg","Tscm CD8","Vd1 gd T cell","Vg9Vd2 gd T cell"
"ISG15",0.2484,0.0533,0.4646,0.6818,0.4643,0.6737,0.4833,0.5241,0.654,0.0851,0.4043,0.5358,0,0.0918,0.0474,0.1145,0.002,0.0272,0.9531,0.3017,0.0411,0.6551,0.649,0.5578,0.3762,0.2333,0.0374,0.478,0.0791,0.5062,1
"TNFRSF9",0.1807,0.0521,0.2126,0.3329,0.2969,0.3061,0.175,0.1167,1,0.0055,0.1856,0.015,0.0021,0.0046,0.0082,0.0137,0.0017,0.0018,0.0337,0.3441,0.0014,0.4749,0.4692,0.0399,0,0.0117,0.0065,0.1381,0.0131,0.1652,0.2202
"RUNX3",0.2403,0.0455,0.5199,0.6374,0.7601,0.7573,0.2754,0.1129,1,0.1184,0.414,0.1352,0.0163,0.2187,0.0393,0.1834,0.0325,0.1533,0.1377,0.1345,0.1533,0.9269,0.7181,0.141,0.1692,0.0947,0,0.0869,0.2488,0.4742,0.5013
"ZNF683",7e-04,0.0344,0.5935,0.1782,0.4216,0.4081,0.228,0.0092,0.5432,0.0011,0,0.0126,0.001,0.0095,0.0084,0.0308,4e-04,4e-04,0.003,0,0.009,1,0.4673,0.0223,0,0,0.0019,0.0044,0.0048,0.6051,0.0549
"IFI44L",0.5706,0.1595,0.2791,0.6189,0.3389,0.5526,0.1739,0.1382,0.6126,0.6524,0.184,0.5439,0.1041,0.1587,0.1667,0.173,0.1863,0.0688,0.2945,0.6641,0.608,0.3747,0.1217,0.2508,0.3933,1,0.2089,0.2916,0,0.1714,0.2146
"S1PR1",0.0711,0.5859,0.3467,0.2817,0.2884,0.3649,0.8903,0.0448,0.3995,0.5774,0.001,0.8199,0.5654,0.5821,0.7115,0.6008,0.7107,0.4709,0,0.0439,0.7002,0.4724,0.3814,1,0.4471,0.422,0.5064,0.6519,0.424,0.7457,0.4637
"CD160",0.0041,0.0395,0.1836,1,0.6988,0.543,0.0243,0.0125,0.4252,0.0118,0.0267,0.0112,0.0038,0.0093,0.0028,0.0179,0.0067,0.0036,0.0073,0.0147,0.0086,0.2706,0.1593,0.0112,0,0.004,0.0069,0.0025,0.0048,0.0458,0.2049
"S100A9",2e-04,0.0061,0.0026,0.001,6e-04,0.001,8e-04,0.5628,3e-04,4e-04,1,3e-04,5e-04,4e-04,6e-04,6e-04,5e-04,2e-04,0.1053,3e-04,8e-04,3e-04,1e-04,4e-04,6e-04,6e-04,8e-04,6e-04,0,7e-04,6e-04
"S100A12",9e-04,0.0029,0.0048,5e-04,0.0011,5e-04,0,0.5464,0,2e-04,1,0,4e-04,2e-04,1e-04,2e-04,3e-04,3e-04,0.0723,0.0019,5e-04,2e-04,0,0,0,2e-04,7e-04,0,0,0,0.0013
"S100A8",5e-04,0.0081,0.0013,7e-04,9e-04,7e-04,2e-04,0.72,4e-04,5e-04,1,2e-04,3e-04,2e-04,4e-04,4e-04,3e-04,2e-04,0.1264,1e-04,7e-04,5e-04,1e-04,2e-04,0,2e-04,3e-04,3e-04,2e-04,3e-04,3e-04
"CD1C",1,0.003,0,0.0039,0,0.0052,0,0.2954,0,0.8532,0.1726,0,5e-04,0,0,0,0,0,0.3956,0.2878,0.1532,0,0,0,0.1875,0.9823,0,0,0,0,0
"MNDA",0.0476,0.0065,0,0.0047,0.0022,0.0048,0.0038,1,0.006,0.0451,0.2509,0.001,7e-04,1e-04,5e-04,4e-04,2e-04,5e-04,0.7662,0.1273,0.0354,0.0204,0.0555,0.003,0.0095,0.0319,6e-04,8e-04,0.0015,1e-04,0.0066
"CD244",0.0067,0.0148,0.4974,1,0.993,0.8831,0.0156,0.0516,0.4962,0.0049,0.1117,0.0019,0.0028,0.0073,0.0046,0.0128,0.0026,0.0045,0.1026,0.0081,0.0083,0.2127,0.1199,0.0011,0.0194,0.0048,0.0024,0,0.0017,0.0435,0.0564
"FCER1G",0,0.0105,0.3392,0.2677,0.1836,0.1715,0.0352,0.8397,0.0247,3e-04,0.6687,0.0016,0.0011,0.0404,0.0026,0.0393,0.0011,0.0653,1,0.108,0.0017,0.0024,0.0067,0.0011,0.0026,9e-04,0.0018,0.0282,0.0388,0.0058,0.0015
"FCGR3A",7e-04,0.0011,0.1051,0.2456,0.3523,0.3555,0.0046,0.1319,0.1645,2e-04,0.1315,3e-04,1e-04,4e-04,2e-04,0.0021,5e-04,1e-04,1,0.0011,9e-04,0.1285,0.0297,7e-04,0,8e-04,1e-04,1e-04,2e-04,6e-04,0.0154
"SH2D1B",5e-04,0.0034,0.5639,1,0.9166,0.8681,0.0056,0.0081,0.2724,2e-04,0.0026,0,3e-04,0,4e-04,0.0013,2e-04,1e-04,0.0077,3e-04,2e-04,0.0234,0.007,3e-04,0,3e-04,1e-04,3e-04,0,0.0015,0.0081
"XCL2",0.0131,0.0337,1,0.2992,0.1327,0.1798,0.064,0.0027,0.097,0,0,0.0014,1e-04,0.0016,1e-04,0.0016,0,2e-04,0.0075,3e-04,1e-04,0.0276,0.0283,6e-04,0,2e-04,2e-04,2e-04,9e-04,0.0233,0.0429
"XCL1",0.0446,0.0248,1,0.1833,0.0475,0.0678,0.0632,0.001,0.0466,1e-04,0,0.0016,1e-04,9e-04,5e-04,0.0014,1e-04,1e-04,0.0142,0,2e-04,0.0106,0.016,0.013,0,0,3e-04,0,0,0.0381,0.0129
"SELL",0.0451,0.7406,0.5296,0.0618,0.0274,0.0482,0.3981,0.0519,0.0252,0.3756,0.0194,0.5032,0.8458,0.6553,0.827,0.7034,0.8038,0.7418,0,0.2419,0.4618,0.0429,0.1358,0.5227,0.0321,0.1811,1,0.6374,0.5975,0.269,0.1032
"BATF3",0.4417,0.0438,0.4148,0.0612,0.0209,0.0132,0.137,0.3646,0.0375,0.0736,0.2641,0.1038,0.0326,0.0722,0.0363,0.0652,0.0326,0.0579,1,0.2343,0.076,0.0254,0.0313,0.058,0,0.0813,0.0221,0.0383,0.0754,0.035,0.0348
"ID2",0.1147,0.1974,1,0.7682,0.6981,0.7497,0.2649,0.6103,0.8601,0.0023,0.7126,0.4621,0.2077,0.2191,0.1759,0.1857,0.1825,0.1877,0.7786,0.9673,0,0.6699,0.2664,0.1786,0.113,0.0414,0.2551,0.0564,0.1629,0.2566,0.3838
"GNLY",0.001,0.0075,1,0.7672,0.7694,0.6891,0.0434,0.008,0.5394,2e-04,0.0016,7e-04,2e-04,0.0015,0.0014,0.0089,8e-04,2e-04,0.0028,0.0012,0.0012,0.4296,0.1465,0.0061,0,9e-04,2e-04,0.0011,6e-04,0.0306,0.1148
"CD8A",6e-04,0.0313,0.0516,0.1065,0.1877,0.178,0.1701,0.0097,0.3359,0.0013,0.0021,0.0285,9e-04,0.2767,0.0051,0.3024,0.0015,0.3257,0.0035,0.0014,0.0046,1,0.9744,0.0125,0,0.0031,0.0031,0.0152,0.297,0.1999,0.1252
"CD8B",0.0013,0.0627,0.0191,0.0168,0.0565,0.0643,0.1995,0.011,0.0776,0.0012,0.0023,0.0467,0.008,0.7819,0.018,0.868,0.0118,1,0.0027,0.007,0.0054,0.6808,0.8269,0.0105,0,0.0038,0.0129,0.0596,0.7297,0.1398,0.0103
"IGKC",0.0874,0.0012,0.0025,2e-04,4e-04,0.0011,0,4e-04,1e-04,0.165,0.0043,1e-04,1e-04,1e-04,7e-04,1e-04,1e-04,0,1e-04,1,0.1629,2e-04,4e-04,2e-04,0.0823,0.1849,1e-04,1e-04,0,0,1e-04
"ZEB2",0.09,0.0082,0.0932,0.2424,0.3157,0.3103,0.0345,0.5035,0.4928,0.1184,1,0.0041,0,0.0017,0.0017,0.0112,4e-04,2e-04,0.6549,0.1344,0.1045,0.4091,0.2245,0.0147,0.0977,0.1178,0,0.0024,0.0033,0.0693,0.135
"STAT1",0.5015,0.7177,0.1886,0.3752,0.2927,0.3017,0.2641,0.7999,0.2312,0.4394,0.4788,0.6311,0.5005,0.5537,0.4718,0.5964,0.4672,0.5212,1,0.7021,0.4867,0.3051,0.306,0.2708,0,0.7953,0.8443,0.4577,0.3338,0.3106,0.2353
"CD28",0.0109,0.6804,0.0188,0.0204,0.0026,0.0162,0.4601,0.0503,0.0219,0.0057,0.009,0.9536,0.683,0.4253,0.7691,0.5148,0.734,0.381,0.0045,0.0153,0.0132,0.0342,0.3829,1,0,0.0129,0.7158,0.8902,0.3561,0.4921,0.4546
"CTLA4",0.0016,0.0967,0.0025,0.0044,0.003,0.0028,0.0186,0.0063,0.0271,6e-04,0,0.0622,0.0315,0.0078,0.0538,0.0181,0.0344,0.0129,0.0164,9e-04,9e-04,0.0413,0.1258,0.2086,0,5e-04,0.0529,1,0.0091,0.0326,0.0217
"ICOS",0.0048,0.3567,0.0122,0.015,0.0047,0.0106,0.1666,0.0293,0.0179,0.0019,0.0029,1,0.4057,0.1614,0.3982,0.1616,0.3952,0.1345,0.0015,0.0053,0.0042,0.0544,0.1847,0.5665,0,0.0042,0.424,0.3906,0.0891,0.0894,0.0709
"IKZF2",0.1467,0.2594,0.3045,0.2968,0.3957,0.3964,0.1182,0.0225,1,0.2539,0.001,0.1067,0.1015,0.3037,0.1208,0.3207,0.1016,0.2551,0,0.1426,0.2791,0.4134,0.308,0.0794,0.1307,0.5046,0.104,0.6507,0.2912,0.9188,0.2117
"PDCD1",0.1288,0.0486,0.02,0.0231,0.0747,0.0897,0.0928,0.0042,0.3039,0.0338,0.0409,0.0229,0.0107,0.0037,0.017,0.0133,0,8e-04,0.0085,0.0204,0.0126,0.4032,1,0.4356,0.1942,0.0444,0.0181,0.1168,0.0121,0.2845,0.2095
"SATB1",0,0.9161,0.3911,0.3622,0.2044,0.2739,0.681,0.0716,0.1316,0.0865,0.0126,0.9051,0.9926,0.8291,0.9333,0.8081,1,0.914,0.0436,0.01,0.1271,0.0622,0.1295,0.6089,0.2564,0.0526,0.9259,0.7574,0.8368,0.5694,0.5784
"EOMES",0.0022,0.0204,0.9453,0.9281,0.8992,1,0.1162,0.017,0.6627,6e-04,0.0039,0.0057,0.0035,0.0353,0.0071,0.0704,0.0034,0.025,0.003,8e-04,0.006,0.7352,0.9472,0.0193,0,0.0014,0.0038,0.0038,0.0597,0.184,0.4203
"CCR4",0.0085,0.0352,0.0038,0.0011,0,0.001,0.4582,0.004,4e-04,9e-04,0,0.0745,0.0408,0.001,0.0285,0.0021,0.0132,5e-04,0.0018,0,0.0016,0.0029,0.0388,1,0,0,0.0364,0.3465,0.0096,0.0142,0.0327
"CX3CR1",6e-04,0.0055,0.0832,0.4694,1,0.8617,0.0214,0.018,0.4842,2e-04,0.0378,5e-04,6e-04,5e-04,0.0016,0.0095,0.0015,0,0.3355,0.0132,0.0019,0.8375,0.2471,0.0081,0,0.0014,1e-04,0.0016,9e-04,0.0052,0.0641
"CXCR6",6e-04,0.0089,0.124,0.0435,0.0041,0.0537,0.1923,0.0022,0.0458,7e-04,5e-04,0,0.0013,0.0011,0.0018,0.0015,1e-04,0.001,8e-04,0.0014,0.0014,0.0409,0.2014,0.0756,0,2e-04,0.0017,0.0269,0.0024,0.0142,1
"XCR1",0,0,0,0,0,0,0,0.4842,0,0,1,0,0,0,0,0,0.0068,0,0.0856,0.5077,0,0,0.0692,0.0157,0,0,0,0,0,0,0
"FOXP1",1,0.3103,0.0368,0.0836,0.0644,0.0688,0.0887,1e-04,0.0153,0.6006,0.044,0.4945,0.2872,0.3401,0.3559,0.3554,0.389,0.2629,0.2188,0.1206,0.5775,0.0352,0.0422,0.1575,0.6667,0.6937,0.2573,0.3801,0.2464,0.1172,0
"TIGIT",0.0172,0.1005,0.4188,0.9217,0.9418,1,0.0762,0.0199,0.8181,0.0057,6e-04,0.0196,0.0086,0.0045,0.0235,0.0288,0.003,0.0023,0,0.0077,0.0062,0.6021,0.9843,0.2601,0.0042,0.0031,0.0182,0.9728,0.0039,0.208,0.1013
"LAMP3",0.0647,0.0185,0.0064,0.0074,0,0.0014,0.0144,0.0234,0.0075,0.0065,0.0098,0.0568,0.0074,0.0173,0.013,0.0103,0.0122,0.0031,0.0527,1,0.015,0.0021,0.0177,0.0162,0.008,0.0126,0.0124,0.0522,0.0041,0.0333,0.0246
"BCL6",0.1576,0.3272,0.5685,0.3428,0.1846,0.2665,0.1332,0.515,0.3269,0.4528,0.6247,0.2258,0.1924,0.098,0.2079,0.1314,0.1967,0.0971,1,0,0.4391,0.0944,0.0505,0.2161,0.3127,0.5886,0.1939,0.3482,0.117,0.4587,0.3657
"SPON2",0,0.0229,0.1346,1,0.9962,0.8274,0.0196,0.0113,0.6823,0.0066,0.0028,0.0136,0.0136,0.0259,0.0101,0.0377,0.0099,0.036,0.0032,0.1843,0.003,0.5415,0.2086,0.0243,0.0478,0.003,0.0172,0.0063,0.0318,0.0385,0.1993
"CD38",0.1362,0.078,0.5395,1,0.8787,0.7056,0.0369,0.0152,0.4587,0.2695,0,0.0495,0.0498,0.0792,0.0446,0.0748,0.0505,0.0866,0.0063,0.361,0.2434,0.4145,0.5529,0.0329,0.115,0.6572,0.0799,0.0422,0.0832,0.0655,0.1206
"FGFBP2",3e-04,0.0353,0.1845,0.5234,0.891,0.7618,0.0632,0.0153,0.8017,8e-04,9e-04,0.0055,0.0369,0.0885,0.0222,0.0815,0.0291,0.1617,0.0026,0.0025,0.0016,1,0.5081,0.0113,0,0.0019,0.0387,0.0023,0.0998,0.0467,0.107
"JCHAIN",0.0267,2e-04,7e-04,1e-04,1e-04,7e-04,1e-04,3e-04,1e-04,0.0705,0.0043,3e-04,1e-04,1e-04,6e-04,2e-04,1e-04,0,4e-04,1,0.0541,2e-04,2e-04,1e-04,0.0078,0.0631,5e-04,1e-04,0,4e-04,3e-04
"PF4",0.0097,0.0746,0.0549,0.0506,0.0297,0.126,0.04,0.1279,0.1081,0.0826,1,0.0709,0.0206,0.0295,0.0381,0.0426,0.0368,0.0126,0.196,0.1777,0.0849,0.1286,0.0304,0.0613,0,0.0358,0.0157,0.0314,0.0042,0.0593,0.4053
"PPBP",0.0146,0.0742,0.0105,0.0388,0.0248,0.0551,0.0136,1,0.0743,0.032,0.8006,0.0699,0.0278,0.021,0.0206,0.0401,0.0213,0.0062,0.1216,0.0927,0.0554,0.081,0.0551,0.03,0.047,0.0287,0.0043,0.0283,0,0.0424,0.242
"BANK1",0.2603,0.0069,0.0104,0.0022,9e-04,0.0041,0.0032,0.0067,6e-04,1,0.0035,6e-04,0.0012,5e-04,0.0016,1e-04,5e-04,0,0.0011,0.021,0.8481,0.0011,0.0021,0.0036,0.4623,0.6874,0.0013,0.007,0,5e-04,0.0014
"LEF1",0.0252,0.8921,0.0772,0.0305,0.0091,0.0148,0.3161,0.0829,0.0224,0.0088,0.0074,0.7484,0.9395,0.8835,0.9098,0.898,1,0.964,0.0036,0.0218,0.0181,0.0281,0.1153,0.4223,0,0.0358,0.8836,0.9091,0.9735,0.7863,0.0394
"IL7R",0.0136,0.5753,0.1911,0.0346,0.0084,0.0258,0.9938,0.1099,0.039,0.0065,0.0237,0.8661,0.8234,1,0.7322,0.8138,0.8298,0.9206,0.0148,0.0811,0.0124,0.0555,0.1464,0.8108,0,0.0191,0.6555,0.2012,0.8778,0.7674,0.7982
"ITGA1",0.0085,0.1051,1,0.196,0.1725,0.2895,0.7041,0.1115,0.2029,0.0032,0.1205,0.2319,0.1734,0.3467,0.1362,0.2331,0.1087,0.1708,0.0134,0.0267,0.0124,0.2902,0.8805,0.0504,0,0.0076,0.1795,0.007,0.2552,0.2787,0.2791
"GZMK",1e-04,0.0838,0.6211,0.0736,0.0354,0.071,0.1092,0.0048,0.0666,7e-04,0,0.0201,0.0108,0.1175,0.0208,0.2269,0.0105,0.1112,5e-04,0.0018,0.0052,0.0919,0.5239,0.057,0,0.0015,0.0166,0.0133,0.1439,0.3449,1
"GZMA",0.0018,0.0607,0.7296,0.9002,1,0.9414,0.1543,0.016,0.3414,0.001,7e-04,0.0124,0.106,0.0415,0.0553,0.0544,0.0622,0.0701,0.0024,0.0022,0.002,0.4037,0.5269,0.0546,0,0.0034,0.1119,0.0088,0.0768,0.0208,0.5231
"VCAN",2e-04,0.0046,0.0016,6e-04,3e-04,6e-04,6e-04,1,5e-04,5e-04,0.7353,3e-04,4e-04,2e-04,2e-04,2e-04,2e-04,4e-04,0.2687,9e-04,3e-04,2e-04,3e-04,2e-04,0,7e-04,2e-04,2e-04,0,4e-04,1e-04
"TCF7",0.019,0.8302,0.3481,0.1807,0.0859,0.1011,0.3911,0.0649,0.1464,0.0115,6e-04,0.4741,0.9253,0.8033,0.8198,0.855,0.8775,1,0,0.0249,0.0231,0.1068,0.2598,0.4537,0.0047,0.0128,0.9199,0.3669,0.9547,0.7005,0.2886
"MZB1",0.1043,0.005,0.0144,0.0027,0.0018,0.0041,0.0043,6e-04,0.0016,0.1701,0.0055,0,0.002,0.0035,0.0044,0.0063,0.006,0.0048,1e-04,1,0.1167,0.002,0.0076,0.0034,0.1035,0.3485,0.0047,1e-04,0.0046,0.0183,0.0032
"CD14",0,0.0081,6e-04,0.0024,0.0024,9e-04,0.001,1,8e-04,6e-04,0.3854,6e-04,5e-04,5e-04,5e-04,4e-04,6e-04,7e-04,0.7033,5e-04,4e-04,3e-04,0.001,5e-04,0,7e-04,7e-04,0.0016,0.0014,1e-04,0.0016
"CSF1R",9e-04,0.0023,2e-04,0.0012,7e-04,0.0038,0.0011,0.7394,0.001,7e-04,0.3539,6e-04,6e-04,6e-04,5e-04,7e-04,9e-04,0.0012,1,0.0217,2e-04,0.0013,9e-04,0.0011,0,3e-04,7e-04,7e-04,0.0014,8e-04,0.0014
"HAVCR2",0.0071,0.0145,0.5332,0.8781,0.8143,0.7334,0.0286,0.5217,0.8261,0.0099,1,0.0127,0.0068,0.0228,0.0093,0.0248,0.0059,0.0175,0.8833,0.0602,0.0125,0.4891,0.2363,0.0164,0,0.0122,0.0066,0.0157,0.0139,0.065,0.0809
"IRF4",1,0.0662,0.0117,0.0848,0.0685,0.0683,0.05,0.0202,0.2068,0.2527,0.0114,0.2658,0.0492,0.1113,0.0481,0.0799,0.0497,0.0725,0,0.7948,0.2557,0.1378,0.2132,0.0531,0.6744,0.3459,0.0478,0.2254,0.0693,0.0291,0.1059
"TNF",0.1521,0.0181,0.0335,0.022,0.0144,0.0368,0.0534,0.7337,0.0501,0.0549,0.1675,0.0546,0.0066,9e-04,0.0112,0.0037,0.0103,0,1,0.0765,0.0532,0.0407,0.0065,0.0464,0.3269,0.0383,0.0045,0.0437,6e-04,0.0045,0.218
"NCR3",0.0354,0.0775,0.3767,0.1722,0.1834,0.1724,1,0.0054,0.1186,0.1549,0,0.0078,0.0085,0.0415,0.0239,0.0367,0.0052,0.0328,0.0072,0,0.1481,0.0605,0.0596,0.0794,0.0697,0.0757,0.0108,0.2033,0.0318,0.2785,0.4729
"HSPA1A",0,0.0583,0.0395,0.0801,0.0574,0.1202,0.0281,0.1843,0.2959,0.0125,0.0818,0.9214,0.0277,0.0396,0.0497,0.0477,0.0702,0.0105,0.1535,0.1308,0.0141,0.1433,0.0643,0.0778,1,0.0205,0.0313,0.0683,0.0107,0.0444,0.1175
"HSPA1B",0,0.0469,0.024,0.059,0.0453,0.0779,0.0214,0.0972,0.2412,0.0119,0.0422,0.7557,0.0179,0.0297,0.0403,0.0401,0.0482,6e-04,0.0849,0.075,0.0148,0.1302,0.0579,0.0598,1,0.0203,0.0093,0.0367,0.0042,0.0234,0.1109
"HLA-DRA",0.9298,0.0064,0.0352,0.0106,0.0181,0.0188,0.0064,0.438,0.023,0.8681,0.2833,2e-04,0,1e-04,6e-04,9e-04,1e-04,0,0.4752,1,0.8478,0.0261,0.0707,0.0033,0.9204,0.7725,0,0.003,0.001,0.002,0.0065
"HLA-DRB1",1,0.008,0.0558,0.0269,0.0437,0.0433,0.0136,0.4614,0.0802,0.8905,0.3301,2e-04,3e-04,3e-04,0.001,0.0019,2e-04,0,0.5026,0.8999,0.8754,0.0941,0.1696,0.0091,0.9246,0.6818,3e-04,0.01,0.0016,0.006,0.0208
"BACH2",0.5182,0.3198,0.2361,0.1403,0.0582,0.0888,0.2246,0.0339,0.1421,0.6815,0,0.8751,0.2879,0.461,0.4037,0.4272,0.4525,0.2389,0.0084,0.0157,0.7579,0.0833,0.1148,0.1632,1,0.7972,0.2233,0.2562,0.2199,0.5581,0.2402
"PRDM1",0.0127,0.0316,0.1587,0.4216,0.5809,0.5464,0.0822,0.5507,0.5004,0.0061,1,0.0706,0.016,0.0014,0.0179,0.0081,0.0202,9e-04,0.4874,0.25,0.0069,0.4413,0.1953,0.1444,0.0184,0.0092,0.0148,0.2507,0,0.0034,0.17
"TRGC2",0.0016,0.0493,0.2197,0.2248,0.3546,0.363,0.1446,0.0208,1,5e-04,0.0048,0.0179,0.0092,0.055,0.0189,0.0566,0.0086,0.0419,0.0076,0,0.0068,0.7742,0.5059,0.0481,0,7e-04,0.0119,0.0203,0.0858,0.5971,0.4941
"TRGC1",0.0033,0.0229,1,0.869,0.8968,0.9105,0.2028,0.0512,0.3625,0.0019,0.005,0.0156,0.0118,0.0306,0.0138,0.0412,0.008,0.0563,0.0073,0.0091,0.0042,0.314,0.1699,0.0521,0,0.0061,0.0133,0.0141,0.0638,0.2926,0.9182
"TRGV9",2e-04,0.015,0.2155,0.1829,0.1934,0.2202,0.0596,0.0047,0.401,3e-04,0,7e-04,7e-04,0.003,0.0026,0.0064,1e-04,0.0029,7e-04,0.0021,0.0013,0.1878,0.112,0.0081,0,0.0021,4e-04,5e-04,0.0069,0.1046,1
"TRBC1",3e-04,0.2917,0.5026,0.9518,0.8831,1,0.409,0.0333,0.9223,0.0024,9e-04,0.2043,0.2405,0.3544,0.2847,0.3811,0.2646,0.3489,0.0049,0.0015,0.0081,0.4996,0.5568,0.3554,0,0.0079,0.2495,0.3099,0.3458,0.74,0.6934
"TRBC2",0.4811,0.6513,0.5954,0.6198,0.7342,0.7857,0.6095,0.0445,0.9873,0.5289,0.0046,0.4037,0.4975,0.6415,0.5718,0.6936,0.5655,0.6209,0,0.0801,0.6114,0.8655,0.8543,0.5851,0.2002,0.5259,0.4472,0.591,0.703,1,0.8815
"BLK",0.4095,0.0339,0.0091,0.0024,0.0022,0.0099,0.6857,0.0026,0.0129,0.989,0.0048,0.0017,0.0137,0.0149,0.0124,0.018,0.0116,0.0256,0,0.3244,1,0.0127,0.0141,0.0488,0.4854,0.8502,0.0157,0.0196,0.0078,0.0298,0.1881
"TOX",0.0368,0.3371,0.4209,0.7422,0.8106,0.8393,0.2474,0.0379,0.7197,0.0116,0.0048,0.2465,0.2455,0.2146,0.261,0.2276,0.2591,0.2248,0,0.0117,0.0078,0.6593,1,0.3849,0.0408,0.0063,0.2489,0.8166,0.2211,0.7069,0.2493
"PAX5",0.69,0.0077,0.0038,0.0011,4e-04,0.0044,7e-04,0.0031,3e-04,0.7671,7e-04,7e-04,6e-04,8e-04,0.0013,9e-04,5e-04,6e-04,4e-04,0.0134,0.7397,5e-04,0,0.0011,0.2998,1,0.001,0,0,7e-04,0.0011
"FCN1",0,0.0064,0.002,0.001,4e-04,0.002,2e-04,0.7321,3e-04,6e-04,1,0,2e-04,3e-04,2e-04,4e-04,1e-04,3e-04,0.8606,0,3e-04,1e-04,0,1e-04,0.0015,2e-04,1e-04,3e-04,0.0014,0,9e-04
"CLIC3",8e-04,0.0094,0.5282,1,0.8734,0.9332,0.0899,0.011,0.3845,0.0263,0.0125,0.0049,0.0018,0.037,0.0011,0.0395,0,0.0429,9e-04,0.6008,0.0361,0.3606,0.2728,0.0196,0.0125,0.0052,0.0021,0.008,0.0495,0.0589,0.2906
"IL2RA",0.2086,0.0736,0.0305,0.0112,0.0016,0.0026,0.081,0.0106,0.0025,0.0161,0.0038,0.0214,0.0035,6e-04,0.0168,0.0043,0.006,0,0.0045,0.0512,0.0195,0.001,0.0047,0.0412,0.0422,0.0269,0.0075,1,7e-04,0.0059,0.0062
"GATA3",0.0053,0.1997,0.6244,0.5129,0.4439,0.4782,1,0.0221,0.3367,2e-04,0,0.2499,0.1978,0.1529,0.1815,0.1387,0.1671,0.1513,0.0037,0.0021,0.003,0.2894,0.2851,0.5366,0.007,0.0026,0.1817,0.3978,0.161,0.3214,0.4983
"PRF1",2e-04,0.0078,0.5393,0.8202,1,0.9328,0.0535,0.0113,0.6388,0,4e-04,0.0016,0.001,0.0072,0.0024,0.0154,0.0017,0.0074,0.0022,0,0.0014,0.6102,0.2896,0.008,0.0012,7e-04,0.0014,0.0125,0.0062,0.0174,0.3015
"FAS",0.5423,0.2706,0.1651,0.2776,0.2863,0.2929,0.4788,0.0849,0.4352,0.2126,0.072,0.7373,0.1709,0.2095,0.2052,0.1665,0.2176,0.0932,0.218,0.5974,0.2369,0.537,0.6354,0.6731,0,0.2325,0.2147,1,0.3057,0.3681,0.5902
"IFIT2",0.1727,0.0492,0.0374,0.243,0.2448,0.2834,0.1032,0.3291,0.4454,0.1515,0.1235,0.2953,0.022,0.0392,0.0434,0.0391,0.0482,0,0.9984,0.3327,0.172,0.4626,0.1359,0.2047,1,0.1397,0.0402,0.1327,0.0033,0.0503,0.4217
"IFIT3",0.5508,0.1271,0.034,0.3279,0.3622,0.3409,0.2317,0.3555,0.3703,0.1928,0.1605,0.6895,0.1086,0.0828,0.1426,0.0567,0.1506,0.0079,1,0.1592,0.256,0.5231,0.1063,0.2314,0.1313,0.2787,0.1516,0.3395,0,0.075,0.283
"IFIT1",0.5532,0.1521,0.0879,0.4655,0.4793,0.5791,0.3498,0.2957,0.6153,0.2388,0.072,1,0.1023,0.2313,0.1661,0.1375,0.1639,0.0121,0.6443,0.1361,0.2635,0.9926,0.3339,0.4301,0.1155,0.3711,0.082,0.361,0,0.3551,0.402
"ENTPD1",0.4334,0.024,0.972,0.4787,0.1885,0.3312,0.0351,0.6766,0.1702,0.4179,0.3842,0.0018,0,0.0037,0.0066,0.0162,1e-04,7e-04,0.5474,1,0.3174,0.1442,0.5179,0.0549,0.1176,0.1875,0.0017,0.2895,0.0401,0.0192,0.0053
"BLNK",0.5655,0.0042,0.0062,0.0019,0.0021,0.0069,0,0.0505,0.0024,0.9505,0.0184,2e-04,6e-04,7e-04,0.0013,0.0011,5e-04,0,0.0077,0.8789,0.8604,6e-04,1e-04,7e-04,0.2636,1,3e-04,0,0,0.001,7e-04
"MKI67",0.0134,0.0171,0.698,0.1682,0.0896,0.0469,0.0891,0.0195,0.0961,0.0031,0.0225,0.0456,0.0085,0.0062,0.0077,0.0206,0.0074,0.0306,0.0021,0.1888,0.0017,0.1353,1,0.0922,0,0.0151,0.0303,0.0896,0.0413,0.0318,0.0183
"IRF7",0.0864,0.0201,0.1015,0.1168,0.0864,0.1063,0.0441,0.0673,0.0898,0.1126,0.0774,0.051,0.0064,0.0107,0.012,0.0101,0.0083,0,0.1549,1,0.1227,0.0743,0.0427,0.0435,0.1539,0.152,0.0106,0.0598,0.0069,0.0539,0.055
"HBB",0.2347,0.1943,0.0545,0.288,0.0577,0.0417,0.2044,0.3325,0.4246,0.2803,0.0164,0.2898,0.1824,0.0933,0.0376,0.1283,0.0852,0.178,0.0486,0.3721,0.1669,0.4326,0.4775,0.348,0,0.3715,0.1703,0.4777,1,0.0321,0.1741
