"","Activated B cell","CD4dim Naive T cell","CD56bright NK","CD56dim CD122hi NK","CD56dim CD122int NK","CD56dim CD122lo NK","CD8+ MAIT cell","Classical Monocyte","Cytotoxic gd T cell","Follicular B cell","Intermediate Monocyte","ISG+ CD4 T cell","Naive 1 CD4","Naive 1 CD8","Naive 2 CD4","Naive 2 CD8","Naive 3 CD4","Naive Intermediate CD8","Non-classical Monocyte","pDC","Resting Naive B cell","TEMRA/CTL CD8","Tex CD8","Th2/Th17 EM CD4","TNF+ B cell","Transitional B cell","Transitional Memory CD4","Treg","Tscm CD8","Vd1 gd T cell","Vg9Vd2 gd T cell"
"OAS1",0.4445,0.0671,0.1497,0.3339,0.3597,0.3273,0.1363,0.2881,0.363,0.4742,0.186,0.1601,0.0444,0.0446,0.0494,0.0379,0.0479,0,1,0.3315,0.5093,0.4664,0.3671,0.165,0.041,0.59,0.0513,0.2292,0.0146,0.1316,0.1796
"TRAV1-2",0,0.1169,0.0188,0.0372,0.0044,0.0354,0.6169,0.0138,0.0028,0.0017,0.0208,0.1109,0.1772,0.7333,0.1705,0.8418,0.1773,0.8713,0,0,0.014,0.4458,1,0.2092,0,0,0.1278,0.2394,0.7023,0.1489,0.5593
"TRDV1",0.0191,0.1747,0.0307,0.038,0.1474,0.1855,0.1188,0.0103,0.7366,7e-04,0.0031,0.0188,0.0269,0.0425,0.0547,0.0658,0.0204,0.048,7e-04,0,0.0097,0.1308,0.133,0.082,0,6e-04,0.0251,0.0501,0.177,1,0.0357
"TRDV2",6e-04,0.0203,0.0043,0.0052,0.0167,0.0197,0.1432,0.0015,0.1342,8e-04,0,0.002,0.0015,0.0023,0.0038,0.0035,9e-04,0.0041,1e-04,5e-04,1e-04,0.0205,0.0234,0.035,0,0.001,0.003,0.0038,0.007,0.0783,1
"TRDC",0.0071,0.1277,1,0.502,0.4391,0.5284,0.2414,0.0112,0.4262,0.0016,0,0.0165,0.0135,0.0171,0.0301,0.0315,0.0095,0.0187,0.0031,7e-04,0.0048,0.0508,0.081,0.0648,0,0.0011,0.0151,0.0211,0.064,0.7425,0.3381
"TRAC",0.1071,0.6083,0.1613,0.1422,0.1483,0.239,0.5931,0.0505,0.2843,0.078,0.0059,0.2545,0.4899,0.7229,0.5276,0.7836,0.5405,0.8704,0.0049,0.01,0.0873,0.9192,1,0.6327,0,0.1645,0.4975,0.8383,0.961,0.6028,0.7361
"GZMH",8e-04,0.0043,0.2787,0.4724,0.8447,0.7314,0.0743,0.0102,0.7839,4e-04,0.0029,0.0023,2e-04,0.001,0.0016,0.0123,0.0018,1e-04,0.0022,0.0033,0.0022,1,0.5671,0.0087,0,0.0014,5e-04,2e-04,9e-04,0.0101,0.1529
"GZMB",0.0028,0.0068,0.851,0.8537,1,0.9111,0.075,0.0133,0.807,5e-04,0.0095,0.001,1e-04,3e-04,0.0011,0.0081,0.0011,1e-04,0.0042,0.6282,0.0011,0.7839,0.3631,0.0051,0.0024,0.001,0,3e-04,5e-04,0.0118,0.2665
"BATF",0.079,0.1881,0.1345,0.1618,0.2111,0.1913,0.1851,0.0876,0.1963,0.018,0.0371,1,0.2549,0.1283,0.2671,0.1144,0.3177,0.0625,0.0595,0.0186,0.0106,0.2877,0.2828,0.344,0,0.015,0.2349,0.6472,0.0867,0.062,0.0978
"IFI27",0.0067,0.0099,0.0356,0.0336,0.0481,0.0404,0.0285,0.6958,0.1058,0.0117,0.7598,0.0122,0.007,0.0064,0.0079,0.0068,0.0043,0.0021,1,0.1306,0.0076,0.1165,0.2777,0.1036,0,0.016,0.0098,0.0287,0.013,0.0142,0.0375
