"","ADGRG1","ANPEP","B3GAT1","BTLA","C5AR1","CCR4","CCR5","CCR6","CD101","CD14","CD163","CD19","CD1C","CD1D","CD2","CD22","CD226","CD24","CD244","CD27","CD274","CD28","CD33","CD36","CD38","CD3D","CD4","CD40","CD40LG","CD44","CD45","CD45RA","CD45RO","CD47","CD48","CD5","CD52","CD58","CD69","CD7","CD79B","CD81","CD82","CD83","CD86","CD8A","CD99","CLEC12A","CLEC4C","CR1","CR2","CTLA4","CX3CR1","CXCR3","CXCR5","DPP4","ENG","ENTPD1","FAS","FCER1A","FCER2","FCGR1A","FCGR2A","FCGR3A","GGT1","GP1BB","Hamster-IgG","HLA-A","HLA-DRA","HLA-E","Human-Ig","ICAM1","ICOS","IFNGR1","IGHD","IGHM","IGKC","IL2RA","IL2RB","IL3RA","IL4R","IL7R","ITGA1","ITGA2","ITGA2B","ITGA4","ITGA6","ITGAE","ITGAL","ITGAM","ITGAX","ITGB1","ITGB2","ITGB7","KIR2DL1","KIR2DL3","KIR3DL1","KLRB1","KLRD1","KLRG1","KLRK1","LAG3","LAMP1","LILRB1","MCAM","Mouse-IgG1","Mouse-IgG2a","Mouse-IgG2b","MS4A1","NCAM1","NCR1","NECTIN2","NT5E","OLR1","PDCD1","PECAM1","PVR","Rat-IgG1","Rat-IgG2a","Rat-IgG2b","SELL","SELP","SIGLEC1","SIGLEC7","SLAMF6","SLAMF7","TCR-AB","TCR-vA7.2","TCR-vD2","TFRC","THBD","TIGIT","TNFRSF13B","TNFRSF13C","TNFRSF14","TNFRSF4","TNFRSF9"
"Resting Naive B cell",3.13,4.18,3.98,28.11,0.86,3.23,0.33,58.33,1.97,1.56,2.95,94.28,56.06,6.25,4.06,78.62,0.2,7.13,1.18,7.66,0.25,1.64,5.8,0.91,58.15,3.53,2.32,78.88,0.1,82.38,78.47,96.42,3.33,37.53,99.29,26.87,30.96,3.1,17.17,4.87,1.99,13.59,6.33,3.76,8.39,4.54,13.13,4.16,3.13,93.8,93.32,0.18,0.08,0.4,33.22,1.61,2.65,52.81,3.25,1.06,1.36,4.34,57.05,2.82,0.33,1.84,1.81,57.65,86.61,5.67,26.42,34.61,0.98,5.62,85.88,52.79,31.71,3.28,0.88,27.88,0.43,1.89,1.97,1.24,0.96,48.85,0.13,3.73,40.13,3.2,7.41,3.1,40.91,17.54,1.41,1.08,3.33,0.6,2.32,1.79,0.63,1.31,3.45,0.96,4.39,1.08,1.54,1.11,64.31,2.9,1.79,0.15,54.1,1.03,0.1,12.43,0.83,1.24,0.98,1.24,79.3,1.31,1.03,6.4,70.56,0.33,3.6,4.56,4.06,17.39,1.03,0.83,0.35,74.51,2.22,0.25,1.51
"TEMRA/CTL CD8",76.11,5.18,64.73,1.28,1.29,3.33,1.75,1.32,24.45,2.79,2.8,5.98,4.67,0.95,92.05,5.1,3.42,0.32,53.32,19.16,0.07,2.67,11.12,1.25,46.58,92.92,5.99,3.13,0.19,88.77,94.71,68.27,10.05,15.51,92.27,61.99,20.62,6.94,8.59,57.2,0.38,38.17,0.26,0.03,7.67,92.66,91.18,11.38,2.2,8.66,7.67,0.12,1.59,0.59,2.02,2.08,2.94,7.89,20.76,0.69,0.07,5.79,2.34,14.79,0.77,2.91,1.1,45.35,7.34,3.68,0.76,18.13,7.18,2.65,4,1.02,0.58,2.05,5.21,3.57,0.51,2.45,13.2,2.21,1.58,75.53,0.26,4.45,97.86,6.1,27.16,38.14,96.01,9.68,5.88,9.72,10.83,3.31,35.56,45.25,3.26,3.16,4.05,0.3,4.95,0.82,0.87,1.13,1.18,4.25,2.23,0.21,4.82,1.18,2.56,4.59,1.24,1.04,0.81,0.89,38.16,3.22,2.6,10.58,62.16,0.74,59.99,7.13,3.86,2.49,1.18,13.94,0.07,3.16,0.81,0.32,0.38
"Tex CD8",30.91,8.66,20.76,6.33,3.07,5.49,12.1,1.21,43.2,2.98,3.17,4.66,5.03,0.84,99.81,6.52,5.4,0.84,51.58,65.83,0.09,30.63,16.2,2.05,84.54,97.3,9.12,3.07,0.37,97.86,99.53,17.69,85.2,28.49,97.95,91.25,37.99,14.15,10.52,72.16,0.19,42.18,2.14,0.28,15.83,92.18,96.46,16.57,2.51,13.59,11.17,0.47,0.65,2.14,2.42,12.29,2.51,19.55,66.2,0.93,0.37,7.45,4.19,6.15,6.61,4.19,0.56,57.73,30.73,12.1,2.14,31.66,53.54,4.38,3.26,1.3,0.84,3.07,5.77,6.61,1.02,9.68,28.96,5.96,3.72,86.13,2.05,18.34,99.07,5.59,14.43,43.76,98.42,37.62,0.93,3.63,5.77,4.56,16.11,34.36,11.27,8.75,6.05,0.47,6.24,0.47,0.28,0.74,1.4,3.91,4.1,0.56,11.36,1.86,21.79,19.27,1.96,0.56,1.02,1.12,49.07,10.52,3.91,12.01,78.49,4,67.23,9.5,3.91,20.11,1.68,32.96,0.09,3.54,2.42,1.02,6.52
"Th2/Th17 EM CD4",3.15,6.58,4.22,15.53,3.46,54.79,1.82,11.55,10.04,3.19,3.01,5.57,5.26,0.92,88.38,5.91,5.84,0.74,2.29,69.44,0.16,81.96,12.36,1.03,33.06,94.7,94.72,2.94,0.67,97.03,96.99,15.8,61.28,40.27,99.51,98.92,64.36,15.75,6.7,80.04,0.25,16.7,18.07,0.18,6.18,5.44,95.39,9.33,2.7,21.35,14.81,0.56,0.07,0.7,3.12,39.35,2.18,9.78,64.45,0.88,0.61,4.99,2.9,3.87,53.35,2.49,0.72,50.27,5.01,13.6,2.11,18,84.25,5.42,4.2,1.19,1.48,22.49,2.11,7.66,0.79,40.29,14.16,2.83,1.84,71.35,16.27,5.78,91.26,6.67,8.09,51.53,92.45,14.16,0.9,3.33,4.65,14.67,1.64,7.48,1.53,3.28,5.53,0.34,8.81,0.92,0.7,0.83,1.71,3.35,2.85,0.29,14.25,2.27,8.43,3.82,1.75,0.99,0.9,1.01,85.21,2.88,1.8,9.17,66.2,0.76,62.43,4.76,4.31,16.25,1.26,7.33,0.11,3.35,8.34,2.65,9.1
"TNF+ B cell",3.6,7.91,3.6,20.14,0.72,3.6,2.16,70.5,4.32,1.44,2.88,97.84,66.91,12.23,3.6,94.96,1.44,28.06,2.16,8.63,0,0,9.35,2.16,61.15,4.32,2.88,82.01,0,82.01,87.77,95.68,1.44,41.73,100,16.55,53.24,6.47,20.14,2.16,19.42,40.29,0.72,0.72,9.35,3.6,17.27,11.51,2.88,93.53,94.96,0,0,0,45.32,2.16,7.91,60.43,1.44,0.72,0,7.19,80.58,3.6,0,5.76,1.44,66.19,100,0,30.94,35.97,0.72,5.04,87.05,69.06,43.88,7.91,2.16,28.06,0,0.72,2.16,5.04,1.44,84.17,0,5.04,47.48,5.04,15.11,6.47,56.12,34.53,0.72,0.72,2.16,2.88,3.6,4.32,0.72,2.16,11.51,2.88,5.04,0.72,2.88,1.44,94.24,5.04,0.72,0,42.45,1.44,0,12.95,0,0,0.72,1.44,33.09,2.88,3.6,10.07,78.42,0,5.04,3.6,5.76,21.58,5.04,0.72,0,84.89,3.6,0.72,0
"Transitional B cell",4.65,5.43,3.87,47.94,1.87,3.62,0.5,37.53,3.26,2.34,2.73,96.85,59.63,7.21,4.76,55.62,0.33,74.22,1.53,7.91,0.19,2.76,7.21,0.92,89.14,4.54,2.67,73.55,0.53,60.27,86.53,98.8,3.34,60.8,98.8,34.47,35.63,5.82,35.38,5.96,23.64,48.55,33.38,5.71,21.3,4.82,9.63,6.12,3.98,88.95,78.37,0.17,0.03,0.81,33.1,4.84,2.98,19.4,3.98,0.95,0.75,4.12,79.62,3.62,1,2.51,1.75,77.03,84.05,14.62,45.18,40.51,2.42,9.05,87.81,95.43,46.8,6.1,1.28,33.55,0.95,4.51,3.12,1.25,1.03,66.84,0.17,6.29,32.18,4.15,8.32,17.85,33.02,21.74,1.14,2.14,4.18,1.36,3.26,2,1.09,2.12,2.53,3.2,5.21,0.7,2.7,0.92,77.81,3.15,3.7,0.17,11.89,1.48,0.39,18.01,0.92,1.34,0.89,1.14,54.01,1.2,1.5,7.04,66.48,1.48,3.93,4.51,3.9,15.53,1.84,1.98,1.03,65.28,4.96,0.89,1.98
"Transitional Memory CD4",3.46,8.5,2.81,33.12,6.34,6.42,0.22,1.52,22.38,5.13,3.54,7.2,5.15,0.8,99.76,5.41,3.93,1.37,2.02,91.09,0.15,83.2,12.39,0.56,87.18,99.68,99.14,4.51,1.27,99.57,99.7,78.84,75.67,66.09,99.96,99.98,60.83,3.07,2.6,99.38,0.09,26.35,9.99,0.51,5.93,5.35,57.19,9.64,4.92,21.99,36.92,0.69,0.07,0.15,0.99,67.4,1.27,5.88,23.76,1.42,1.25,6.36,3.24,5.01,49.94,1.18,0.45,63.75,4.6,29.12,4.92,12.72,95.96,8.7,5.86,1.7,2.47,2.45,2.25,9.56,2.34,71.63,27.19,0.52,0.86,53.24,0.86,6.38,91.62,8.27,8.76,18.36,87.56,30.73,1.2,4.87,3.78,3.89,0.94,3.99,2.02,2.47,8.14,0.39,7.28,1.05,0.73,0.67,1.38,2.71,4.92,0.75,15.85,3.93,0.37,14.8,1.8,0.92,1.07,0.52,99.4,0.58,2.08,8.01,49.42,1.7,88.6,5.01,3.95,13.75,1.61,4.58,0.21,3.31,20.86,1.1,53.24
"Treg",3.03,8.73,3.27,8.28,3.47,21.58,0.79,6.35,10.32,4.81,2.53,6.05,4.22,0.69,96.23,5.65,0.64,0.5,1.69,88.64,0.1,62.15,16.91,1.04,43.5,96.38,97.27,4.02,0.2,97.02,97.62,63.54,31.5,37.6,99.45,99.4,45.63,7.24,2.88,90.28,0.3,17.41,2.83,0.2,7.04,6.8,65.33,9.08,2.68,8.13,10.52,0.55,0.15,0.55,1.39,34.13,1.79,20.49,52.48,0.99,0.45,5.51,2.93,3.47,21.78,1.39,0.89,40.48,6.1,9.42,1.74,18.25,64.53,3.82,4.76,1.09,0.99,92.21,3.27,7.19,0.74,3.57,3.67,1.79,1.64,59.47,11.11,5.65,87.1,7.09,8.53,35.52,84.38,13.54,0.64,2.78,3.32,3.82,1.39,3.62,1.69,2.28,3.12,0.55,19.64,0.99,0.89,0.89,0.99,2.93,2.13,0.5,11.76,2.63,4.32,8.88,0.79,0.89,0.84,0.89,96.03,2.08,1.34,8.43,46.03,0.45,73.12,4.46,3.82,14.14,1.04,24.9,0.2,4.02,4.96,3.62,8.23
"Tscm CD8",4.02,12.98,3.66,25.59,9.14,3.11,0.55,1.65,45.16,7.5,5.12,5.3,4.02,0.37,99.82,4.39,14.81,0.73,4.57,86.29,0,77.88,15.54,1.1,74.41,99.27,3.11,4.57,0.91,97.99,99.63,96.71,0,54.48,100,100,80.26,6.22,4.94,99.82,0.55,32.18,1.1,0.55,6.03,92.87,59.96,12.43,2.38,37.48,54.11,0.91,0.37,15.9,2.74,67.09,2.56,5.67,100,1.1,1.28,9.69,3.84,6.95,10.97,0.55,0.37,83.36,4.39,27.79,1.28,20.66,75.87,9.14,3.84,1.28,1.65,1.28,4.57,11.33,1.46,70.2,35.47,0.73,0.73,72.03,0,11.33,93.24,10.97,12.43,20.84,91.96,42.78,1.46,4.75,3.11,5.67,2.38,9.87,27.79,2.56,8.04,0.37,9.14,1.28,0.55,0.55,0.55,2.01,3.47,0.55,80.07,4.39,1.1,63.25,2.93,0.91,0.91,0.18,96.16,0.18,3.66,9.87,74.41,2.19,73.31,7.31,3.29,21.21,1.83,2.56,0,7.86,26.14,1.28,14.26
"Vd1 gd T cell",4.69,7.76,4.16,1.98,3.63,2.96,0.53,1.45,7.73,3.63,2.72,5.4,6.28,0.85,98.17,5.43,0.85,0.42,21.1,89.91,0.14,36.94,13.13,0.95,30.45,88.78,7.37,2.54,0.18,96.86,97.25,71.24,12.67,27.66,99.51,97.07,55.36,3.81,11.5,95.02,0.35,28.79,1.38,0.07,6.07,40.01,91.5,9.67,2.05,31.05,33.13,0.21,0.11,2.68,1.8,5.89,2.79,6.35,22.94,0.85,0.32,4.76,3.07,3.95,1.66,2.08,0.53,52.05,4.23,6.63,0.81,35.74,24.14,3.78,3.39,0.64,0.67,2.4,3.63,6.07,0.46,36.63,17.29,1.38,1.02,67.75,4.55,6.14,96.86,9.42,17.18,17.5,94.57,29.64,1.13,3.39,3.99,5.29,11.93,22.55,7.9,2.58,3.81,0.85,5.29,1.06,0.67,0.67,0.92,3.67,1.98,0.25,40.61,2.26,9.14,23.11,1.48,0.53,1.34,0.99,69.87,1.48,1.76,9.63,63.9,1.09,18.21,4.87,4.59,10.55,1.27,5.96,0.04,3.39,2.86,0.42,6.21
"Vg9Vd2 gd T cell",27.55,5.39,7.54,2.36,1.9,5.59,33.81,11.19,11.19,2.87,2.87,5.39,4.41,0.92,69.21,5.7,5.39,0.67,49.46,52.49,0.15,42.43,10.01,3.34,29.35,97.02,6.52,3.49,0.21,97.64,97.08,33.4,29.6,26.12,98.72,55.67,25.3,14.21,34.12,87.58,0.31,39.51,1.54,0.1,4.87,27.24,91.17,11.39,2.31,8.67,8.36,0.1,0.51,1.85,2.31,50.9,3.03,5.28,33.15,1.23,0.67,4.98,2.62,9.49,8.31,4.41,0.82,47.56,5.49,6.31,1.13,32.43,16.93,9.49,3.54,1.54,0.97,2.51,4.67,3.8,0.56,28.12,17.65,4.16,3.49,76.65,3.69,6.52,98.2,9.34,15.44,31.86,97.28,28.53,1.59,2.21,6.46,66.29,45.97,88.92,3.44,3.75,8.62,0.62,7.13,1.23,0.97,1.13,1.49,8.67,1.74,0.26,4.82,1.59,0.92,6,1.23,0.67,0.82,0.87,48.23,5.59,1.49,10.93,76.6,2.15,7.23,11.13,80.3,4.36,1.8,3.28,0.1,2.51,2.62,0.36,1.03
