"","ADGRG1","ANPEP","B3GAT1","BTLA","C5AR1","CCR4","CCR5","CCR6","CD101","CD14","CD163","CD19","CD1C","CD1D","CD2","CD22","CD226","CD24","CD244","CD27","CD274","CD28","CD33","CD36","CD38","CD3D","CD4","CD40","CD40LG","CD44","CD45","CD45RA","CD45RO","CD47","CD48","CD5","CD52","CD58","CD69","CD7","CD79B","CD81","CD82","CD83","CD86","CD8A","CD99","CLEC12A","CLEC4C","CR1","CR2","CTLA4","CX3CR1","CXCR3","CXCR5","DPP4","ENG","ENTPD1","FAS","FCER1A","FCER2","FCGR1A","FCGR2A","FCGR3A","GGT1","GP1BB","Hamster-IgG","HLA-A","HLA-DRA","HLA-E","Human-Ig","ICAM1","ICOS","IFNGR1","IGHD","IGHM","IGKC","IL2RA","IL2RB","IL3RA","IL4R","IL7R","ITGA1","ITGA2","ITGA2B","ITGA4","ITGA6","ITGAE","ITGAL","ITGAM","ITGAX","ITGB1","ITGB2","ITGB7","KIR2DL1","KIR2DL3","KIR3DL1","KLRB1","KLRD1","KLRG1","KLRK1","LAG3","LAMP1","LILRB1","MCAM","Mouse-IgG1","Mouse-IgG2a","Mouse-IgG2b","MS4A1","NCAM1","NCR1","NECTIN2","NT5E","OLR1","PDCD1","PECAM1","PVR","Rat-IgG1","Rat-IgG2a","Rat-IgG2b","SELL","SELP","SIGLEC1","SIGLEC7","SLAMF6","SLAMF7","TCR-AB","TCR-vA7.2","TCR-vD2","TFRC","THBD","TIGIT","TNFRSF13B","TNFRSF13C","TNFRSF14","TNFRSF4","TNFRSF9"
"Intermediate Monocyte",28.46,65.43,7.31,1.86,38.83,29.39,28.99,1.86,76.73,42.02,9.57,2.66,9.44,31.25,49.2,8.78,70.48,0.53,87.1,12.23,1.46,6.91,91.09,47.34,77.26,34.97,71.14,27.66,0.4,98.14,91.62,52.13,3.59,85.77,98.14,18.35,9.97,83.51,69.28,29.39,2.66,34.04,2.66,0.8,65.82,26.99,78.06,95.21,1.99,78.72,4.92,0,0,0.8,11.3,12.23,13.16,60.24,40.82,4.52,0.4,74.2,70.88,28.19,38.43,63.96,0.93,86.57,59.97,8.38,7.05,89.89,4.26,22.34,1.06,5.98,9.31,6.52,2.13,57.18,0.27,7.58,58.78,80.59,33.51,80.19,43.22,9.84,99.6,63.56,92.15,90.43,99.6,8.11,3.86,2.13,11.84,1.46,19.55,8.11,3.59,7.18,62.23,12.63,5.72,1.06,2.26,1.86,2.39,11.84,7.05,3.46,8.11,40.29,0,78.99,15.16,0.66,1.73,1.06,34.57,84.57,60.64,81.52,13.7,1.33,10.77,6.78,8.78,30.32,50.93,4.52,0.13,2.53,3.99,1.46,0.66
"ISG+ CD4 T cell",4.18,5.08,3.52,5.33,1.72,3.89,0.41,2.13,17.45,3.61,3.48,7.33,5.78,1.02,99.63,6.27,1.6,0.57,1.8,90.66,0,59.81,8.4,1.11,66.53,98.03,88.65,2.74,0.33,97.71,98.77,89.68,7.25,39.21,99.71,99.59,61.98,1.93,15.4,98.61,0.61,22.57,1.27,0,5.2,11.43,39.7,6.35,2.25,26.3,43.51,0.7,0.12,0.61,2.05,53.99,4.26,6.55,5.74,1.11,0.08,4.88,2.05,2.29,7.95,2.13,0.37,36.05,4.14,3.03,0.7,8.73,61.94,2.25,5.98,1.07,0.49,3.36,2.54,4.1,0.29,38.26,19.62,1.6,1.8,67.76,1.15,3.73,93.32,4.67,6.35,6.47,92.01,28.64,0.45,1.72,5,1.97,2.7,3.32,2.25,3.2,5.78,0.2,6.02,1.39,0.57,0.82,1.6,2.99,1.56,0.16,19.09,1.8,0.25,17.57,1.23,1.23,0.82,0.66,80.54,2.01,2.17,6.51,33.51,0.29,79.52,7.17,3.85,5.74,0.7,1.15,0.04,4.42,3.11,0.66,6.8
"Naive 1 CD4",3.14,6.23,2.57,24.84,3.99,4.98,0.19,1.51,16.81,4.5,2.77,4.89,4.26,0.73,99.43,5.08,3.29,0.67,1.15,89.62,0.06,76.17,10.6,0.61,77.53,99.24,98.78,3.32,0.64,97.77,98.66,82.5,33.37,56.49,99.78,99.81,59.01,1.82,2.78,98.58,0.18,20.42,5.63,0.19,4.6,3.58,49.05,7.87,3.46,16.91,32.24,0.37,0.1,0.39,1.12,65.04,1.43,4.56,13.5,0.84,0.69,5.21,2.03,4.14,36.8,1.17,0.74,51.81,3.43,15.93,2.78,10.38,90.54,5.55,4.44,1.21,1.33,1.75,1.65,6.6,1.72,69.08,22.46,0.6,0.92,46.91,0.62,4.89,86.36,5.65,6.93,11.22,81.99,22.76,0.88,3.63,3.59,2.5,1.35,3.95,1.34,1.8,6.28,0.34,5.94,1.17,0.68,0.85,1.3,2.39,3.08,0.4,11.79,2.69,0.35,11.32,1.4,1.04,1.21,0.89,98.85,0.74,1.64,7.1,37.58,0.94,86.82,4.64,3.71,9.83,0.81,2.46,0.1,2.82,15.28,0.74,12.57
"Naive 1 CD8",3.39,5.03,2.66,7.73,2.51,2.44,0.19,1.22,35.96,3.35,2.65,4.76,4.27,0.77,99.69,4.98,4.18,0.52,2.19,90.69,0.04,37.11,8,0.85,57.29,96.92,1.95,2.97,0.31,96.54,98.17,97.53,0,33.24,99.72,99.6,49.05,1.17,4.83,98.93,0.24,15.94,0.34,0.15,4.42,97.16,32.52,6.23,3.11,33.18,50.77,0.36,0.01,4.68,1.34,36.29,2.41,4.58,0,0.89,0.33,4.91,2.05,3.09,3.33,1.58,0.73,50.59,2.77,11.51,1.25,10.85,50.07,2.59,3.93,0.97,0.7,1.49,2.41,4.76,0.73,65.94,16.7,0.88,1.14,55.5,0.21,10.15,80.73,4.76,8.1,5.92,81.31,52.04,0.71,2.14,3.15,3.09,1.92,3.12,9.02,1.49,5.49,0.22,6.76,1.17,0.88,1.12,1.1,2.71,2.05,0.34,79.75,1.62,0.3,44.14,1.22,0.86,1.13,1.16,96.12,0.88,1.35,7.75,42.89,0.4,58.27,8.43,3.06,4.45,0.92,1.53,0.09,4.06,6.57,0.37,8.31
"Naive 2 CD4",2.51,3.46,2.5,4.91,1.12,3,0.1,1.49,6.04,2.63,2.11,4.08,3.69,0.67,96.72,3.63,0.35,0.22,0.61,77.69,0.04,39.18,7.01,0.43,49.07,95.02,92.78,2.29,0.35,91.39,92.04,85.18,9.13,26.98,98.91,98.44,31.37,0.4,2.28,93.46,0.16,8.14,1.25,0.05,3.43,4.52,30.6,4.72,2.56,11.42,21.65,0.18,0.04,0.25,0.93,35.91,1.77,3.55,4.05,0.67,0.29,3.89,1.09,3.3,8.02,1.12,1.15,23.26,1.55,4.38,0.88,8.22,49.76,1.39,3.84,0.87,0.44,3.2,1.21,3.43,0.63,26.35,8.05,0.81,0.83,28.27,0.43,3.24,65.6,3.47,5.91,3.09,64.99,11.63,0.74,1.56,3.13,1.15,1.6,1.81,0.7,1.19,2.02,0.1,4.58,1.24,0.8,1.06,0.78,2.45,1.52,0.2,6.58,1.25,0.1,6.64,0.88,1.06,1.1,1.19,96.41,0.77,0.97,7.29,14.22,0.19,63.98,4.11,2.97,2.67,0.37,1.05,0.03,2.45,2.48,0.33,2.41
"Naive 2 CD8",3.38,4.21,2.7,3.43,1.63,2.47,0.09,1.18,19.93,2.9,2.95,4.46,3.73,0.67,98.25,3.66,0.91,0.31,1.91,77.42,0.07,25.65,6.44,0.74,41.84,90.92,5.72,2.03,0.17,91.35,93.25,97.32,10.42,20.95,98.4,96.45,30.91,0.5,1.96,94.61,0.14,8.89,0.21,0.14,3.73,91.33,24.9,5.08,4.19,16.28,34.56,0.22,0.05,1.58,0.79,25.41,1.56,3.79,3.81,0.55,0.26,3.83,1.53,3.07,1.24,1.41,0.96,34.87,2.28,5.72,0.77,8.95,28,1.91,3.9,0.65,0.34,1.37,1.65,3.64,0.64,32.57,8.12,0.77,1.08,35.35,0.15,5.91,67.86,3.09,8.09,2.94,68.97,21.89,0.67,1.55,3.37,1.79,2.01,2.51,4.98,0.81,2.68,0.17,4.82,1.18,0.89,1.1,0.76,2.46,1.48,0.26,37.55,1.3,0.24,29.05,0.88,1.08,0.86,0.93,94.28,0.84,1.01,6.68,24.88,0.27,45.11,8.6,3.07,2.75,0.36,1.58,0.05,2.59,2.39,0.26,2.99
"Naive 3 CD4",2.41,4.94,2.58,8.99,2.26,2.5,0.12,1.21,13.26,3.15,2.3,4.71,3.8,0.59,99.7,4.66,0.74,0.33,0.99,86.08,0.06,58.5,8.73,0.54,70.04,99.73,99.24,2.58,0.3,98.56,98.72,96.85,14.51,47.64,99.91,99.63,48.19,0.71,3.25,99.19,0.13,14.72,2.49,0.09,4.4,3.27,35.15,6.65,2.21,11.16,27.39,0.21,0.01,0.14,0.92,57.63,1.85,4.02,4.43,0.71,0.32,4.31,1.99,2.99,9.54,1.03,0.85,39,2.81,6.2,1.45,9.13,64.74,2.93,4.18,0.77,0.81,1.75,1.1,4.54,0.82,33.86,8.16,0.44,0.87,36.98,0.46,3.48,85.64,4.33,7.2,5.67,80.47,10.99,0.8,2.03,3.23,1.53,1.26,1.44,0.71,0.82,3.49,0.21,4.66,0.92,0.86,0.76,0.96,2.26,2.08,0.22,6.52,2.11,0.05,14.48,1.14,1.1,1.21,0.59,97.82,0.68,1.51,7.09,20.59,0.39,95.21,4.24,3.15,3.67,0.53,1.48,0.12,2.44,4.71,0.35,3.86
"Naive Intermediate CD8",3.13,11.19,2.51,23.6,9.06,2.82,0.12,1.12,59.48,6.91,2.84,4.54,4.09,0.62,100,5.26,4.26,0.72,1.43,89.89,0.1,70.43,14.82,0.6,80.78,99.47,2.06,4.06,0.6,99.21,99.81,97.04,100,53.17,99.98,99.98,66.91,2.13,1.08,99.86,0.1,20.87,0.72,0.22,6.43,99.02,38.8,12.84,4.23,36.29,56.3,0.77,0.02,2.22,0.5,62.2,0.77,6,21.25,1.29,0.93,7.79,4.49,4.71,8.8,0.88,0.6,73.32,4.18,25.29,3.06,14.92,81.26,6,4.37,0.79,1.82,0.98,3.73,10.28,1.48,82.98,30.62,0.33,0.72,69.11,0.12,16.09,89.98,10.49,11.59,17.48,86.23,57.83,0.62,5.55,2.99,7.39,0.93,4.57,20.2,2.18,6.14,0.96,9.28,1.08,0.84,0.65,0.96,1.98,2.77,0.57,84.65,4.66,0.45,67.94,1.84,0.69,0.98,0.65,99.69,0.48,2.8,8.2,68.01,2.13,72.29,8.06,3.87,12.19,0.86,4.18,0.07,3.61,15.23,0.77,29.21
"Non-classical Monocyte",9.8,66.68,4.56,3.48,80.6,6.52,12.89,1.96,87.8,13.18,4.8,5.1,6.37,6.71,16.17,12.35,8.43,0.83,61,8.28,9.95,4.31,66.54,11.42,16.9,12.64,66.63,23.86,0.34,99.71,98.48,84.91,4.7,59.68,98.24,8.23,20.28,55.81,26.6,13.28,0.34,45.96,2.79,3.97,95.59,13.57,11.12,97.45,2.45,49.63,7.55,0.29,6.22,0.54,2.94,8.04,10.34,42.77,42.82,1.47,2.2,32.83,68.01,89.91,10.58,9.75,1.27,80.7,74.38,35.42,13.52,91.13,3.04,31.31,3.23,3.92,21.41,2.6,1.62,84.57,1.08,4.12,10.83,13.08,6.32,77.9,2.25,7.69,99.56,19.11,97.8,68.84,99.31,1.81,10.19,2.94,7.1,3.14,8.38,3.58,5.1,3.23,17.3,46.79,5.63,0.69,1.22,1.62,2.2,7.4,4.75,1.08,5.24,17.49,0.29,92.8,19.26,1.27,1.52,2.01,13.67,23.57,20.63,61.1,5.83,23.17,4.75,5.05,5.88,33.71,29.79,3.48,0.15,2.6,12.74,3.14,0.78
"pDC",6.81,22.94,5.02,27.6,4.66,7.89,7.89,3.58,21.86,1.79,4.3,10.04,19.71,5.38,35.48,32.26,9.32,1.79,14.7,17.2,12.19,7.89,33.33,25.81,87.81,17.2,60.22,26.52,0.36,91.4,82.08,92.11,20.07,55.56,87.46,26.88,6.09,23.66,15.77,26.52,1.08,8.6,26.16,21.15,40.14,11.83,81.36,59.14,50.18,12.19,10.39,1.43,0.36,4.66,6.09,27.96,2.51,37.99,29.75,17.92,1.08,7.89,12.19,4.3,13.26,14.7,2.87,75.63,76.34,16.13,3.94,90.68,8.6,18.28,1.79,4.3,2.15,14.7,2.87,86.02,6.45,14.34,11.11,13.98,8.24,81,3.58,13.98,86.74,7.53,27.6,69.53,83.15,21.86,4.3,2.51,7.17,5.38,3.94,2.15,2.15,2.51,8.96,11.83,7.89,0.72,1.79,2.15,3.23,9.68,10.04,14.34,8.96,0.72,0,47.67,20.79,1.43,1.43,2.15,72.4,21.86,5.73,20.43,14.34,21.51,8.24,5.73,5.02,78.14,36.2,5.73,3.23,4.66,4.66,7.53,18.64
