"","Activated B cell","CD4dim Naive T cell","CD56bright NK","CD56dim CD122hi NK","CD56dim CD122int NK","CD56dim CD122lo NK","CD8+ MAIT cell","Classical Monocyte","Follicular B cell","gd T cell (cl9)","Intermediate Monocyte","ISG+ CD4 T cell","Naive 1 CD8","Naive 2 CD8","Naive CD4","Naive Intermediate CD8","Non-classical Monocyte","pDC","Resting Naive B cell","TEMRA/CTL CD8","Tex CD8","Th2/Th17 EM CD4","TNF+ B cell","Transitional B cell","Transitional Memory CD4","Treg","Tscm CD8","Vd1 gd T cell","Vg9Vd2 gd T cell"
"CD163",0.014744132279502,0.0153790414828636,0.0161256045281324,0.0211542271404802,0.0168987520747809,0.00630001777760509,0.0092060970987754,0.870467169180425,0.0147529792868341,0.0148538950320973,0.0828479469115127,0.016932821318111,0.013670818011238,0.0121061869501778,0.01106419597536,0.0145849592907306,0.0606833853723618,0.0243446182922973,0.0148599629475795,0.0120355395608293,0.0121622871773151,0.0138311838849295,0.0253331423364183,0.0146157118769651,0.0184387967167609,0.0154719216016615,0.030053697555195,0.0117948958362457,0.0136957966955214
"CD19",7.22720017205121,0.0522004940642097,0.0697400806571199,0.077613386199836,0.0686930454329567,0.0445069847532308,0.0437967680758812,0.093605199086245,9.013944867191,0.0423989138457624,0.0522709473050599,0.0542034566067543,0.0378303921907239,0.0318116726029566,0.0337370682576729,0.0365010201202435,0.0580084505477087,0.340502099993061,5.89185106500433,0.0515723357090399,0.0368215672603741,0.0496107863015554,7.5142217637311,9.1769473033509,0.065850532453435,0.0466359828497453,0.0607249241984127,0.0404395197588104,0.0464770970620061
"CD1C",4.90179379314561,0.0291982365941457,0.0280058093253933,0.0423068142883033,0.0287158980352063,0.0227991831838831,0.0256877038061895,0.676977367249818,6.11635562406232,0.0305130369000251,0.186072319793399,0.0434121794083268,0.03337600838052,0.0204613837503268,0.026849747875541,0.0324504585465229,0.114611074544412,3.2457031129056,2.32927740269805,0.0307479893773652,0.030404881978142,0.0486711704352967,2.78039237631748,3.56176501117032,0.0414077908428557,0.0296065042625035,0.0297340637983486,0.0569446506164114,0.0264679244396185
"CD1D",0.170881315673009,0.00856645526255265,0.00554418896931496,0.00472709730952229,0.00362810358309193,0.0021300986336184,0.00364498400905989,0.496061805400091,0.136818542224459,0.00536939281412465,0.372715139931936,0.00522492501245383,0.00354601684867119,0.00358228269723432,0.0024263638357177,0.00305178791344419,0.0513677389144512,0.0788421853699883,0.0399600433018591,0.00461251020821573,0.00233532706915914,0.00290257671340839,0.104512604993637,0.056973123101126,0.00271766528352259,0.00376477944138956,0.00115459848534885,0.00252596936242039,0.00371656200907524
"CD2",0.205816974405763,2.12866548701547,1.42949777292244,1.56634032605602,1.10662407017363,0.396652210199318,3.70238831531474,1.35646300993644,0.185889757704156,2.6994779567869,0.936984752814072,5.84972204987749,7.16083285227482,5.79889746314417,5.5206494343411,10.3057608863123,0.291851483625519,1.09890865344915,0.07604708392507,4.60627518804156,8.1348120928943,6.57730512786674,0.147115663291842,0.1487747857492,7.13892472511804,4.58994217485789,9.17129789369336,6.00824246782328,3.67493061346078
"CD22",7.2667284723173,0.0554204857181352,0.0450796449469104,0.0644833653949132,0.0603551880552856,0.0401492824977658,0.0516168852440674,0.450081755591957,7.69911083533096,0.0474651912382066,0.121719888234799,0.0541652430662167,0.053197051364191,0.0410291377767501,0.0505801006709232,0.0719360815676261,0.195295464146267,0.892195600272531,6.55587866326393,0.0496359132067611,0.0624566989938841,0.0639678258197525,8.15194518735474,2.4925433574637,0.0762113213732377,0.0627366205160898,0.0577943775040808,0.0570974865265258,0.058735456261841
"CD226",0.000644517013323732,0.000277828048829788,0.00180682871426952,0.0238139550812665,0.0291207613121198,0.00128921061787716,0.0217102370985055,0.0274583315043208,0.00187380920855362,0.00505800990984762,0.607252417190512,0.00381573929614486,0.0265938800085756,0.00387901344918168,0.00903142567500366,0.0168733365561327,0.0346101367415011,0.0426143811805216,0.00038965248335626,0.00894604744573552,0.0197762594351486,0.0309634343343647,0.00206806180345921,0.00116078653933502,0.02415390378739,0.00217741017488024,0.0974410608382207,0.00250593473771323,0.0203720817450774
"CD24",0.255526668476115,0.00461350654986322,0.00336351204754976,0.00515890993204304,0.00181965376138727,0.00120229128719247,0.00411007344952412,0.00480511711154235,0.34476635202634,0.00057639090757116,0.00169798831915598,0.00277979895050912,0.00324522702982834,0.00101189847035529,0.00172964921038281,0.00254737229206706,0.00510139342062356,0.0317542702831158,0.0274729206744349,0.00125977988763654,0.00187967830137556,0.00313028420336983,0.272285685554034,1.58012174087579,0.00344117097582326,0.00236316144055082,0.00280742695271022,0.00114677668665538,0.00577461992497057
"CD244",0.0271682255612717,0.0199119624921479,0.976712368727236,2.6806343880399,2.15670874902338,0.80656837400555,0.137573426843535,1.10243938042954,0.0293245637735648,1.56532657769167,1.76147057977507,0.0133633729568722,0.0199837951763631,0.0172447952373922,0.0065289578617583,0.0131909780759474,1.27446824770726,0.22694473489526,0.0067418904175337,0.76744485621042,0.905057083313712,0.0169919551303296,0.0155721838482732,0.0110134095284688,0.0154314578653415,0.019169130346197,0.0685231175871227,0.313844138231082,0.745832479575767
"CD27",0.224999403537803,1.22447902454305,0.104173868556227,0.152229561144944,0.0502890884461847,0.0381323268503327,1.83095073531032,0.399050038769754,0.293844925562437,0.164342001090833,0.150198434977105,4.09586567567302,4.61528636991508,2.93981855775026,3.69214832351408,4.16216771149892,0.107483116429607,0.847181215416009,0.122779379566241,0.428303693364978,3.08472594842823,2.70352172969624,0.12069276669146,0.141964092119137,4.58022190912214,4.26714168850092,3.84774704638287,5.07597225125477,1.42694655683285
"CD274",0.0579461838491125,0.0123082528565409,7.02468093623508e-05,0.00480537653285675,5.79581512687763e-05,0.000633540550521513,0.00439295583409379,0.357144709470197,0.00340938549434192,0.00307224807891657,0.0629670997250869,0,0.00159642279556762,0.000548981549166837,0.000440058235413502,0.000705769891871044,0.216507374282173,0.342692769345849,0.00432638952632834,0.000442324183289457,0.000108665028327011,0.00140505082763586,0,0.00302234536975551,0.000756245737809528,0.00143207122128656,0,0.00184575004650511,0.00140032398503231
"CD28",0.0372964551156399,0.278227727304207,0.00693728863503568,0.0711124242676128,0.00893400117693532,0.00511317608787337,0.886286347142832,0.233307157383415,0.0321869771820614,0.0270227017418407,0.0424994352484394,0.679991291381238,0.588522322343531,0.338614147137825,1.44633731502443,1.73629473679043,0.036275964150389,0.0836547546467096,0.0132979296282282,0.0371784557753262,0.791886314735724,2.55480442149609,0,0.0497085659470502,2.69062637151827,1.51261633904948,1.94739183358441,0.746244982289573,0.700528912802572
"CD33",0.0743326909090888,0.0999984152004853,0.355825312103255,0.262993033959018,0.163676273721819,0.144264024448962,0.231858560033706,11.439791393042,0.135146182114421,0.221061761545539,8.76766225564818,0.102290984866102,0.0927358690537408,0.0691646332607067,0.101912579792613,0.205989659062023,3.43910644273518,2.24123369134271,0.0665838723801785,0.147008789736763,0.198697667244512,0.170878022759726,0.169710343487275,0.087152506698652,0.161375610205899,0.272273763346193,0.252550353284172,0.183200811547157,0.113580382448086
