"","Activated B cell","CD4dim Naive T cell","CD56bright NK","CD56dim CD122hi NK","CD56dim CD122int NK","CD56dim CD122lo NK","CD8+ MAIT cell","Classical Monocyte","Cytotoxic gd T cell","Follicular B cell","Intermediate Monocyte","ISG+ CD4 T cell","Naive 1 CD4","Naive 1 CD8","Naive 2 CD4","Naive 2 CD8","Naive 3 CD4","Naive Intermediate CD8","Non-classical Monocyte","pDC","Resting Naive B cell","TEMRA/CTL CD8","Tex CD8","Th2/Th17 EM CD4","TNF+ B cell","Transitional B cell","Transitional Memory CD4","Treg","Tscm CD8","Vd1 gd T cell","Vg9Vd2 gd T cell"
"ADGRG1",0.0057,0.0035,0.1191,0.7813,1,0.3039,0.0173,0.0398,0.7921,0.0056,0.0958,0.0065,0.0014,0.003,0,0.0047,3e-04,0.0017,0.0238,0.0124,9e-04,0.7093,0.1937,0.0019,6e-04,0.0037,0.0025,8e-04,0.0113,0.0085,0.1438
"ANPEP",0.0069,0.0053,0.0217,0.0209,0.0084,0.0038,0.0112,1,0.0064,0.0066,0.3443,0.004,0.0058,0.0039,0,0.0019,0.0026,0.019,0.459,0.2047,0.0015,0.0026,0.0123,0.006,0.0025,0.0032,0.0114,0.0109,0.021,0.0099,0.0039
"B3GAT1",0.0055,0,0.0187,0.0625,0.2512,0.1502,0.0354,0.0117,0.8133,0.0037,0.0135,0.011,0.0023,0.0034,0,0.0024,3e-04,7e-04,0.0058,0.0183,0.004,1,0.2284,0.0138,0.0099,0.0058,0.0028,0.0098,0.0027,0.0105,0.0516
"BTLA",0.427,0.0247,0.0104,0.0241,0.0086,8e-04,0.1072,0.0968,0,1,0.0121,0.0483,0.3249,0.0786,0.0373,0.0224,0.0735,0.2652,0.0261,0.6025,0.3799,0.007,0.0559,0.2151,0.3414,0.9891,0.5463,0.0741,0.3374,0.0145,0.0159
"C5AR1",0.009,0.003,0.0152,0.0205,0.0099,0.0022,0.0095,0.979,0.0034,0.0075,0.2129,0.0024,0.0087,0.005,0.001,0.0034,0.0041,0.0295,1,0.0205,6e-04,0.0014,0.0076,0.0079,0,0.0058,0.0186,0.0094,0.0228,0.0101,0.0027
"CCR4",0.0048,0.0069,0.0028,0.0039,0.0015,0.0021,0.1586,0.0132,0.0026,0.0039,0.1358,0.0082,0.0102,0.0016,0.0023,7e-04,0,0.0022,0.0154,0.0321,0.0015,0.0031,0.0172,1,0.0013,0.0025,0.0196,0.3108,0.0045,0.0031,0.0218
"CCR5",0.0055,0,0.0082,0.0023,3e-04,3e-04,0.011,1,0.005,0.0066,0.2718,0.0014,0.001,3e-04,3e-04,3e-04,3e-04,9e-04,0.1823,0.0457,0.0019,0.0107,0.0964,0.0144,0.0049,0.0025,8e-04,0.0084,0.0017,0.0021,0.4776
"CCR6",0.7904,0.0052,0.0052,0.0031,0.0025,0.0021,0.1564,0.0071,0.0042,1,0.007,0.006,0.0015,0.0012,0.0021,0.0011,0,0.0015,0.0054,0.0156,0.7209,0.0021,0.0011,0.1278,0.8916,0.3464,0.0021,0.058,0.0018,0.0019,0.0673
"CD101",0.0031,0.0075,0.0195,0.0231,0.0215,0.0073,0.0863,0.811,0.0754,0.0052,0.7032,0.0749,0.0566,0.2226,0.0099,0.0792,0.0333,0.5025,1,0.2018,0,0.1388,0.3206,0.0368,0.0026,0.0037,0.0914,0.0545,0.2951,0.0332,0.0438
"CD14",0.0024,0.0043,0.014,0.013,0.0104,0.004,0.0104,1,0.0057,0.0035,0.3102,0.0063,0.0084,0.0058,0.0044,0.0049,0.0053,0.0157,0.0889,0.0066,0.0019,0.0048,0.0051,0.0067,0,0.0033,0.0103,0.0091,0.0182,0.0072,0.0046
