"","Activated.B.cell","CD4dim.Naive.T.cell","CD56bright.NK","CD56dim.CD122hi.NK","CD56dim.CD122int.NK","CD56dim.CD122lo.NK","CD8..MAIT.cell","Classical.Monocyte","Follicular.B.cell","gd.T.cell..cl9.","Intermediate.Monocyte","ISG..CD4.T.cell","Naive.1.CD8","Naive.2.CD8","Naive.CD4","Naive.Intermediate.CD8","Non.classical.Monocyte","pDC","Resting.Naive.B.cell","TEMRA.CTL.CD8","Tex.CD8","Th2.Th17.EM.CD4","TNF..B.cell","Transitional.B.cell","Transitional.Memory.CD4","Treg","Tscm.CD8","Vd1.gd.T.cell","Vg9Vd2.gd.T.cell"
"ISG15",1.31623012105328,0.852363095327144,1.83043521190703,2.34718587872206,1.82982254934091,2.32785772152258,1.87497520622899,1.97190976664681,0.927847632266013,2.28093783715431,1.68711401632061,1.99986236908983,0.943771997743076,0.997833931102719,0.761822417084125,0.790214218450916,2.99236574360801,1.44309948947832,0.823229587144485,2.28349758767528,2.26914957156974,2.05214806580565,1.62014341831839,1.28031553684999,0.814455680774895,1.86230169055146,0.913535353704106,1.92937511354836,3.10389224073734
"TNFRSF9",0.10116110958252,0.029183176278815,0.119040370407798,0.186377348553218,0.166227818390502,0.171377306187501,0.097951802384483,0.065300095024305,0.00310092459834814,0.559794890562806,0.103898212357367,0.00840688424493118,0.00256672093726279,0.0076619439237012,0.00218582781303846,0.000980504028138352,0.0188779256254076,0.192630093643292,0.000784217256082324,0.265856244007116,0.262670295742275,0.0223288397642574,0,0.00653151084962161,0.00364158593426788,0.0773187171055452,0.00731998942261966,0.0924992018326162,0.123285761129636
"RUNX3",1.5698085654876,0.734107275141115,2.76964930795247,3.27395432229911,3.80042163830343,3.78830336544891,1.72055250553594,1.02348326265406,1.04690176599099,4.82972608697047,2.31525263438621,1.11900894589572,1.47747797972783,1.32568341488025,0.654530456174359,1.19657441618113,1.12981066442321,1.11591339242488,1.19673286066637,4.51607532907756,3.62018804382923,1.14405281074087,1.26470605834768,0.945291325688832,0.53888990883118,0.911552283498721,1.60645474864424,2.57359135046329,2.68969409225795
"ZNF683",0.0011028216328181,0.0569030289142749,0.980643729707618,0.29448578673713,0.696655841108536,0.67437793562182,0.376664260419317,0.0152500741162611,0.00181701789265097,0.897604927787314,0,0.0208536678192611,0.015638542137504,0.0509756712962552,0.00524902713372398,0.000647246918750818,0.00488888970171704,0,0.0148312727267419,1.65237637933436,0.772103734197763,0.0369302454587567,0,0,0.0032005544213739,0.00720474263185551,0.00786133547580929,0.999859207189018,0.0906734107105253
"IFI44L",0.935121019887061,0.449233934505253,0.590551575440532,0.992100100380547,0.66124385104509,0.91380855229372,0.466283804747925,0.424150364577418,1.03175418538463,0.984679235969286,0.47827691249394,0.903516697158085,0.448357236725772,0.465209830898111,0.427438096589927,0.342051582500282,0.608774753652753,1.04552204442219,0.97923846362573,0.703563041984558,0.404623797856708,0.557109346943142,0.725552224395963,1.44250713436693,0.507630905557013,0.605356323006696,0.260790020297893,0.463392545203078,0.51436028453511
"S1PR1",0.285865629656023,2.04408204532521,1.22713400379672,1.00505328865618,1.02817456493942,1.28933659539496,3.08361850831904,0.196273702296836,2.01515820159916,1.40741348009214,0.0467097202489846,2.84313782051028,2.03118482397016,2.09476788285196,2.23487174614334,1.65148384792626,0.0432238069130244,0.193249743422987,2.43433426735299,1.65632112767636,1.34583155798184,3.45815939006094,1.57001486804862,1.48437389468281,1.77250280787079,2.26947533189155,1.49099041894467,2.58971091244705,1.62681441855967
"CD160",0.00188388411902336,0.0183210749537069,0.0852040521565091,0.464172299154713,0.324348653738756,0.25202598171841,0.0112662771855727,0.00579745687846259,0.00548781768000912,0.197348339236064,0.0123806251254927,0.00520464575187892,0.00430171975237426,0.0082922932822976,0.00188557138763375,0.00168419526854733,0.00337023171002932,0.00681045034512575,0.00398627357555515,0.125585498616859,0.0739481137764774,0.00520306542241906,0,0.00184614062630633,0.00319631557607493,0.00117223085819792,0.00223901232688237,0.0212658729104053,0.0951191810110886
"S100A9",0.0115475468250706,0.242426146170273,0.103723351886784,0.0406864188299016,0.0246075157778857,0.0418156437604497,0.0329890792785216,22.1605635257836,0.0173109822089483,0.0156307929986337,39.3725744146826,0.0162815057071702,0.0168597558686143,0.0262150055567067,0.0235233323292362,0.0115455192905477,4.14663756810338,0.0142654926413642,0.0355586164838985,0.0161628823362972,0.00739092412668148,0.0168553265411931,0.0270054226888759,0.0245316624910883,0.0332024305799798,0.0255766562298462,0.00279192664156911,0.0291090307957584,0.0274845495804295
"S100A12",0.00213083377369556,0.00719884334665371,0.0118963072578951,0.0011822175500702,0.00270791026150717,0.00114644171131708,0,1.35724376421434,0.000597491021224029,0,2.48409686017908,0,0.000591618788469207,0.000574604741793689,0.000667195031694801,0.000681655305277351,0.179517624001674,0.00479229719001556,0.00121696325372754,0.000597248154066216,0,0,0,0.000411220733420402,0.00165756255141719,0,0,0,0.003207341527756
"S100A8",0.0120603851882003,0.207826562148883,0.0334340786022548,0.0177535698902711,0.0239142276769434,0.017078419838371,0.00592151099089003,18.3962246654985,0.0140027026065508,0.00986813307276776,25.5517086758905,0.00484843679432007,0.00556016876910818,0.00930438875320779,0.00847898487031628,0.00610972538035915,3.2297267961664,0.00320363728162406,0.0180083640477843,0.0116213920655394,0.00232209981332995,0.00580263132721314,0,0.0044629495865022,0.00789568928286499,0.00832480433236537,0.00579997958407186,0.00650186550104559,0.00821425301397661
