gene,set_membership,padj_unsup,padj_supp,avg_log2FC_unsup,avg_log2FC_supp,sig_unsup,sig_supp
RPS10,Overlap,0,0,2.83079588060095,2.83980827825815,TRUE,TRUE
MTRNR2L12,Overlap,2.51209621418321e-180,1.5893774158133299e-152,-12.250222535348,-8.11690622137772,TRUE,TRUE
H3F3B,Overlap,2.1541150561874397e-169,0,-11.9897479171853,-2.11907645326764,TRUE,TRUE
H3-3B,Overlap,3.02588552357333e-155,0,4.03498436661499,3.48702184497936,TRUE,TRUE
LINC01578,Overlap,1.22719710056517e-152,0,-11.2821636983027,-2.56351610602693,TRUE,TRUE
H3F3A,Overlap,4.7272340927051895e-152,1.04908425160664e-285,-11.8410617630659,-1.63710585263251,TRUE,TRUE
H3-3A,Overlap,6.0328976489802995e-149,0,3.57925367164758,3.20591652978533,TRUE,TRUE
TALAM1,Overlap,2.15255899057483e-143,0,3.76017475769549,2.78859894215222,TRUE,TRUE
MIF,Overlap,1.38424473032287e-138,0,-1.96779217634273,-1.77473834076406,TRUE,TRUE
GAPDH,Overlap,7.87803871076227e-135,0,-2.44098265594883,-2.15129116799791,TRUE,TRUE
TPI1,Overlap,2.2816200440504995e-134,0,-3.43253042945812,-2.7159399792137,TRUE,TRUE
HIST1H4C,Overlap,1.1448525357549698e-132,2.26450451052504e-124,-10.7975589289007,-2.08034377460201,TRUE,TRUE
IGFBP2,Overlap,1.0508936563841199e-131,0,-7.71655250970629,-9.18526540821674,TRUE,TRUE
AL138963.4,Overlap,2.1356658340812098e-131,6.64602234412161e-91,-9.99995282225613,-4.59058959108164,TRUE,TRUE
ALDOA,Overlap,1.08859751930563e-124,4.0271404656217093e-181,-2.4599698629645,-1.93550523376522,TRUE,TRUE
H2AFZ,Overlap,5.3653452711614296e-120,5.457244481451639e-152,-10.4278749133522,-1.89520790933972,TRUE,TRUE
ENO1,Overlap,7.64303418571088e-119,0,-2.2837864098813,-2.16874312523037,TRUE,TRUE
