"predicted.celltype.l2","cloneSize","n"
"CD4 Naive","Small (1 < X <= 5)",1
"CD4 Naive","Single (0 < X <= 1)",4
"CD4 Proliferating","Large (20 < X <= 100)",4
"CD4 Proliferating","Medium (5 < X <= 20)",27
"CD4 Proliferating","Small (1 < X <= 5)",30
"CD4 Proliferating","Single (0 < X <= 1)",23
"CD4 TCM","Large (20 < X <= 100)",4
"CD4 TCM","Medium (5 < X <= 20)",71
"CD4 TCM","Small (1 < X <= 5)",72
"CD4 TCM","Single (0 < X <= 1)",333
"CD4 TEM","Single (0 < X <= 1)",2
"CD8 Naive","Large (20 < X <= 100)",211
"CD8 Naive","Medium (5 < X <= 20)",210
"CD8 Naive","Small (1 < X <= 5)",157
"CD8 Naive","Single (0 < X <= 1)",1142
"CD8 Proliferating","Large (20 < X <= 100)",87
"CD8 Proliferating","Medium (5 < X <= 20)",45
"CD8 Proliferating","Small (1 < X <= 5)",24
"CD8 Proliferating","Single (0 < X <= 1)",14
"CD8 TCM","Large (20 < X <= 100)",9
"CD8 TCM","Medium (5 < X <= 20)",20
"CD8 TCM","Small (1 < X <= 5)",35
"CD8 TCM","Single (0 < X <= 1)",294
"CD8 TEM","Large (20 < X <= 100)",105
"CD8 TEM","Medium (5 < X <= 20)",118
"CD8 TEM","Small (1 < X <= 5)",132
"CD8 TEM","Single (0 < X <= 1)",212
"MAIT","Single (0 < X <= 1)",18
"NK Proliferating","Large (20 < X <= 100)",113
"NK Proliferating","Medium (5 < X <= 20)",61
"NK Proliferating","Small (1 < X <= 5)",33
"NK Proliferating","Single (0 < X <= 1)",21
"Treg","Single (0 < X <= 1)",20
"dnT","Small (1 < X <= 5)",7
"dnT","Single (0 < X <= 1)",30
"gdT","Single (0 < X <= 1)",2
