"","X0","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12"
"ID3",0.639,0.176,0.499,0.08,0.011,0.896,1.835,1.82,0.078,0.202,0.249,1.186,0
"RUNX3",1.266,4.508,1.526,4.831,4.465,1.795,3.665,1.636,5.094,3.126,2.621,1.936,6.377
"STMN1",1.234,0.988,1.023,0.791,0.733,0.843,0.718,1.404,0.806,0.565,0.512,0.229,0.445
"ZNF683",0.001,1.356,0,0.915,2.008,0.097,1.522,0.204,1.192,0.261,0,0.214,0.82
"S1PR1",2.445,1.318,1.288,1.479,1.685,1.996,1.975,2.571,1.582,1.44,1.162,0.541,1.561
"FCGR3A",0.002,1.13,0.003,1.956,1.829,0.018,0.608,0,1.999,0.594,0.019,1.081,0.279
"SELL",9.213,0.443,7.466,0.377,0.378,3.684,1.386,7.124,0.696,0.886,0.743,1.161,0.438
"ID2",0.461,1.132,0.396,1.872,1.694,0.731,1.028,0.544,1.805,1.192,1.081,1.282,1.099
"GNLY",0.137,75.005,0.089,120.099,106.166,1.177,66.634,1.192,185.927,42.581,26.742,5.344,31.086
"CXCR4",4.347,7.951,3.493,9.091,6.203,6.801,11.021,6.086,7.993,11.336,14.151,4.183,3.592
"ZEB2",0.041,7.773,0.017,9.853,8.213,0.141,4.926,0.287,8.727,5.754,2.407,12.031,14.205
"CD28",0.576,0.131,0.417,0.028,0.008,0.523,0.302,0.703,0.015,0.318,0.555,0.145,0.277
"CTLA4",0.023,0.122,0.022,0.051,0.096,0.032,0.082,0.081,0.018,0.032,0.165,0.022,0.2
"PDCD1",0.005,0.516,0.003,0.313,0.318,0.011,0.236,0.049,0.149,0.21,0.266,0.017,0.405
"EOMES",0.082,1.791,0.052,1.219,1.108,0.059,0.968,0.148,1.045,1.259,0.485,0.077,0.807
"CX3CR1",0.001,1.38,0.001,1.205,2.186,0.017,0.756,0,1.188,0.432,0,0.145,0.915
"CXCR6",0.003,0.191,0.003,0.065,0.023,0.003,0.085,0.007,0.013,1.538,1.49,0.042,0.118
"FOXP1",4.91,1.704,4.322,1.528,1.705,6.417,1.832,3.995,1.493,1.119,1.826,3.86,4.909
"TIGIT",0.02,1.938,0.003,1.636,0.961,0.039,1.319,0.134,1.54,0.894,0.035,0.175,0.848
"CD38",0.271,2.052,0.602,1.879,1.466,0.293,1.163,0.183,1.798,0.953,0.171,0.479,1.885
"FGFBP2",0.763,11.512,2.031,11.408,15.825,0.277,6.76,0.317,11.672,5.842,0.225,1.133,4.337
"LEF1",7.022,0.064,7.085,0.081,0.057,5.617,1.285,6.374,0.173,0.116,0.235,1.522,0.03
"IL7R",17.125,0.535,10.888,0.438,0.101,11.163,5.486,12.435,0.387,7.348,12.555,3.86,1.253
