"","Pre-ART","Suppressed","Unsuppressed"
"Naïve CD8",0.573864945840055,0.221249135745563,0.204885918414381
"Naïve CD8 2",0.861005949161709,0.0405624661979448,0.0984315846403461
"Naïve CD8 3",0.199233716475096,0.464367816091954,0.33639846743295
"Tscm CD8",0.915865384615385,0.00721153846153846,0.0769230769230769
"Naïve Intermediate CD8",0.907551487414188,0.0869565217391304,0.00549199084668192
"Transitional Tem CD8",0.188346883468835,0.459349593495935,0.35230352303523
"TEM CD8",0.291016200294551,0.263917525773196,0.445066273932253
"TEMRA CD8",0.237953303527074,0.342523596621957,0.419523099850969
"KIR+ innate-like CD8",0.257777777777778,0.495555555555556,0.246666666666667
"MAIT-like Trm",0.254237288135593,0.313559322033898,0.432203389830508
"γδ1 T cell",0.12719298245614,0.366228070175439,0.506578947368421
"Naïve γδ1 T cell",0.0352422907488987,0.621145374449339,0.343612334801762
"γδ2 T cell",0.553097345132743,0.13716814159292,0.309734513274336
