"CD45RO","FAS","annotation","plot_group","source","facet"
0.538450825055016,0,"Naïve Intermediate CD8","Naïve Intermediate CD8","1","Source cluster 1"
0.397393487536721,0,"Naïve Intermediate CD8","Naïve Intermediate CD8","1","Source cluster 1"
0.298277476757356,0,"Naïve Intermediate CD8","Naïve Intermediate CD8","1","Source cluster 1"
0.943663202667312,0,"Naïve Intermediate CD8","Naïve Intermediate CD8","1","Source cluster 1"
0.876742097440002,0,"Naïve Intermediate CD8","Naïve Intermediate CD8","1","Source cluster 1"
0,0.293635009052543,"Tscm CD8","Tscm CD8","1","Source cluster 1"
0.331440638577349,0,"Naïve Intermediate CD8","Naïve Intermediate CD8","1","Source cluster 1"
0.199975148447225,0,"Naïve Intermediate CD8","Naïve Intermediate CD8","1","Source cluster 1"
0.415747592236852,0,"Naïve Intermediate CD8","Naïve Intermediate CD8","1","Source cluster 1"
0.129536335547326,0,"Naïve Intermediate CD8","Naïve Intermediate CD8","1","Source cluster 1"
1.01513136918101,1.7425008936513,"Naïve Intermediate CD8","Naïve Intermediate CD8","1","Source cluster 1"
0.457183443984667,0,"Naïve Intermediate CD8","Naïve Intermediate CD8","1","Source cluster 1"
0.22131279200193,0,"Naïve Intermediate CD8","Naïve Intermediate CD8","1","Source cluster 1"
0.20020054638516,0,"Naïve Intermediate CD8","Naïve Intermediate CD8","1","Source cluster 1"
0.0313850572099028,0,"Naïve Intermediate CD8","Naïve Intermediate CD8","1","Source cluster 1"
0.452745912874922,0,"Naïve Intermediate CD8","Naïve Intermediate CD8","1","Source cluster 1"
0.0259942651594027,0,"Naïve Intermediate CD8","Naïve Intermediate CD8","1","Source cluster 1"
0.488598699065125,0,"Naïve Intermediate CD8","Naïve Intermediate CD8","1","Source cluster 1"
0.730796029502684,0,"Naïve Intermediate CD8","Naïve Intermediate CD8","1","Source cluster 1"
0.665322142267704,0,"Naïve Intermediate CD8","Naïve Intermediate CD8","1","Source cluster 1"
0.204185344430514,0,"Naïve Intermediate CD8","Naïve Intermediate CD8","1","Source cluster 1"
0.460310132927959,0,"Naïve Intermediate CD8","Naïve Intermediate CD8","1","Source cluster 1"
0.367724322249791,0,"Naïve Intermediate CD8","Naïve Intermediate CD8","1","Source cluster 1"
0.0109582109906294,0,"Naïve Intermediate CD8","Naïve Intermediate CD8","1","Source cluster 1"
