"","Naïve CD8","Naïve CD8 2","Naïve CD8 3","Tscm CD8","Naïve Intermediate CD8","Transitional Tem CD8","TEM CD8","TEMRA CD8","KIR+ innate-like CD8","MAIT-like Trm","Naïve γδ1 T cell"
"CD45RA",0.864543241030834,0.854942693660966,0.863506456211262,1,0.955180458643329,0.922634859029236,0.729239105779861,0.755421466188682,0.593145235048181,0,0.777952541823839
"SELL",1,0.452773167264648,0.105530287737957,0.67756254958074,0.848228066314078,0.736876507315005,0.414631804138438,0.234262748763566,0.590083970218956,0,0.35826071682411
"CD7",0.692289844203488,0.786377013757377,0.75628455289438,0.777228151123053,0.781058737979912,0.271931905692825,0.360649139566375,0.604376167119027,1,0.437577599734989,0.848229170467473
"IL7R",0.513651592812635,0.546394682136773,0.265709675949196,0.676234037297735,1,0.0382101114138053,0.021272301927841,0,0.501417793529234,0.391060121420992,0.0380804712421199
"CD45RO",0,0,0,0,0.696480844127602,0.46612021450293,1,0.191799671996077,0.308775772455659,0.772856104967004,0.140368809042669
"CD44",0.395280094571998,0.0629356532179903,0.226059135890624,0.390786126370715,0.356174673709549,0.60072442575454,0.615086122136742,0.201807145722395,1,0.931813011055294,0
"CD27",0.887826051990477,0.746428881657004,0.723858014749851,0.90860897241964,0.847308525954216,0.590728896828717,0.880427656877554,0.137693727292598,1,0.465260674760706,0
"CD28",0.0642618425746861,0.310474832544457,0.0479993735588647,0.457285193537303,0.492059966554794,0.822330305583216,0.661651099694982,0.0342568371525341,0.267639437067546,1,0.00359601674164578
"ICOS",0.12884384650175,0.275065838274104,0.193979839774585,0.510539771780578,0.629170782435434,0.388275671764008,1,0.0282490660579509,0.378081793382099,0.117695663075124,0
"ITGB7",0.309158936978445,0.0374125387416354,0.334949112556271,0,0.581983598013005,0.536124350279453,1,0.181866758894323,0.853355652233194,0.431602630792049,0.569857439462419
"B3GAT1",0.494206729312673,0.0129764233619115,0.00996801540318524,0,0.00109698859999811,0.214708332366217,0.238984690656039,0.942496985496954,0.0134475891731703,0.00391682374774572,0.830699791471082
"KLRG1",0.00203564907329324,0,0.0474731031476646,0.143304315912874,0.0546695804684588,0.606400293241551,0.636913710272424,0.4505131097066,0.443391352829013,1,0.343876284336255
"CX3CR1",9.03939679991549e-05,0.203650929037194,0,0.649417252662306,0,0,0.167463787866245,0.83013104310696,0.0955843138612108,0,0.384189352590458
"TIGIT",0,0.00300656190083119,0.00377826785234858,0.00998847321721554,0.00870223495073815,0.148012284343066,1,0.141615847920229,0.0616950746793413,0.00648542389272053,0.0853540286837387
"PDCD1",0.00156973101661298,0.00338573901252289,0.000495132333808324,0,0.00331542080745284,0.0686231434612526,0.814413500326449,0.142270489483356,1,0.0547838952283554,0.0342637560787243
"LAG3",0.0143591914638012,0,0.0294099635449641,0.0382668410698969,0.0215737707813582,0.156668728238057,1,0.100847287498657,0.102817210809898,0.215892309526113,0.119919848330277
"ENTPD1",1,0,0.0179063033747018,0.00840556983239492,0.323410898100981,0.199220596453994,0.674043350958909,0.411021749506101,0.0760154751661268,0.0200152047506615,0.0375499690502921
"NT5E",0.453892566770291,0.618489134146952,0.490118472567762,0.73390794530208,1,0.0275788206564637,0.0480701771295981,0.0025048612148166,0.551596288911723,0,0.0119877436392346
"CD38",0.674603548615544,0.494698236299319,0.251418175759728,0.5647120337509,0.594737589555122,0.636460857650838,1,0.498110535286573,0.2514532325709,0.134646701750444,0.498095166836537
"CD69",0,0.03987197419289,0.0333966097101292,0.314019453767056,0.269457846803924,0.00631342481251935,0.240379250363202,0.69323492372041,1,0.801744747582002,0.00418788157278465
"FAS",0,0,0,0.760321342827715,0.47401504951255,0.243041373819904,1,0.252680815346963,0.429700115662387,0.71097312512335,0.240557298001211
"CXCR3",0.0183515650411121,0.396998043346943,0.0250799800315926,1,0.458336960692002,0.18480021067255,0.339168515194307,0.13110128578857,0.637256290160486,0,0.22642598607958
"ITGA1",0.0940143457213224,0,0.188317294608257,0.273509001429601,0.296699084838824,0.46559717283437,1,0.832822291302014,0.770037741301525,0.0147489437461752,0.299422963227551
"KIR3DL1",0.0577046088870119,0.13507325567131,0.00108017175126293,0.0572744483902714,0.850453720951455,0.0768954191761407,0.0624153782002171,1,0.371139998016329,0,0.86884643147904
"NCAM1",0.0166829220550374,0.00249198866749813,0,0.0352814074971014,0.00491456163757964,0.471611236743893,0.0494446441142334,1,0.648266552910827,0.924452274043934,0.139743820501821
