"","Naïve CD8","Naïve CD8 2","Naïve CD8 3","Tscm CD8","Naïve Intermediate CD8","Transitional Tem CD8","TEM CD8","TEMRA CD8","KIR+ innate-like CD8","MAIT-like Trm","Naïve γδ1 T cell"
"CCR7",0.992819484261558,0.878272068084605,1,0.779726204017515,0.891650377222901,0.140204899378151,0.0843886931674896,0.00285693981454823,0.239224889539823,0.108267390327113,0
"SELL",0.971378828288972,0.75334644260904,0.418185562573705,0.754102193476698,1,0.143869723116216,0.0249894882348212,0.00548288403278357,0.13879581932505,0.0440751036041655,0.0027634534612321
"TCF7",0.765807021395966,0.83474546520371,0.464976949422573,1,0.974111108440592,0.184646862905568,0.0882476337331869,0.0198424702624744,0.44446061608483,0.229502767056313,0.0730139345309187
"LEF1",0.923473061333306,0.883720294639017,0.726557549007087,1,0.933683464951379,0.0554610337254351,0.0128559153892698,0.00177297692756363,0.375035666599386,0.00553978626960088,0
"KLF2",1,0.237378550320643,0.84707811319216,0.30882394036884,0.501424428900723,0.662094739644827,0.803699159201744,0.919403408173166,0.60817039000918,0,0.647438769580954
"S1PR1",1,0.224675677624733,0.642226975576592,0.239130154581274,0.456819864635918,0.653084798590743,0.237129159681357,0.33887963823234,0.695695736836981,0,0.408732592198594
"BACH2",0.448035562466246,0.2639365096456,1,0.153008545408693,0.201599786716157,0.126785714978616,0.0119680479208936,0,0.730794102282613,0.39146066393348,0.054574668570676
"BCL2",0.3006039076682,0.238973682558062,1,0.222699625880711,0.115319474613911,0,0.0634621602447529,0.0594857714508768,0.642350906488602,0.08152600222367,0.0706076458285082
"IL7R",1,0.615235172361456,0.686205691333279,0.837715900626562,0.81101922697483,0.114945878990661,0.0470752963014309,0.00674144184878144,0.66854842500057,0.677648428582367,0
"ID3",0.141555883520794,0.108322008520553,0.170715935392778,0.0894719498000145,0.10472252035707,0.094051168152896,0.0471053495018775,0.00654178863325893,1,0.102747365801063,0.00278907616323901
"HLA-DRA",0.0108732505175958,0.00415216700557856,0.000445878195984528,0,0.00564939714524456,0.699644161467618,1,0.499223392488593,0.071923265792223,0.059062012816637,0.358613531695824
"CD38",0.0481338278355945,0.23449895568746,0.063212219014345,0.116044605621786,0.120407229455543,0.883265493618618,1,0.810028369360545,0.106369855388058,0,0.932608720677747
"MKI67",0.0153871973539411,0.028625791181988,0.022061929288339,0.0726491330952655,0.0447469812127023,0.229925463373379,1,0.19451869592408,0.00590531740347263,0,0.443105380272698
"GZMB",0.000247813526564972,0,0.000222117952048242,0.00315708399056684,0.000133624129340605,0.655903546823088,0.641847639737543,0.960155764616616,0.0141979301951621,0.164477827686228,1
"GNLY",0.000372567420320067,0,3.10812089752685e-05,0.00290863952415748,4.81053052257999e-05,0.601996753489145,0.433144743569865,0.728533006186013,0.167135920131041,0.17056046722355,1
"PRF1",0.00699923393801599,0.00170064729253142,0,0.00236586730033986,0.00674609764245448,0.61705949146751,0.690505652204129,0.984745018728498,0.0433884763555509,0.404289980576225,1
"NKG7",0.00114046083140183,0.000160955302817171,0,0.00545631538753213,0.00293551543090518,0.748891026313906,0.883196071349462,1,0.113130704305813,0.332147858239816,0.856782432645748
"GZMA",0.053254747936185,0.115390050795125,0,0.187673986812646,0.142140506263647,0.514007426099724,0.824204440413377,0.710601399517895,0.0155223836541242,0.884685442028201,0.493425419879478
"FGFBP2",0.0377458440480754,0.137169939166898,0,0.0746810549936772,0.103525313951063,0.723917174577254,0.766341374612168,1,0.0532181320461217,0.00271331952156371,0.862797751325388
"TBX21",2.81290917013354e-05,0.00560528338998953,0,0.00456858929970101,0.00149327372252868,0.638746645597833,0.675258789312086,1,0.205221966460617,0.295393955676159,0.908768309327931
"ZEB2",0.00223190032196655,0.000156063229296793,0.00942741270203232,0.00582136084781686,0,0.654723284320232,0.716960035772317,0.840505052681338,0.225367379001353,0.201971610453343,0.915796379629113
"PRDM1",0.00474743472187567,0.00394866534513474,0.0116482941317015,0.00321907408425169,0,0.516287233498351,0.638522206988713,1,0.00543155577119827,0.604092931316763,0.704203507403502
"CX3CR1",0.000714955939820409,0,0,0,0,0.526697063538843,0.677387768885384,1,0.0106371057783035,0,0.713624209560257
"EOMES",0.0199447447827965,0.0142789486918314,0.00425854958780748,0.014538363836617,0,0.800690626971932,1,0.675953551986176,0.166709335304818,0.224071669496772,0.571954452344257
"TOX",0.136729232393933,0.175914525197508,0,0.132708444971579,0.152196377679267,0.601845944272814,1,0.775084717033222,0.644768598462267,0.0634735815692345,0.618308332739692
"PDCD1",0,0.0105874370715634,0.0312117014830818,0.012785865244604,0.00525325246816786,0.412794706178998,1,0.606862238108123,0.486928860046023,0.35585000344385,0.414782862370385
"TIGIT",0.00470646010456733,0.000390915122513292,0.0167088291092967,0.0191587040156924,0,0.816459704894417,1,0.661945393375844,0.30036254812745,0.0444267772922759,0.64128708296922
"HAVCR2",0.00664618705263997,0.0134175801178175,0,0.00145625312453991,0.00420224062643482,0.457490112937214,0.428991245966925,0.761660918339357,0.122975967775537,0.120824991893759,1
"LAG3",0.0075629683393775,0.0193934156212709,0,0.0247379188044929,0.0135481568098085,0.776310661336038,0.893141627636513,0.919452259919124,0.160797887426203,0.641783630585611,0.991702691014104
"TRDV1",0.0438946468374268,0.0791754423424409,0.0269559608527611,0.0657658027135619,0.094004838667784,0.490892734514158,0.270664723542911,0.555412797469,0.420640448661672,0,1
"TRGV9",0.000878637419282355,0,0.000999388955239036,0.00187728104109263,0.00175117977841214,0.131565360653189,0.137814876895366,0.200018116943573,0.0807412667047347,0.121027087078723,0.175815936562811
"TRDC",0.00542750483213875,0,0.00406998707527916,0.0043806403052762,0.0248568728375373,0.133737880237391,0.078949339657698,0.215730107051505,0.281469525723915,0.0716897531197698,0.460779365009835
"SLC4A10",0.00735864525252256,0.0102913819879874,0.00322899835287902,0.00837752275845628,0.00216841237907303,0.00651781301304123,0.0156966180695755,0.00588231423975619,0.0113827193855958,1,0.0121939210419737
"ZBTB16",0.00232679879073106,0.00084762040245502,0.00672028512869399,0.00872372163303656,0.0016252113621346,0.0253102873548501,0.0118611488424422,0.0337961244615409,0.0512621161557332,1,0
