"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene"
0.128283032078978,-1.25799861826533,0.023,0.068,1,"TRGC1"
0.128406967941837,-0.710568581227003,0.044,0.09,1,"ISYNA1"
0.128416859693897,-0.308952462518856,0.116,0.169,1,"CLPX"
0.128471612250521,0.980052639446731,0.108,0.062,1,"RNF14"
0.128878575271932,0.525523203264371,0.17,0.119,1,"MRPL38"
0.128912167875793,1.10855687727007,0.072,0.04,1,"NT5C3B"
0.129096848804229,0.507397041474099,0.281,0.226,1,"FRYL"
0.129400799443423,-1.13792070597945,0.034,0.079,1,"MSH3"
0.129550458482938,-1.26938526413928,0.046,0.102,1,"SNHG3"
0.129630591392957,-1.33433004868841,0.018,0.051,1,"AL136962.1"
0.129645066706851,-0.697183139438769,0.062,0.119,1,"C6orf226"
0.129897866010177,0.340197349688312,0.265,0.22,1,"SLA"
0.130415444664656,-0.155246888475806,0.09,0.102,1,"GTF3C5"
0.130426320124039,0.153254199647741,0.425,0.401,1,"CYTIP"
0.130593417918048,-0.72355088511437,0.134,0.232,1,"PAG1"
0.130738545515945,0.658192442177624,0.108,0.073,1,"GPN1"
0.13084296900398,0.743135729147044,0.088,0.056,1,"ZPR1"
0.130897546783147,0.236119359821673,0.704,0.627,1,"VAMP2"
0.130934638401169,0.189942468775301,0.155,0.136,1,"FBXL20"
0.13103499650637,-0.20999887490268,0.652,0.74,1,"EIF3K"
0.13108817797295,-0.614998424212572,0.098,0.158,1,"NAA60"
0.131360760947624,-0.508053965698589,0.113,0.175,1,"ARHGEF6"
0.131375107822784,-0.160417722405248,0.077,0.079,1,"NHLRC2"
0.131468957539079,0.162164765830314,0.773,0.751,1,"SRGN"
0.132006425202204,-1.19915304837581,0.028,0.073,1,"EIF2B3"
0.132201765320069,-0.830208509472394,0.059,0.107,1,"FHL3"
0.13225552189959,0.156238708719526,0.077,0.068,1,"EXOC3"
0.132789339956074,-1.15989224011125,0.041,0.107,1,"HIVEP1"
0.133149112779529,1.58904230923934,0.062,0.023,1,"KCTD6"
0.133253575075561,-0.268133255128592,0.464,0.565,1,"MAT2B"
0.133567857537795,-0.365111041596975,0.059,0.073,1,"SLC25A28"
0.133874974232897,-1.44604499663692,0.026,0.079,1,"LTA"
0.133972836955758,0.914306997815252,0.067,0.034,1,"SLC1A5"
0.133979498391027,0.496045466083159,0.436,0.418,1,"IRF7"
0.134064775372976,0.208074162856238,0.095,0.079,1,"LINC00667"
0.134423422046422,-0.199206854340961,0.513,0.525,1,"CFLAR"
0.134578699567665,0.159257323106853,0.191,0.169,1,"PRPF6"
0.134590442550337,0.287096330887076,0.162,0.141,1,"ADA"
0.134625241736232,0.490907641704133,0.139,0.113,1,"CCNK"
0.134627598610126,-0.224522768045467,0.178,0.175,1,"PSMB7"
0.134636902883281,0.57746052427311,0.209,0.169,1,"TTC14"
0.134785706035766,0.574978245298264,0.276,0.209,1,"GAB3"
0.134927035672521,0.34672261198497,0.101,0.079,1,"CAMK2G"
0.135270874621545,-1.0557101779319,0.013,0.051,1,"RETREG1"
0.135289744167243,0.531080720208822,0.08,0.068,1,"VPS50"
0.135421461593065,-0.694039389742322,0.082,0.136,1,"C2orf68"
0.135432355761571,0.919635706017228,0.054,0.045,1,"TRAV5"
0.13547067102836,0.505877357117682,0.09,0.068,1,"TMEM205"
0.135560937818131,0.776142748330873,0.077,0.062,1,"PUS7L"
0.135591423129133,0.71321776822618,0.137,0.102,1,"TSPYL1"
0.135889688969973,-0.454950296916982,0.09,0.136,1,"YIF1B"
0.1364487280215,-0.946483980762354,0.041,0.096,1,"RRP1"
0.136463181030358,0.88542531296122,0.131,0.079,1,"SLC27A3"
0.136475594000083,-0.485439790486995,0.157,0.198,1,"METTL5"
0.136489113712805,-0.162443031551355,0.997,1,1,"RPS14"
0.136707897809479,-0.869972763201044,0.054,0.102,1,"CCDC22"
0.136943849162501,0.245448583133287,0.147,0.136,1,"DDRGK1"
0.136996754409077,0.824010263195413,0.121,0.079,1,"TMEM102"
0.137581878965918,0.348294370411524,0.106,0.079,1,"MDM2"
0.13767533561605,0.362882468714054,0.381,0.345,1,"ATP8A1"
0.137711056563946,1.2965254654407,0.07,0.034,1,"SOCS4"
0.137793233080492,0.218951828618644,0.165,0.13,1,"CRTC2"
0.13787324447948,0.174532820278332,0.173,0.153,1,"VPS26A"
0.137907072784029,0.602931317348112,0.077,0.051,1,"HSPBAP1"
0.138307173506829,0.287631965107152,0.077,0.079,1,"SLC9A9"
0.138413655381911,0.374725947532362,0.322,0.271,1,"IDS"
0.13841967855792,0.343181138742438,0.222,0.169,1,"SSR1"
0.138433316418455,-0.253960677079739,0.204,0.237,1,"R3HDM2"
0.138498785583698,0.614165622214945,0.088,0.085,1,"DCTN6"
0.138510729481329,0.30960092130797,0.312,0.271,1,"ADGRE5"
0.138644977326868,-1.33575094056971,0.034,0.079,1,"FCGRT"
0.138738434853397,-0.215631763948009,0.992,1,1,"RPS26"
0.138760733440633,-1.63812661587707,0.031,0.079,1,"SSBP2"
0.138906358893178,-0.63415552832978,0.07,0.107,1,"CHUK"
0.139205880670872,-0.779305579278966,0.124,0.203,1,"SFXN1"
0.139221556298822,0.783074569740932,0.119,0.068,1,"SMARCA4"
0.139421473486799,-0.764213465611392,0.067,0.107,1,"TOR1A"
0.139574093903827,-0.655976576397336,0.111,0.158,1,"ABHD16A"
0.139619774841883,0.414985779549511,0.412,0.333,1,"PTPRJ"
0.139675082310353,-0.889109911579627,0.057,0.124,1,"IMMP2L"
0.13977756539816,0.822250020355517,0.178,0.124,1,"RTP4"
0.140426833550905,0.966735857365648,0.082,0.04,1,"VPS54"
0.14061718891819,0.58269301631187,0.106,0.062,1,"FBXO6"
0.140649623799057,0.131336780762203,0.149,0.13,1,"ACBD3"
0.140718475216062,-1.49957882808181,0.015,0.051,1,"CLUAP1"
0.140909809091071,-0.749958539916706,0.131,0.215,1,"AKIRIN1"
0.140958048598824,-0.22986693915273,0.149,0.175,1,"GRK6"
0.141338046086847,-1.63837728581557,0.018,0.062,1,"TSPYL4"
0.1413801901619,-1.43607305434902,0.021,0.062,1,"FCGBP"
0.141532303820383,0.762985924619595,0.116,0.073,1,"TMUB2"
0.141562296127524,0.903543443704189,0.098,0.062,1,"GON7"
0.14164091933571,0.588157493084324,0.142,0.113,1,"RIC1"
0.141868275897076,-0.483623904438826,0.229,0.288,1,"REL"
0.141956007970851,0.208527836837372,0.523,0.441,1,"VAMP8"
0.142043760919112,0.338310939477069,0.299,0.254,1,"SDHA"
0.142248451335365,0.605802052054656,0.072,0.056,1,"MTFR1L"
0.142298622574109,-0.44968209530185,0.155,0.209,1,"P2RY10"
0.142745643603742,-0.351355862599009,0.088,0.136,1,"UBE2J1"
0.142762126316977,0.362301994041878,0.284,0.243,1,"DNAJB14"
0.142964088466874,0.195949720665933,0.436,0.401,1,"UBE2B"
0.143010608715822,1.04740338647922,0.082,0.04,1,"EEF1AKMT2"
0.143422340936379,0.600586841668823,0.088,0.073,1,"ME2"
0.143749592286169,-0.543060594170273,0.147,0.232,1,"PTPN2"
0.144144209782296,-0.762604339291149,0.062,0.113,1,"KRBOX4"
0.144180849160445,-0.160956318400969,0.103,0.113,1,"ZNF160"
0.144441399022621,-0.487725481628323,0.183,0.254,1,"GSK3B"
0.144625457273162,1.16860615726343,0.077,0.034,1,"CROT"
0.144637653294183,-0.223940518456905,0.129,0.136,1,"KIF21B"
0.144752367989313,-0.959452874102159,0.031,0.068,1,"DNAJC16"
0.144902653573519,-0.821677980283215,0.028,0.056,1,"RAB3IP"
0.145010939214455,0.163161220546794,0.582,0.621,1,"LCP2"
0.145201719719049,-1.29394890955645,0.299,0.345,1,"RPS10"
0.145206256835976,-0.326533345647589,0.338,0.441,1,"PIK3R1"
0.145216204672337,0.632330176518469,0.129,0.096,1,"ZZEF1"
0.145642967596715,0.429375521992372,0.178,0.136,1,"GTPBP4"
0.14565931792266,0.26717221154743,0.384,0.373,1,"REEP5"
0.14579395334706,-0.419913279504446,0.204,0.282,1,"KRCC1"
0.146165195752449,-0.182967236866994,0.985,0.983,1,"RACK1"
0.146626579995382,0.36292767216083,0.271,0.203,1,"GPR171"
0.146753684209364,-0.486452342963405,0.162,0.254,1,"MAML2"
0.146923594247174,0.151339071658305,0.103,0.085,1,"DNAJB2"
0.14702304459425,0.490674893672634,0.312,0.26,1,"CHMP4A"
0.147176790528464,-0.778792606414245,0.046,0.107,1,"SYNGAP1"
0.147196474845558,0.523809958833799,0.129,0.096,1,"TMEM175"
0.147558895311526,-0.222358317689233,0.075,0.079,1,"ANKRD27"
0.147659755229764,-0.406251956680582,0.054,0.062,1,"FBXO31"
0.147744735778151,-0.979713531474312,0.049,0.107,1,"MCCC2"
0.147745931920074,-0.200276940348713,0.469,0.514,1,"SF3B2"
0.147845282954652,-0.35230080469448,0.325,0.412,1,"GDI2"
0.147972658187167,-0.860440677590313,0.052,0.107,1,"ATP2C1"
0.148127773065097,0.192101233798487,0.227,0.203,1,"SLIRP"
0.148169492411868,0.174887115721883,0.503,0.531,1,"WDR83OS"
0.148231295908079,1.07792360200162,0.085,0.051,1,"UTP18"
0.148457973208643,0.782705022304004,0.129,0.085,1,"HPRT1"
0.148471794963577,-0.393003678123017,0.088,0.119,1,"DDX19B"
0.14863473668906,-0.90731105387756,0.07,0.136,1,"PDE4B"
0.148635041563363,0.594185222734849,0.131,0.09,1,"OSBPL5"
0.148688341983196,0.118515424628617,1,0.994,1,"RPS19"
0.148909101406412,-0.387466387979361,0.144,0.192,1,"SLC66A3"
0.148970308247172,-1.04969999620329,0.034,0.073,1,"ATXN7L3"
0.149119802476722,-0.876783631954034,0.057,0.113,1,"FCF1"
0.149146343550142,-0.514064969443451,0.139,0.186,1,"NCOA7"
0.149154361416345,0.142643917958598,0.232,0.22,1,"DCAF5"
0.149223918523226,0.736922902634565,0.124,0.073,1,"AC016074.2"
0.149305576385317,0.16532858203085,0.204,0.232,1,"STK24"
0.149356978994721,-0.378728693065073,0.062,0.107,1,"TIGAR"
0.149441737490141,0.325913130229407,0.284,0.254,1,"TIAL1"
0.149968971947492,-0.138191122984942,0.464,0.497,1,"H2AFZ"
0.149995125460378,-1.11233135332658,0.036,0.079,1,"NOL4L"
0.150331085720298,0.579451054864496,0.08,0.056,1,"AKAP5"
0.150388966935167,0.822833369187292,0.088,0.056,1,"SCYL3"
0.15043809329457,-0.258714542976177,0.299,0.333,1,"SF3A1"
0.150950978155628,-0.913910224829704,0.062,0.124,1,"PARG"
0.150966215508716,0.600684277257636,0.16,0.124,1,"TRAPPC6A"
0.151899303509079,-0.496003752848773,0.034,0.068,1,"TRBV20-1"
