"mnn_clusters_rna","cloneSize","n"
"0","Small (1 < X <= 5)",12
"0","Single (0 < X <= 1)",760
"1","Small (1 < X <= 5)",10
"1","Single (0 < X <= 1)",719
"10","Medium (5 < X <= 20)",56
"10","Small (1 < X <= 5)",19
"10","Single (0 < X <= 1)",37
"11","Large (20 < X <= 100)",3
"11","Medium (5 < X <= 20)",16
"11","Small (1 < X <= 5)",7
"11","Single (0 < X <= 1)",1
"2","Large (20 < X <= 100)",103
"2","Medium (5 < X <= 20)",96
"2","Small (1 < X <= 5)",74
"2","Single (0 < X <= 1)",84
"3","Large (20 < X <= 100)",23
"3","Medium (5 < X <= 20)",71
"3","Small (1 < X <= 5)",108
"3","Single (0 < X <= 1)",110
"4","Large (20 < X <= 100)",27
"4","Medium (5 < X <= 20)",99
"4","Small (1 < X <= 5)",79
"4","Single (0 < X <= 1)",146
"5","Large (20 < X <= 100)",154
"5","Medium (5 < X <= 20)",73
"5","Small (1 < X <= 5)",45
"5","Single (0 < X <= 1)",28
"6","Small (1 < X <= 5)",46
"6","Single (0 < X <= 1)",97
"7","Large (20 < X <= 100)",100
"7","Medium (5 < X <= 20)",71
"7","Small (1 < X <= 5)",52
"7","Single (0 < X <= 1)",36
"8","Large (20 < X <= 100)",123
"8","Medium (5 < X <= 20)",63
"8","Small (1 < X <= 5)",18
"8","Single (0 < X <= 1)",17
"9","Medium (5 < X <= 20)",7
"9","Small (1 < X <= 5)",21
"9","Single (0 < X <= 1)",80
