gene,set_membership,padj_unsup,padj_supp,avg_log2FC_unsup,avg_log2FC_supp,sig_unsup,sig_supp
DBN1,Overlap,1,1,0.42901496512922,0.560217138926165,FALSE,FALSE
AFMID,Overlap,1,1,-0.21043691016289,0.491046784942611,FALSE,FALSE
IRAK4,Overlap,1,1,-0.177100585203354,-0.158070674414142,FALSE,FALSE
WDR6,Overlap,1,1,-0.217872845683986,0.1651466306058,FALSE,FALSE
SUCLG2-AS1,Overlap,1,1,-3.19538964315962,-0.745844507360792,FALSE,FALSE
STEAP1B,Overlap,1,1,-3.26722471203273,-0.117386732225305,FALSE,FALSE
FGR,Overlap,1,1,-0.378155187677718,-0.326196826773913,FALSE,FALSE
GDF11,Overlap,1,1,0.302851271109516,0.158369674745849,FALSE,FALSE
NUBP2,Overlap,1,1,-0.278986143726524,-0.249386262523451,FALSE,FALSE
GTF2E2,Unsuppressed_only,1,NA,0.204908083521633,NA,FALSE,FALSE
PLCXD1,Overlap,1,1,-1.31704734144896,-0.607857410610895,FALSE,FALSE
CLUAP1,Overlap,1,1,-1.34688312449613,0.273086324185295,FALSE,FALSE
CNDP2,Overlap,1,1,-0.394701529298344,-0.155524116027733,FALSE,FALSE
SNX19,Overlap,1,1,0.492029125469768,-0.341779081236964,FALSE,FALSE
PMS1,Overlap,1,1,-0.300788608470579,-0.209579419676259,FALSE,FALSE
SLC35E1,Overlap,1,1,1.12511928694474,0.487584716225899,FALSE,FALSE
LINC00612,Overlap,1,1,-1.37756609888707,-1.52355509994244,FALSE,FALSE
CEP76,Overlap,1,1,-0.246177262794745,1.09411053710566,FALSE,FALSE
AC025682.1,Overlap,1,1,-4.13132945211579,-0.655491523995579,FALSE,FALSE
P2RY11,Overlap,1,1,0.764961797588625,-0.332882162857154,FALSE,FALSE
PIK3C3,Overlap,1,1,0.352507915251962,0.135294925522597,FALSE,FALSE
SERBP1,Unsuppressed_only,1,NA,0.234145481579034,NA,FALSE,FALSE
PHF6,Overlap,1,1,0.32535131883821,0.130777696057224,FALSE,FALSE
ENTPD5,Unsuppressed_only,1,NA,-0.449477304260884,NA,FALSE,FALSE
ZMAT1,Overlap,1,1,0.15141945604169,-0.12794663459762,FALSE,FALSE
AL603839.3,Overlap,1,1,-4.65978319491757,-1.38101929653191,FALSE,FALSE
LINC00847,Overlap,1,1,-0.364846917966013,-0.68722973939401,FALSE,FALSE
SCYL1,Overlap,1,1,-0.267941029903342,-0.371513950417896,FALSE,FALSE
AC023632.2,Overlap,1,1,-2.94113861555679,-2.81542519728504,FALSE,FALSE
KNTC1,Overlap,1,1,0.29124015290606,-0.27329497780235,FALSE,FALSE
INTS13,Overlap,1,1,-0.251416099005199,-0.292431343353344,FALSE,FALSE
NKD1,Overlap,1,1,1.17228974091043,0.986543439788774,FALSE,FALSE
SNAP23,Overlap,1,1,-0.426781341707455,-0.381283377237957,FALSE,FALSE
AC099560.1,Overlap,1,1,-3.38737239185002,-0.607577617154011,FALSE,FALSE
EIF4EBP2,Unsuppressed_only,1,NA,-0.294683300085671,NA,FALSE,FALSE
AL137779.2,Overlap,1,1,-3.05954182075452,-1.00704259926323,FALSE,FALSE
BABAM2,Overlap,1,1,-0.818116566823235,-0.807865397577631,FALSE,FALSE
CD274,Overlap,1,1,1.52677247609378,1.12995328428086,FALSE,FALSE
ADAP1,Overlap,1,1,0.106324258898922,0.113418935997906,FALSE,FALSE
C10orf88,Overlap,1,1,-0.165327993632762,-0.239886376287859,FALSE,FALSE
GDE1,Unsuppressed_only,1,NA,0.444498958139906,NA,FALSE,FALSE
TCEAL4,Overlap,1,1,-2.44111888124693,-0.612928018109449,FALSE,FALSE
ENSG00000237773,Overlap,1,1,3.58849043422795,2.69778033192345,FALSE,FALSE
CNPY2,Overlap,1,1,-0.388429091825604,-0.275687031494924,FALSE,FALSE
AL021707.1,Overlap,1,1,-3.99680908732318,-1.64369050513569,FALSE,FALSE
IL10,Overlap,1,1,0.822886141720201,0.438659220698641,FALSE,FALSE
ITGA4,Unsuppressed_only,1,NA,0.194636869076549,NA,FALSE,FALSE
ROMO1,Unsuppressed_only,1,NA,-0.240445967681771,NA,FALSE,FALSE
UBL7-DT,Overlap,1,1,3.3580524763652,2.85074596605287,FALSE,FALSE
ZNF84,Overlap,1,1,-0.58254313537171,-0.874341296850868,FALSE,FALSE
VNN2,Overlap,1,1,-0.70225435043639,-0.562617377399945,FALSE,FALSE
SFXN5,Unsuppressed_only,1,NA,0.335066272251066,NA,FALSE,FALSE
ZRANB2,Overlap,1,1,-0.244096708336752,-0.688689717115799,FALSE,FALSE
UQCC3,Overlap,1,1,-0.378934074817746,-0.832315002115893,FALSE,FALSE
FGFBP3,Overlap,1,1,-1.3887420676034,-0.606870139034973,FALSE,FALSE
NRG2,Unsuppressed_only,1,NA,0.52253625236677,NA,FALSE,FALSE
AC093865.1,Overlap,1,1,-5.64488403952087,0.812262775051675,FALSE,FALSE
NAPA-AS1,Overlap,1,1,-0.372323193246897,0.135324352193694,FALSE,FALSE
OGT,Overlap,1,0.0501995768561238,-0.279155970558688,-0.452611292106608,FALSE,FALSE
BBOF1,Overlap,1,1,1.08416855951092,1.32801300669533,FALSE,FALSE
ENSG00000272449,Overlap,1,1,3.11116120374014,3.29958929549873,FALSE,FALSE
LBHD1,Overlap,1,1,-0.650174319056121,0.129142534360435,FALSE,FALSE
SLC27A2,Overlap,1,1,1.3823397005526,-0.181821293558861,FALSE,FALSE
AC103858.1,Overlap,1,1,-2.84172923066625,-2.75625494855693,FALSE,FALSE
GSK3B,Overlap,1,1,-0.120453744644738,-0.272288139074734,FALSE,FALSE
TTPAL,Overlap,1,1,0.981511465065805,0.53756982650069,FALSE,FALSE
RFC1,Overlap,1,1,0.102181052801994,-0.149724928114875,FALSE,FALSE
ZBTB41,Overlap,1,1,0.436086815107145,-0.474667061215613,FALSE,FALSE
FAM110A,Unsuppressed_only,1,NA,0.307813758272504,NA,FALSE,FALSE
ANKRD23,Overlap,1,1,0.357612593138142,-1.66581033150902,FALSE,FALSE
AAAS,Overlap,1,1,-0.258006824945263,-0.403224222510589,FALSE,FALSE
ZCCHC14,Unsuppressed_only,1,NA,0.707086786067519,NA,FALSE,FALSE
DEDD2,Overlap,1,1,-0.692488152013638,-0.32154695337136,FALSE,FALSE
DDTL,Overlap,1,1,-0.180629379273842,-0.616795041117285,FALSE,FALSE
SLC35E4,Overlap,1,1,1.44186952802305,0.668218794529398,FALSE,FALSE
SLC25A4,Overlap,1,1,0.216485848355813,0.443833865691051,FALSE,FALSE
NNT-AS1,Overlap,1,1,-1.34060686940311,-0.377849656075169,FALSE,FALSE
AC006033.2,Overlap,1,1,-3.7272788579785,-1.27920564982498,FALSE,FALSE
RBM39,Unsuppressed_only,1,NA,0.342938836684133,NA,FALSE,FALSE
GLT8D2,Overlap,1,1,-3.59373270710095,-0.365889163627656,FALSE,FALSE
SLC25A35,Overlap,1,1,-1.37159644690625,-0.521215704454793,FALSE,FALSE
ERVMER61-1,Overlap,1,1,-3.08192541073958,-2.10611649437325,FALSE,FALSE
CKAP2,Unsuppressed_only,1,NA,0.306280169751473,NA,FALSE,FALSE
CA13,Overlap,1,1,-1.26818121607688,-0.259090918555217,FALSE,FALSE
TMX4,Unsuppressed_only,1,NA,0.286559031663149,NA,FALSE,FALSE
ZNF154,Overlap,1,1,-1.42513669972035,-1.29395449862888,FALSE,FALSE
ADAMTS6,Overlap,1,1,-1.58029015672338,0.419615140401501,FALSE,FALSE
ERO1B,Unsuppressed_only,1,NA,0.282556445002584,NA,FALSE,FALSE
ZNF528,Overlap,1,1,-1.65824519281941,-0.848299353744826,FALSE,FALSE
RAPGEF6,Unsuppressed_only,1,NA,-0.246540383682265,NA,FALSE,FALSE
UNC50,Overlap,1,1,-0.30648645611391,-0.151262974885028,FALSE,FALSE
PRIM1,Overlap,1,1,0.349421347344597,-0.206458848632884,FALSE,FALSE
PRKD3,Overlap,1,1,0.44082265153465,-0.214726602259231,FALSE,FALSE
ENSG00000226455,Overlap,1,1,1.88942111601665,1.31435115975387,FALSE,FALSE
USP30-AS1,Unsuppressed_only,1,NA,-0.408442957375579,NA,FALSE,FALSE
ARHGAP11A,Overlap,1,1,0.992710948202032,1.46109501158394,FALSE,FALSE
AC245297.2,Overlap,1,1,-2.99898064333355,-1.60307306311739,FALSE,FALSE
ZNF554,Overlap,1,1,-0.309515774162278,-0.357048897329292,FALSE,FALSE
ZNF714,Unsuppressed_only,1,NA,-0.555096099594681,NA,FALSE,FALSE
DHX36,Overlap,1,1,0.424716085162198,0.15117114061913,FALSE,FALSE
NIPBL-DT,Overlap,1,1,-1.28765575684508,-0.396056925919754,FALSE,FALSE
UNK,Overlap,1,1,-0.653638541867248,-0.18793451603254,FALSE,FALSE
TAFA2,Overlap,1,1,-1.02495189941961,-0.542716710172472,FALSE,FALSE
CSRNP2,Overlap,1,1,1.3754373088296,0.554913806787697,FALSE,FALSE
NUDT11,Unsuppressed_only,1,NA,0.549964041657852,NA,FALSE,FALSE
NOTCH2NLA,Overlap,1,1,-1.50369776964863,-0.241805967331807,FALSE,FALSE
FAM24B,Overlap,1,1,-0.207848285107457,-0.613315715387951,FALSE,FALSE
AP1G2-AS1,Overlap,1,1,3.55827870943286,2.56515630202135,FALSE,FALSE
ANK2,Overlap,1,1,-6.90203926730189,-0.993859064969401,FALSE,FALSE
SLCO5A1,Overlap,1,1,-0.711541107052819,0.291594163084079,FALSE,FALSE
ERO1A,Overlap,1,1,-0.20118261982672,-0.432799896105479,FALSE,FALSE
ZFPM1,Overlap,1,1,-0.394641101650499,-0.702126169076393,FALSE,FALSE
LRRC43,Overlap,1,1,-3.95446403369083,-0.883055624333147,FALSE,FALSE
PCBP4,Overlap,1,1,0.251416847846956,0.249688949418126,FALSE,FALSE
AP002812.2,Overlap,1,1,-3.52093729366983,-1.06885793412271,FALSE,FALSE
ANAPC5,Unsuppressed_only,1,NA,0.187658693881265,NA,FALSE,FALSE
CCDC24,Overlap,1,1,-0.78420610618184,-0.141987347007002,FALSE,FALSE
MSH6,Overlap,1,1,0.141893750161063,0.218701116946985,FALSE,FALSE
E2F4,Unsuppressed_only,1,NA,0.409478703427857,NA,FALSE,FALSE
ZNF892,Overlap,1,1,3.8235209815005,3.46799417833386,FALSE,FALSE
PTBP2,Overlap,1,1,0.219248601158052,0.345055466100849,FALSE,FALSE
NFKBIB,Overlap,1,1,0.107629027412996,0.217796314964839,FALSE,FALSE
PTPN9,Overlap,1,1,0.35646203014264,0.271134017554853,FALSE,FALSE
DCAF4,Overlap,1,1,0.511404012443696,0.337661722472139,FALSE,FALSE
TNRC6B,Overlap,1,1,0.210450187674656,-0.12528219085769,FALSE,FALSE
PITPNA-AS1,Overlap,1,1,-1.39277998031338,-0.785275005268334,FALSE,FALSE
TESC,Overlap,1,1,0.383199783644542,0.661401654585796,FALSE,FALSE
AC093423.2,Unsuppressed_only,1,NA,-3.20296584562998,NA,FALSE,FALSE
EHD3,Overlap,1,1,0.538470568055253,0.600392491964213,FALSE,FALSE
HIC2,Overlap,1,1,-1.0474258217198,-0.220797454940355,FALSE,FALSE
ZNF577,Overlap,1,1,-1.13734651860464,-0.39612565621879,FALSE,FALSE
ANKRA2,Overlap,1,1,0.220474975595023,-0.217597484617785,FALSE,FALSE
TOX4,Unsuppressed_only,1,NA,0.366546614293161,NA,FALSE,FALSE
KCNQ1OT1,Overlap,1,1,-0.593516427694664,0.367537063873135,FALSE,FALSE
NFRKB,Overlap,1,1,-0.133553400073069,-0.177264860200625,FALSE,FALSE
IL1RN,Overlap,1,1,-1.35290010561018,-1.92387365361553,FALSE,FALSE
NSD1,Overlap,1,1,-0.23504589767088,-0.301304487364132,FALSE,FALSE
TPCN1,Overlap,1,1,-2.13761690069898,-0.700818177208024,FALSE,FALSE
DCUN1D4,Overlap,1,1,0.117181952664944,-0.190280139276146,FALSE,FALSE
DHX35,Overlap,1,1,0.18416538596504,0.667802749373017,FALSE,FALSE
AL078600.1,Overlap,1,1,-3.6741850461321,-1.63329962381561,FALSE,FALSE
CHD7,Overlap,1,1,0.526214652132983,0.715549211129136,FALSE,FALSE
AGPAT1,Overlap,1,1,-0.997772177185684,-0.473034219702261,FALSE,FALSE
ABCA3,Overlap,1,1,-0.894013796495497,-0.840660946912853,FALSE,FALSE
DDX56,Overlap,1,1,-0.324313192607178,0.160418795687356,FALSE,FALSE
AL513320.1,Overlap,1,1,-3.61840373568098,-0.832157195684684,FALSE,FALSE
RHBDF2,Overlap,1,1,0.542964480493114,0.295709063211483,FALSE,FALSE
GTF2F1,Unsuppressed_only,1,NA,0.137451475953003,NA,FALSE,FALSE
AC024028.1,Overlap,1,1,-5.48871740976086,-2.59705108285444,FALSE,FALSE
HTRA4,Unsuppressed_only,1,NA,1.45208141114046,NA,FALSE,FALSE
NBR2,Overlap,1,1,-0.145605923258583,-1.1745367128066,FALSE,FALSE
CTCF-DT,Unsuppressed_only,1,NA,3.76614820130453,NA,FALSE,FALSE
FP565260.6,Overlap,1,1,-3.43779503044904,-5.58233896690665,FALSE,FALSE
NAGS,Overlap,1,1,0.294439603227635,-0.508670418832819,FALSE,FALSE
WWC3,Overlap,1,1,-0.138742639845327,-0.43538614631604,FALSE,FALSE
ENSG00000234185,Unsuppressed_only,1,NA,3.37714151702433,NA,FALSE,FALSE
PSMB6,Overlap,1,1,0.241413330157712,0.396660654195284,FALSE,FALSE
INTS5,Overlap,1,1,-0.2782430684541,-0.353571353212546,FALSE,FALSE
CCDC102B,Overlap,1,1,-0.384493445249549,-0.726020534914475,FALSE,FALSE
PPP1R3B,Overlap,1,1,1.02258784258441,0.490264279987674,FALSE,FALSE
TMEM116,Overlap,1,1,-1.46195903659833,0.128467052178354,FALSE,FALSE
URGCP,Unsuppressed_only,1,NA,0.260420588721264,NA,FALSE,FALSE
NCR3LG1,Overlap,1,1,3.24461592358409,2.85695726029608,FALSE,FALSE
LRIF1,Overlap,1,1,-0.85861463165069,-0.24966393755422,FALSE,FALSE
CD68,Overlap,1,1,-0.531394026456674,-0.900457246345309,FALSE,FALSE
AC022973.4,Overlap,1,1,-3.26545160379347,-0.537282810931991,FALSE,FALSE
TUBE1,Overlap,1,1,0.238523773699357,0.142567651267508,FALSE,FALSE
SRSF3,Overlap,1,1,0.500682687774786,0.589241442352976,FALSE,FALSE
NEK8,Unsuppressed_only,1,NA,1.59023332333776,NA,FALSE,FALSE
RC3H2,Overlap,1,1,0.156760828277765,-0.168868274205272,FALSE,FALSE
OGG1,Overlap,1,1,-0.490748451267227,-0.268146547251396,FALSE,FALSE
RRP7A,Unsuppressed_only,1,NA,0.30872550269201,NA,FALSE,FALSE
ARHGAP25,Overlap,1,1,-0.245217199208432,-0.337635355756963,FALSE,FALSE
SPAG9,Overlap,1,1,0.624460634136652,0.336714110308986,FALSE,FALSE
