"","CP002","CP003","CP006","CP011","CP013","CP016","CP017","CP018","CP020","CP022","CP042"
"CD16+ Effector CD8",19,123,161,20,183,4,3,86,246,14,1
"KIR+ innate-like CD8",0,83,203,0,76,2,2,49,76,1,0
"Naïve CD8",610,827,363,348,512,415,194,297,472,555,188
"Naïve CD8 2",41,220,162,2,933,11,2,340,41,100,32
"Naïve CD8 3",12,384,71,0,443,0,0,205,200,2,6
"Naïve CD8 4",25,58,225,17,95,29,20,56,36,20,27
"Naïve Intermediate CD8",214,212,619,75,529,44,22,385,2,100,9
"TEM CD8",36,216,408,38,313,52,18,152,612,44,10
"TEMRA CD8",518,950,754,322,583,42,21,185,734,224,14
"Tscm CD8",18,73,214,1,35,9,2,49,10,22,5
