"","PostART_Suppressed","PostART_Unsuppressed","PreART_Entry"
"CD16+ Effector CD8",413,357,90
"KIR+ innate-like CD8",322,156,14
"Naïve CD8",1096,778,2907
"Naïve CD8 2",128,212,1544
"Naïve CD8 3",691,411,221
"Naïve CD8 4",328,65,215
"Naïve Intermediate CD8",201,14,1996
"TEM CD8",757,701,441
"TEMRA CD8",1497,1434,1416
"Tscm CD8",13,35,390
