"","Pre-ART","Suppressed","Unsuppressed"
"Naïve CD8",0.272787028921998,0.19021200713295,0.16003600360036
"Naïve CD8 2",0.174408413672217,0.0148603130572617,0.0327632763276328
"Naïve CD8 3",0.0284837861524978,0.120071329502675,0.079027902790279
"Tscm CD8",0.0417397020157756,0.00059441252229047,0.00576057605760576
"Naïve Intermediate CD8",0.217243645924628,0.0376461264117297,0.00216021602160216
"Transitional Tem CD8",0.01522787028922,0.0671686150188231,0.0468046804680468
"TEM CD8",0.108238387379492,0.17753120665742,0.272007200720072
"TEMRA CD8",0.104951796669588,0.273231622746186,0.304050405040504
"KIR+ innate-like CD8",0.0127081507449606,0.0441846641569249,0.01998199819982
"MAIT-like Trm",0.00328659070990359,0.00733108777491579,0.00918091809180918
"γδ1 T cell",0.00635407537248028,0.0330889637408361,0.0415841584158416
"Naïve γδ1 T cell",0.000876424189307625,0.0279373885476521,0.014041404140414
"γδ2 T cell",0.0136941279579316,0.00614226273033485,0.0126012601260126
