"Timepoint_Group","nF","nM","p","p_adj"
"PreART_Entry",5,3,0.142857142857143,0.428571428571429
"PostART_Suppressed",5,2,0.468716582446207,0.703074873669311
"PostART_Unsuppressed",4,2,1,1
