"seurat_clusters","n_cells","mean_log10_VL","median_log10_VL","pct_preART","pct_suppressed","pct_unsuppressed"
"0",5306,4.96,5.7,61.1,21.5,17.4
"1",3437,5.27,5.25,92.4,2.2,5.4
"2",3395,4.75,5.7,29.1,26.4,44.5
"3",2567,4.36,5.69,33.1,35.4,31.5
"4",1567,4.88,5.7,8.9,24.1,67.1
"5",1351,3.72,5.62,21.4,45.6,33
"6",738,3.79,5.62,18.8,45.9,35.2
"7",575,2.78,1.32,6.1,69.7,24.2
"8",450,3.57,3.54,25.8,49.6,24.7
"9",226,5.1,5.69,55.3,13.7,31
"10",118,4.49,5.69,25.4,31.4,43.2
"11",88,5.57,5.73,29.5,11.4,59.1
"12",82,5.52,5.7,25.6,7.3,67.1
