"","g0","g1","g2","g3","g4","g5","g6","g7","g8","g9","g10","g11","g12"
"CCR7",10.5758,8.9512,0.9459,0.0848,0.1135,10.5501,1.5363,0.0624,2.5838,0.5983,1.1985,5.7172,0.0261
"SELL",9.0785,7.4622,0.5047,0.3466,0.1692,3.9525,1.5529,0.6684,1.5081,0.9672,0.673,1.3196,0.371
"TCF7",8.9691,10.6587,1.583,0.4733,1.1702,5.6463,2.6093,1.7541,5.3754,2.3286,3.0869,1.5465,0.9946
"LEF1",7.03,7.1833,0.155,0.0585,0.0431,5.5862,0.4798,0.2129,2.9163,0.1725,0.0992,1.4449,0.0263
"IL7R",17.5227,10.9805,0.8345,0.1424,0.1327,11.7764,2.0044,0.2469,11.5472,7.995,11.7041,4.299,0.9682
"BACH2",3.8808,2.2027,0.8895,0.5025,1.2123,7.943,1.7231,1.2779,6.1083,1.4607,3.6447,1.5497,1.4042
"BCL2",0.4679,0.3568,0.2182,0.1679,0.3134,1.321,0.1424,0.2042,0.9097,0.3458,0.2398,1.0024,0.7331
"KLF2",6.3356,3.4524,5.6691,5.9904,6.3546,5.7697,5.1131,4.685,4.9014,3.1903,2.5133,2.9993,2.9498
"S1PR1",2.4711,1.2777,1.3386,1.6573,1.2661,1.9364,1.9782,1.5241,2.0438,1.316,0.9739,0.7617,1.7123
"FOXP1",4.97,4.2945,1.6876,1.7809,1.5915,6.5914,1.7106,1.3588,2.3305,1.2251,1.8571,4.1673,4.2947
"ID3",0.6469,0.4812,0.2322,0.0151,0.0691,0.805,0.4494,0.0776,4.6412,0.2674,0.4896,1.2245,0
"CD27",3.4661,5.2928,1.5912,0.6159,0.154,1.3865,1.2371,0.257,1.7771,1.7344,1.153,0.4945,0.7782
"CD28",0.5581,0.4116,0.1743,0.0091,0.012,0.5095,0.2168,0.0142,0.3652,0.3405,0.5206,0.0907,0.202
"GZMK",1.1398,1.1815,1.6126,0.1818,0.1348,0.3903,1.1935,0.4132,1.9899,6.0817,5.0462,0.2355,0.0835
"FAS",0.1878,0.2445,0.4817,0.448,0.3866,0.4097,0.383,0.3768,0.3321,0.3837,0.4748,0.2159,0.4177
"CXCR3",0.593,0.3272,2.8419,1.1794,0.9913,0.3958,3.6912,2.8482,4.2527,2.0868,0.8716,0.6311,0.6942
"TOX",0.421,0.4591,1.8049,1.2934,1.7613,0.1938,1.164,1.0429,1.2331,1.1173,0.2974,0.4075,3.1877
"PDCD1",0.001,0.0039,0.5408,0.318,0.3694,0.0171,0.2232,0.1285,0.2633,0.2064,0.1924,0.0075,0.3177
"SLAMF6",0.223,0.1426,0.8484,0.8449,0.6173,0.0418,0.5224,0.5188,0.1673,0.5113,0.205,0.0152,1.0267
"CXCR5",0.0166,0.0134,0.0277,0.0267,0.0138,0.0094,0.0399,0.0199,0.0159,0.0193,0,0.0848,0.0586
"BCL6",0.3112,0.4806,0.2923,0.3351,0.4746,0.3231,0.3659,0.4116,1.1769,0.6823,0.647,0.8954,0.6192
"TIGIT",0.013,0.0025,2.0031,0.9065,1.8319,0.0344,1.6359,1.4708,0.6032,0.838,0.0911,0.1331,0.6
"MYB",0.169,0.1196,0.0143,0.0046,0.0087,0.3639,0.0739,0.004,0.1112,0.0501,0.118,0.1142,0
"HAVCR2",0.0426,0.0484,0.7378,1.0275,1.6256,0.0332,0.7846,1.6003,0.235,0.5659,0.2315,1.2978,1.427
"LAG3",0.0437,0.0653,1.7086,1.7299,1.7794,0.0277,1.4889,1.8046,0.3311,1.9096,1.2358,0.1493,0.9443
"CTLA4",0.0249,0.0201,0.1366,0.0989,0.0484,0.0314,0.1074,0.0077,0.0059,0,0.1345,0.0225,0.1757
"ENTPD1",0.0055,0.0028,0.1531,0.029,0.1014,0.0011,0.0911,0.0475,0.0546,0.0477,0.0139,0.1901,0.1157
"CXCL13",0.0016,4e-04,0.0139,0.0049,0,0,0.0076,0.0039,0.0033,0,0.0166,0,0
"BATF",0.4304,0.2943,0.8968,1.0811,0.7424,0.8147,0.625,0.6057,0.1877,0.4511,0.4068,0.2015,0.9136
"IRF4",0.2713,0.4629,0.6746,0.427,0.7584,1.0416,0.5083,0.6198,0.253,0.6863,0.2388,0.4682,0.7335
