"Cluster","PreART_Entry","PostART_Suppressed","PostART_Unsuppressed"
"0",0.610629476064832,0.215228043724086,0.174142480211082
"1",0.924352633110271,0.0221123072446901,0.0535350596450393
"2",0.291016200294551,0.263917525773196,0.445066273932253
"3",0.33112582781457,0.354109855862875,0.314764316322556
"4",0.0887045309508615,0.240587109125718,0.670708359923421
"5",0.213915618060696,0.455958549222798,0.330125832716506
"6",0.188346883468835,0.459349593495935,0.35230352303523
"7",0.0608695652173913,0.697391304347826,0.241739130434783
"8",0.257777777777778,0.495555555555556,0.246666666666667
"9",0.553097345132743,0.13716814159292,0.309734513274336
"10",0.254237288135593,0.313559322033898,0.432203389830508
"11",0.295454545454545,0.113636363636364,0.590909090909091
"12",0.25609756097561,0.0731707317073171,0.670731707317073
