"Manual_Annotation","nF","nM","p","p_adj"
"8: CTL-like",18,8,0.977763256049093,0.977763256049093
"9: TRDV1+ CTL-like",18,8,0.977370454771959,0.977763256049093
"27: GZMK+ CD8 T cell",17,8,0.169350892069998,0.508052676209994
