"Manual_Annotation","nF","nM","p","p_adj"
"8: CTL-like",18,8,0.889160802520444,0.932184118510694
"9: TRDV1+ CTL-like",18,8,0.932184118510694,0.932184118510694
"27: GZMK+ CD8 T cell",17,8,0.279301477841007,0.837904433523022
