"Fig_Annotation","Sample_Subfolder","n_cells","pct_of_sample"
"Naive/Bystander","CP018_2m_A",581,62.14
"Naive (hypoxic)","CP018_2m_A",38,4.06
"Transitional Tem","CP018_2m_A",92,9.84
"Activated Stem-like","CP018_2m_A",31,3.32
"TEMRA/Effector","CP018_2m_A",35,3.74
"Cycling Effector","CP018_2m_A",88,9.41
"MAIT","CP018_2m_A",70,7.49
"Naive/Bystander","CP018_2m_B",1555,76.23
"Naive (hypoxic)","CP018_2m_B",99,4.85
"Transitional Tem","CP018_2m_B",139,6.81
"Activated Stem-like","CP018_2m_B",29,1.42
"TEMRA/Effector","CP018_2m_B",47,2.3
"Cycling Effector","CP018_2m_B",88,4.31
"MAIT","CP018_2m_B",83,4.07
"Naive/Bystander","CP018_90m_A",610,39.28
"Naive (hypoxic)","CP018_90m_A",83,5.34
"Transitional Tem","CP018_90m_A",203,13.07
"Activated Stem-like","CP018_90m_A",214,13.78
"TEMRA/Effector","CP018_90m_A",237,15.26
"Cycling Effector","CP018_90m_A",137,8.82
"MAIT","CP018_90m_A",69,4.44
"Naive/Bystander","CP018_90m_B",139,23.13
"Naive (hypoxic)","CP018_90m_B",11,1.83
"Transitional Tem","CP018_90m_B",62,10.32
"Activated Stem-like","CP018_90m_B",163,27.12
"TEMRA/Effector","CP018_90m_B",107,17.8
"Cycling Effector","CP018_90m_B",95,15.81
"MAIT","CP018_90m_B",24,3.99
