"Fig_Annotation","Timepoint","n_cells","pct_of_sample"
"Naive/Bystander","2m",2136,71.8
"Naive (hypoxic)","2m",137,4.61
"Transitional Tem","2m",231,7.76
"Activated Stem-like","2m",60,2.02
"TEMRA/Effector","2m",82,2.76
"Cycling Effector","2m",176,5.92
"MAIT","2m",153,5.14
"Naive/Bystander","90m",749,34.77
"Naive (hypoxic)","90m",94,4.36
"Transitional Tem","90m",265,12.3
"Activated Stem-like","90m",377,17.5
"TEMRA/Effector","90m",344,15.97
"Cycling Effector","90m",232,10.77
"MAIT","90m",93,4.32
