"mnn_clusters_rna","Phase","n_cells","pct_of_sample"
"0","G1",1714,50.98
"1","G1",348,10.35
"2","G1",353,10.5
"3","G1",247,7.35
"4","G1",11,0.33
"5","G1",178,5.29
"6","G1",174,5.18
"7","G1",170,5.06
"8","G1",167,4.97
"0","G2M",250,33.51
"1","G2M",81,10.86
"2","G2M",51,6.84
"3","G2M",103,13.81
"4","G2M",150,20.11
"5","G2M",34,4.56
"6","G2M",34,4.56
"7","G2M",22,2.95
"8","G2M",21,2.82
"0","S",440,43.1
"1","S",67,6.56
"2","S",33,3.23
"3","S",76,7.44
"4","S",247,24.19
"5","S",38,3.72
"6","S",38,3.72
"7","S",39,3.82
"8","S",43,4.21
